yyyymm01, Day Count, Normalized Month
19900101, 22, 1.0521
19900201, 19, 0.9087
19900301, 22, 1.0521
19900401, 21, 1.0043
19900501, 22, 1.0521
19900601, 21, 1.0043
19900701, 21, 1.0043
19900801, 23, 1.1000
19900901, 19, 0.9087
19901001, 22, 1.0521
19901101, 20, 0.9565
19901201, 20, 0.9565
19910101, 21, 1.0043
19910201, 19, 0.9087
19910301, 21, 1.0043
19910401, 22, 1.0521
19910501, 22, 1.0521
19910601, 20, 0.9565
19910701, 22, 1.0521
19910801, 22, 1.0521
19910901, 20, 0.9565
19911001, 22, 1.0521
19911101, 19, 0.9087
19911201, 21, 1.0043
19920101, 21, 1.0043
19920201, 19, 0.9087
19920301, 22, 1.0521
19920401, 22, 1.0521
19920501, 20, 0.9565
19920601, 22, 1.0521
19920701, 22, 1.0521
19920801, 21, 1.0043
19920901, 21, 1.0043
19921001, 21, 1.0043
19921101, 19, 0.9087
19921201, 22, 1.0521
19930101, 19, 0.9087
19930201, 19, 0.9087
19930301, 23, 1.1000
19930401, 22, 1.0521
19930501, 20, 0.9565
19930601, 22, 1.0521
19930701, 21, 1.0043
19930801, 22, 1.0521
19930901, 21, 1.0043
19931001, 20, 0.9565
19931101, 20, 0.9565
19931201, 21, 1.0043
19940101, 20, 0.9565
19940201, 19, 0.9087
19940301, 23, 1.1000
19940401, 20, 0.9565
19940501, 21, 1.0043
19940601, 22, 1.0521
19940701, 20, 0.9565
19940801, 23, 1.1000
19940901, 21, 1.0043
19941001, 20, 0.9565
19941101, 20, 0.9565
19941201, 21, 1.0043
19950101, 20, 0.9565
19950201, 19, 0.9087
19950301, 23, 1.1000
19950401, 20, 0.9565
19950501, 22, 1.0521
19950601, 22, 1.0521
19950701, 20, 0.9565
19950801, 23, 1.1000
19950901, 20, 0.9565
19951001, 21, 1.0043
19951101, 20, 0.9565
19951201, 20, 0.9565
19960101, 21, 1.0043
19960201, 20, 0.9565
19960301, 21, 1.0043
19960401, 22, 1.0521
19960501, 22, 1.0521
19960601, 20, 0.9565
19960701, 22, 1.0521
19960801, 22, 1.0521
19960901, 20, 0.9565
19961001, 22, 1.0521
19961101, 19, 0.9087
19961201, 21, 1.0043
19970101, 21, 1.0043
19970201, 19, 0.9087
19970301, 21, 1.0043
19970401, 22, 1.0521
19970501, 21, 1.0043
19970601, 21, 1.0043
19970701, 22, 1.0521
19970801, 21, 1.0043
19970901, 21, 1.0043
19971001, 22, 1.0521
19971101, 18, 0.8608
19971201, 22, 1.0521
19980101, 20, 0.9565
19980201, 19, 0.9087
19980301, 22, 1.0521
19980401, 22, 1.0521
19980501, 20, 0.9565
19980601, 22, 1.0521
19980701, 22, 1.0521
19980801, 21, 1.0043
19980901, 21, 1.0043
19981001, 21, 1.0043
19981101, 19, 0.9087
19981201, 22, 1.0521
19990101, 19, 0.9087
19990201, 19, 0.9087
19990301, 23, 1.1000
19990401, 22, 1.0521
19990501, 20, 0.9565
19990601, 22, 1.0521
19990701, 21, 1.0043
19990801, 22, 1.0521
19990901, 21, 1.0043
19991001, 20, 0.9565
19991101, 20, 0.9565
19991201, 21, 1.0043
20000101, 20, 0.9565
20000201, 20, 0.9565
20000301, 23, 1.1000
20000401, 20, 0.9565
20000501, 22, 1.0521
20000601, 22, 1.0521
20000701, 20, 0.9565
20000801, 23, 1.1000
20000901, 20, 0.9565
20001001, 21, 1.0043
20001101, 20, 0.9565
20001201, 20, 0.9565
20010101, 21, 1.0043
20010201, 19, 0.9087
20010301, 22, 1.0521
20010401, 21, 1.0043
20010501, 22, 1.0521
20010601, 21, 1.0043
20010701, 21, 1.0043
20010801, 23, 1.1000
20010901, 15, 0.7174
20011001, 22, 1.0521
20011101, 20, 0.9565
20011201, 20, 0.9565
20020101, 21, 1.0043
20020201, 19, 0.9087
20020301, 21, 1.0043
20020401, 22, 1.0521
20020501, 22, 1.0521
20020601, 20, 0.9565
20020701, 22, 1.0521
20020801, 22, 1.0521
20020901, 20, 0.9565
20021001, 22, 1.0521
20021101, 19, 0.9087
20021201, 21, 1.0043
20030101, 21, 1.0043
20030201, 19, 0.9087
20030301, 21, 1.0043
20030401, 22, 1.0521
20030501, 21, 1.0043
20030601, 21, 1.0043
20030701, 22, 1.0521
20030801, 21, 1.0043
20030901, 21, 1.0043
20031001, 22, 1.0521
20031101, 18, 0.8608
20031201, 22, 1.0521
20040101, 20, 0.9565
20040201, 19, 0.9087
20040301, 23, 1.1000
20040401, 22, 1.0521
20040501, 20, 0.9565
20040601, 21, 1.0043
20040701, 21, 1.0043
20040801, 22, 1.0521
20040901, 21, 1.0043
20041001, 20, 0.9565
20041101, 20, 0.9565
20041201, 21, 1.0043
20050101, 20, 0.9565
20050201, 19, 0.9087
20050301, 23, 1.1000
20050401, 21, 1.0043
20050501, 21, 1.0043
20050601, 22, 1.0521
20050701, 20, 0.9565
20050801, 23, 1.1000
20050901, 21, 1.0043
20051001, 20, 0.9565
20051101, 20, 0.9565
20051201, 21, 1.0043
20060101, 20, 0.9565
20060201, 19, 0.9087
20060301, 23, 1.1000
20060401, 20, 0.9565
20060501, 22, 1.0521
20060601, 22, 1.0521
20060701, 20, 0.9565
20060801, 23, 1.1000
20060901, 20, 0.9565
20061001, 21, 1.0043
20061101, 20, 0.9565
20061201, 20, 0.9565
20070101, 20, 0.9565
20070201, 19, 0.9087
20070301, 22, 1.0521
20070401, 21, 1.0043
20070501, 22, 1.0521
20070601, 21, 1.0043
20070701, 21, 1.0043
20070801, 23, 1.1000
20070901, 19, 0.9087
