"","grp","x","actual.smm","model.smm","actual.cpr","model.cpr","ratio","track.err","curt.smm","dflt.smm","cout.smm","turn.smm","refi.smm","pct_inv","pct_2nd","pct_owner","pct_purchase","pct_REFI_NCO","pct_REFI_CO","pct_REFI_Other","pct_REFI","pct_dq","incentive","burnout","refi_elig_pct","cltv","wacls","acls","wala","wam","wac","fico","pct_HARPed","pct_tpo","cai","hpa2yr","media_effect","sato","hpa","turn_cai_mult","turn_hpa2yr_mult","turn_hpa_mult","turn_wala_mult","turn_incentive_mult","turn_cltv_mult","turn_acls_mult","turn_fico_mult","turn_pct_REFI_mult","turn_tax_mult","turn_sato_mult","turn_pct_HARPed_mult","turn_HARP_eligible_mult","turn_purpose_mult","turn_occupancy_mult","turn_second_lien_mult","bal","std","n"
"1",1,-75,0.0489916785696613,0.380860219649167,0.546233186954228,4.47100899194475,0.128634275889434,0.331868541079505,0.0515391110942813,0.0182428519428836,0,0.311078256612002,0,0,3.57331901518605,96.426680984814,40.2830192675533,40.3029181289864,19.4140626034603,0,59.7169807324467,0.463469935180223,-82.1724981584476,16.1070718341352,99.3900720546133,62.736574561219,273.333187439381,272.550236631872,53.292790783208,298.664245104382,3.35535243130959,754.499081102708,2.79693237680935,44.1576768406073,164.850213920137,102.762068538969,25.355385003141,-46.2076351927229,0.386687132122933,0.9,1,0.920241709769653,1.24232060597388,1.14162198788239,1.00397273268217,0.88645833894475,0.858419504890407,1,1,0.967130420677548,1,1,0.922367925047819,1,1.00775769162207,227404468.1,0.00488823359210077,577
"2",1,-50,0.468034392550064,0.420186955587917,2.3124034218473,4.92020977874965,1.11387178094379,-0.0478474369621471,0.0524116369028775,0.0169518436329258,0,0.350823475052113,0,0,3.39488071939199,96.605119280608,33.8359495969014,44.8096628326885,21.3543875704101,0,66.1640504030986,0.513211232009297,-60.311205901292,76.1744189215486,99.8000019242124,60.0248585903324,277.831684272655,276.564727066075,54.167909021197,296.869413438178,3.49238041111919,762.322296126967,3.19088792181432,54.9242867558797,167.028861415565,103.155186494948,25.4412844668191,-31.6153498941027,0.537684261222821,0.9,1,0.920195683092722,1.24390911797355,1.26152163292131,1.00517780992949,0.881900038330495,0.855135097449626,1,1,0.990344978770333,1,1,0.913986734475972,1,1.00212289720703,1477768217.7,0.0652329594439382,2471
"3",3,-100,7.63663976140884e-05,0.421902322827766,0.000916381650965565,4.94373167477323,0.000181004923372426,0.421825956430152,0.0478036140484622,0.00767712686985363,0,0.36642158190945,0,0,0,100,28.6097701647486,46.5251336546823,24.865096180569,0,71.3902298352514,0.231072757754063,-100,0,100,62.9735632024529,211.502021534167,211.502021534167,53.3394065702221,306.660593429778,3.1,769.117581335859,0,25.4554658713628,170.598516180509,108.525380577412,23.1826568847477,-49.1625475942157,2.79910582823468,0.9,1,1.16964618836908,1.24144602794176,1.045,1.00586651239392,0.95186573263773,0.850947010357759,1,1,0.951111567997207,1,1,0.907192701214173,1,0.97,836577.5,1.5e-06,4
"4",3,-75,0.43717776588665,0.47271512171831,3.24557967354129,5.52303641691671,0.924822891845554,0.0355373558316597,0.0542414942867134,0.00927594653331586,0,0.409197680898281,0,0,4.93752548076298,95.062474519237,32.5598904884763,47.7095201808543,19.7305893306694,0,67.4401095115237,0.332793665304094,-83.969482651127,22.023675938208,100,54.5218593289451,274.385679490145,272.726921109716,57.6877921515917,293.00734804306,3.31289734298135,767.858780202793,1.87634998801178,58.6374708961217,175.657607959862,106.598192443101,19.6528476400757,-37.0416098363215,2.30069245171263,0.9,1,1.09794522942897,1.24742193506153,1.12954664976909,1.00650745777064,0.886278587899682,0.850432125844185,1,1,0.975800343145327,1,1,0.912327857635019,1,0.999809919304594,4311321548.2,0.0698983836409752,3695
"5",3,-50,0.524467708588471,0.516734709331464,4.15916256275793,6.02158497904875,1.01496512449689,-0.00773299925700715,0.0531916081476808,0.00888996414458725,0,0.454653137039196,0,0,6.11073438637286,93.8892656136271,30.3786739625949,48.7141847895687,20.9071412478364,0,69.6213260374051,0.309586157597482,-60.5837200016629,73.3989120705202,100,54.8194044440521,274.201565538145,272.444688458328,55.5419611098824,295.252093142709,3.42237210385422,766.443637222292,3.09300364440772,58.6940202073449,173.111887133015,106.500957683524,24.3422157755686,-28.0627287387653,2.34620222589695,0.9,1,1.10486701614522,1.24507453584248,1.2611473266782,1.00646940822445,0.886380819683194,0.852254649493363,1,1,0.993786531616123,1,1,0.909492276151373,1,1.00116730816167,17062381252,0.0620976194593644,11622
"6",4,-100,0,0.451333593927788,0,5.28356203266829,0,0.451333593927788,0.0459232068323206,0.0031556062004267,0,0.402254780895041,0,0,0,100,0,0,100,0,100,0,-100,0,100,63.4,328.4,328.4,49,311,3.1,721,0,100,169.3,108.1,24,-56.9,3.4768,0.9,1,1.24827415069128,1.23413975694444,1.045,1.00590338179697,0.824158569955638,0.90925912,1,1,0.94241746856,1,1,0.87,1,0.97,328442.5,NA,1
"7",4,-75,0.519158169926511,0.532047154888211,4.42295136725362,6.19547368494388,0.975774731913737,0.0128889849617003,0.0544325039397184,0.00826982630140774,0,0.469344824647085,0,0,3.89843191117681,96.1015680888232,28.4538894283537,51.9068257759375,19.6392847957089,0,71.5461105716464,0.306971547895371,-83.8922172445383,26.0268512522908,100,50.2482256692847,278.927835815495,277.17783913693,58.4019415326623,292.341855794848,3.30211809873577,771.257906118916,1.61524152747039,66.5225677241615,175.967871280666,108.753661242845,19.3029027667985,-35.3754955101698,3.50376672809622,0.9,1,1.24884183526288,1.24831467972701,1.12986966596301,1.00688705950874,0.881594819909471,0.846826939578495,1,1,0.978599708789705,1,1,0.90699005625686,1,1.00867536289647,9799901850.4,0.0626905065328522,5054
"8",4,-50,0.576495510031802,0.578804111832345,5.10490239793003,6.72052452590274,0.996011428126807,0.00230860180054311,0.0533716040475251,0.00811114211257562,0,0.517321365672245,0,0,3.69869966272842,96.3013003372716,26.65667496916,52.605924441222,20.737400589618,0,73.34332503084,0.291604570902156,-60.3611115252157,69.595208163562,99.9990754007744,51.268346592011,278.338881828944,276.51438541394,55.8089373031705,294.790828902493,3.39249115041725,769.622918849778,2.70128579873039,65.2472476053813,173.304540855568,108.726119976894,24.7795856689441,-27.9937408177829,3.48102454757529,0.9,1,1.24734334165186,1.24542328754377,1.26262391940258,1.00682230762707,0.882267033992519,0.848450076538492,1,1,0.993228161788212,1,1,0.904653677459908,1,1.00978285332533,35770546939.3,0.0643708161185045,14746
"9",8,-100,0,0.414886819400502,0,4.86659188325915,0,0.414886819400502,0.0468139086914062,0.0035909468540394,0,0.364481963855056,0,0,0,100,0,0,100,0,100,0,-100,0,100,61.1,196.2,196.2,51,309,3.1,710,0,0,166.8,110.6,23.9,-57,4.1318,0.9,1,1.28783538506603,1.2400859375,1.045,1.0063133057972,0.97195844432373,0.90992,1,1,0.94232212,1,1,0.87,1,0.97,196202,NA,1
"10",8,-75,0.581665578797854,0.56185150017558,5.74442181850503,6.53184973698268,1.03526568606844,-0.0198140786222738,0.0550540246311318,0.00796387483988692,0,0.498833600704561,0,0,5.42434139391525,94.5756586060847,25.3861452589144,56.7732555410361,17.8405992000496,0,74.6138547410856,0.316291850935254,-83.7105559460131,36.5467821865149,99.9942070884911,40.4439582619525,280.005915297653,278.202879092159,58.7497370042323,291.075380478835,3.31498644687277,773.251707743735,1.96149019266412,58.4921413537522,176.232215026907,115.87276450511,18.7624713817078,-34.4384479306149,7.54880013424849,0.9,1,1.32841706007491,1.24880857114824,1.13102788319598,1.00723511708943,0.880933083509416,0.844413125731426,1,1,0.980471003274734,1,1,0.903001988836589,1,1.00562730425107,38117138447.8,0.0693040704841788,9503
"11",8,-50,0.600750142999515,0.604982579929303,6.1225851806582,7.01424941727086,0.993004035041335,0.00423243692978795,0.0534818166478176,0.00772388796249341,0,0.543776875318992,0,0,5.2351416415178,94.7648583584822,23.890327854866,57.4921261205881,18.6175460245459,0,76.109672145134,0.299219172075977,-60.2069528570268,85.4198543782766,99.9995208834747,41.2976636479005,281.603654584678,279.732964536581,55.7472201243222,294.535328877242,3.39636990670821,772.005799687865,2.74313757370817,60.1107168757347,173.318978981137,115.854988658772,24.4063704524811,-27.3933183885213,7.77304374874347,0.9,1,1.32881878632646,1.24533019364448,1.2629291391244,1.00721236208944,0.878992635277761,0.845797884885123,1,1,0.994414935273515,1,1,0.901057426211326,1,1.00576312714205,158262191013,0.0710251673605887,26695
