"","x","y"
"1",77,0.6124
"2",78,0.6246
"3",79,0.6368
"4",80,0.649
"5",81,0.6612
"6",82,0.6734
"7",83,0.6856
"8",84,0.6978
"9",85,0.71
"10",86,0.722152
"11",87,0.734256
"12",88,0.746384
"13",89,0.758608
"14",90,0.771
"15",91,0.78356
"16",92,0.79624
"17",93,0.80904
"18",94,0.82196
"19",95,0.835
"20",96,0.848176
"21",97,0.861488
"22",98,0.874912
"23",99,0.888424
"24",100,0.902
"25",101,0.915656
"26",102,0.929408
"27",103,0.943232
"28",104,0.957104
"29",105,0.971
"30",106,0.984904
"31",107,0.998832
"32",108,1.012808
"33",109,1.026856
"34",110,1.041
"35",111,1.055288
"36",112,1.069704
"37",113,1.084176
"38",114,1.098632
"39",115,1.113
"40",116,1.12728
"41",117,1.14152
"42",118,1.15572
"43",119,1.16988
"44",120,1.184
"45",121,1.198064
"46",122,1.212072
"47",123,1.226048
"48",124,1.240016
"49",125,1.254
"50",126,1.268
"51",127,1.282
"52",128,1.296
"53",129,1.31
"54",130,1.324
"55",131,1.338
"56",132,1.352
"57",133,1.366
