,grp,x,actual.smm,model.smm,actual.cpr,model.cpr,ratio,track.err,curt.smm,dflt.smm,cout.smm,turn.smm,refi.smm,pct_inv,pct_2nd,pct_owner,pct_purchase,pct_REFI_NCO,pct_REFI_CO,pct_REFI_Other,pct_REFI,pct_dq,incentive,burnout,refi_elig_pct,cltv,wacls,acls,wala,wam,wac,fico,pct_HARPed,pct_tpo,cai,media_effect,sato,hpa_annual,hpa_cum,turn_cai_mult,turn_hpa_annual_mult,turn_lohpa_wala_mult,turn_hihpa_wala_mult,turn_pct_hihpa_wala_mult,turn_incentive_mult,turn_cltv_mult,turn_acls_mult,turn_fico_mult,turn_tax_mult,turn_sato_mult,turn_pct_HARPed_mult,turn_HARP_eligible_mult,turn_pct_purchase_mult,turn_pct_inv_mult,turn_pct_second_lien_mult,bal,std,n
1,10,-75,0.512140483,0.461155435,5.975497245,5.395642099,1.110559358,-0.050985049,0.039827678,0.010452022,0,0.410875734,0,0,5.238992239,94.76100776,46.45740487,35.00525441,18.53734072,0,53.54259513,0.508703964,-84.63597392,38.66366002,100,63.63206365,277.0585749,274.8869899,23.47326648,329.9981987,3.508592286,780.3855509,5.069913894,46.84749639,178.3960078,17.96747809,-27.23452994,4.286803711,7.179239559,0.9,1.2078468,0.920762797,1.238400212,0.19217253,1.217644109,0.996861472,0.883007147,0.83908111,1,0.996185372,1,1,0.930394626,1,0.98976803,33820007754,0.076896096,13011
2,10,-50,0.455172706,0.45189584,5.327385815,5.289981282,1.007251375,-0.003276866,0.039790481,0.009777327,0,0.402328033,0,0,5.453808013,94.54619199,46.75591487,35.53994465,17.70414048,0,53.24408513,0.473961363,-59.78951459,93.77596317,100,63.27858328,281.4675828,279.4163492,23.79380138,329.9783601,3.558597627,780.5888824,4.07250951,47.0145468,176.0569201,25.29955109,-27.95824853,4.39283554,7.116975024,0.9,1.199646648,0.918837175,1.216208224,0.239203028,1.28285332,0.997066684,0.878681142,0.838638858,1,0.993977135,1,1,0.930782689,1,0.991237817,68128451307,0.063604627,29522
3,10,-25,0.484480904,0.512804104,5.66132924,5.983023114,0.944767993,0.0283232,0.037703821,0.008677096,0,0.422766002,0.043657185,0,5.48884706,94.51115294,48.22431842,32.22875112,19.54693046,0,51.77568158,0.457578548,-36.03429813,168.0189827,100,63.36826686,292.0996697,289.964368,19.33341079,335.6819904,3.661879547,780.0611363,3.947436844,48.51388108,174.8171496,30.2963006,-22.18149521,5.294287899,7.365253223,0.9,1.236180279,0.852841622,1.190813182,0.393202753,1.287,0.996948487,0.866809832,0.839718677,1,1.00573089,1,1,0.932691614,1,0.990921226,1.59141E+11,0.060783193,52657
4,10,0,0.630426377,0.692235181,7.30824263,7.997742315,0.910711264,0.061808804,0.038176341,0.009758644,0,0.456051478,0.188248718,0,5.679523769,94.32047623,46.47526837,26.93080364,26.59392799,0,53.52473163,0.479266252,-13.39875335,423.3296761,100,63.35481577,294.60513,292.595203,21.25286444,333.8571387,3.879263267,778.7860322,3.217606402,46.02074441,173.7602787,30.84315036,-12.97254642,5.01045576,7.582576177,0.9,1.226794664,0.892477135,1.208954084,0.353364676,1.287,0.99706753,0.864125189,0.842238345,1,1.023794645,1,1,0.930417849,1,1.00116047,1.24958E+11,0.061807484,58101
5,10,25,0.807745145,0.940649822,9.273709587,10.72174428,0.85870972,0.132904677,0.0395552,0.014960551,0,0.479577511,0.40655656,0,6.194964246,93.80503575,48.38866483,22.06802523,29.54330994,0,51.61133517,0.674476852,10.82998763,866.9916442,100,63.88560448,290.5630903,288.7043387,25.65064575,329.0595373,4.112297799,777.5574641,3.652528135,44.33984209,173.9310397,31.48904883,-5.058347172,4.23311864,7.780443371,0.9,1.19920547,0.990876772,1.230597002,0.225570055,1.287,0.996818224,0.868280628,0.84458085,1,1.035662849,1,1,0.932905264,1,1.006533498,48679324835,0.072187042,34691
6,10,50,1.013720957,1.21254613,11.50881928,13.61834793,0.836026714,0.198825173,0.040019311,0.018703296,0,0.489737492,0.664086032,0,6.333063797,93.6669362,41.33669142,23.19517065,35.46813792,0,58.66330858,0.844932145,33.17214733,1236.540778,100,63.93645453,299.9077845,298.4141387,27.35009782,327.7100136,4.274881541,774.911724,6.350895643,44.22610133,174.7208512,33.67995763,7.72509316,4.079932617,7.944069245,0.9,1.190073489,1.020274472,1.233208013,0.204776007,1.287,0.996847136,0.858081518,0.849641543,1,1.049492229,1,1,0.923737699,1,1.023080452,8456027146,0.097534931,10212
7,10,75,1.86619326,1.760882473,20.23290934,19.19961483,1.059805687,-0.105310786,0.038137746,0.026369295,0,0.492916856,1.203458576,0,8.434933977,91.56506602,21.61819709,29.30821357,49.07358934,0,78.38180291,1.432448871,58.06465862,1414.749017,100,64.85135426,295.766726,295.0811423,20.41329872,334.8479376,4.553884542,770.8448229,15.08395004,44.01132567,174.5598201,32.98180446,46.63623711,5.243095987,7.998321198,0.9,1.246855212,0.885506346,1.213358098,0.359572818,1.287,0.996179261,0.863117731,0.856956778,1,1.075939834,1,1,0.898103656,1,1.031300592,426584477.1,0.136976734,1175
8,10,100,3.553667294,1.987455062,35.22183772,21.40770122,1.78804913,-1.566212232,0.041778033,0.032545985,0,0.519667997,1.393463048,0,9.506187344,90.49381266,28.2840958,40.9608706,30.7550336,0,71.7159042,1.691429075,83.00627146,1432.295627,100,63.87898825,294.4487086,294.2686024,21.96593373,330.1955819,4.694596574,774.4285645,32.62937617,48.88532333,174.7785878,32.82963887,70.35246265,5.761633716,8.190467709,0.9,1.233459166,0.854809559,1.194518726,0.521980054,1.287,0.996618917,0.863833129,0.84990095,1,1.073396506,1,1,0.906769325,1,1.074156895,35235735.2,0.15699801,125
9,20,-75,0.62885334,0.617017197,7.290633184,7.158034483,1.01918284,-0.011836142,0.042371594,0.01030117,0.017371748,0.546972686,0,0,5.378362272,94.62163773,38.75346455,40.52829096,20.71824449,0,61.24653545,0.469435271,-84.89593144,59.57173279,100,55.86791372,284.9333457,282.7769494,29.94646972,323.0103452,3.513944651,781.1063462,4.388209193,51.40559544,178.0012678,16.87915876,-26.05769071,6.852688731,14.53011903,0.9,1.262965208,1.007401693,1.247031489,0.635521069,1.214172942,1.001713918,0.875302508,0.837668569,1,0.997895377,1,1,0.920379504,1,0.989781415,93544998778,0.084419166,21989
10,20,-50,0.63832484,0.641333315,7.396616051,7.430256621,0.99530903,0.003008475,0.04448626,0.010583093,0.038486594,0.547777368,0,0,5.404417208,94.59558279,37.19204419,40.26638746,22.54156834,0,62.80795581,0.429075659,-61.06606736,158.4669504,100,55.65611334,284.5199827,282.4696932,35.47756042,316.9896072,3.587641482,780.6429687,3.112385995,52.46543243,175.9051101,23.08163332,-24.86449542,5.927543932,15.00706018,0.9,1.25141757,1.077786482,1.244098565,0.494286102,1.282528584,1.00205616,0.875690896,0.838587709,1,1.00000427,1,1,0.918349657,1,0.996654278,1.65493E+11,0.071845311,48032
