"","x","y"
"1",560,0.91
"2",561,0.91
"3",562,0.91
"4",563,0.91
"5",564,0.91
"6",565,0.91
"7",566,0.91
"8",567,0.91
"9",568,0.91
"10",569,0.91
"11",570,0.91
"12",571,0.91
"13",572,0.91
"14",573,0.91
"15",574,0.91
"16",575,0.91
"17",576,0.91
"18",577,0.91
"19",578,0.91
"20",579,0.91
"21",580,0.91
"22",581,0.91
"23",582,0.91
"24",583,0.91
"25",584,0.91
"26",585,0.91
"27",586,0.91
"28",587,0.91
"29",588,0.91
"30",589,0.91
"31",590,0.91
"32",591,0.91
"33",592,0.91
"34",593,0.91
"35",594,0.91
"36",595,0.91
"37",596,0.91
"38",597,0.91
"39",598,0.91
"40",599,0.91
"41",600,0.91
"42",601,0.91
"43",602,0.91
"44",603,0.91
"45",604,0.91
"46",605,0.91
"47",606,0.91
"48",607,0.91
"49",608,0.91
"50",609,0.91
"51",610,0.91
"52",611,0.91
"53",612,0.91
"54",613,0.91
"55",614,0.91
"56",615,0.91
"57",616,0.91
"58",617,0.91
"59",618,0.91
"60",619,0.91
"61",620,0.91
"62",621,0.91
"63",622,0.91
"64",623,0.91
"65",624,0.91
"66",625,0.91
"67",626,0.91
"68",627,0.91
"69",628,0.91
"70",629,0.91
"71",630,0.91
"72",631,0.91
"73",632,0.91
"74",633,0.91
"75",634,0.91
"76",635,0.91
"77",636,0.91
"78",637,0.91
"79",638,0.91
"80",639,0.91
"81",640,0.91
"82",641,0.91
"83",642,0.91
"84",643,0.91
"85",644,0.91
"86",645,0.91
"87",646,0.91
"88",647,0.91
"89",648,0.91
"90",649,0.91
"91",650,0.91
"92",651,0.91
"93",652,0.91
"94",653,0.91
"95",654,0.91
"96",655,0.91
"97",656,0.91
"98",657,0.91
"99",658,0.91
"100",659,0.91
"101",660,0.91
"102",661,0.91
"103",662,0.91
"104",663,0.91
"105",664,0.91
"106",665,0.91
"107",666,0.91
"108",667,0.91
"109",668,0.91
"110",669,0.91
"111",670,0.91
"112",671,0.91
"113",672,0.91
"114",673,0.91
"115",674,0.91
"116",675,0.91
"117",676,0.91
"118",677,0.91
"119",678,0.91
"120",679,0.91
"121",680,0.91
"122",681,0.91
"123",682,0.91
"124",683,0.91
"125",684,0.91
"126",685,0.91
"127",686,0.91
"128",687,0.91
"129",688,0.91
"130",689,0.91
"131",690,0.91
"132",691,0.91
"133",692,0.91
"134",693,0.91
"135",694,0.91
"136",695,0.91
"137",696,0.91
"138",697,0.91
"139",698,0.91
"140",699,0.91
"141",700,0.91
"142",701,0.90999992
"143",702,0.90999936
"144",703,0.90999784
"145",704,0.90999488
"146",705,0.90999
"147",706,0.90998272
"148",707,0.90997256
"149",708,0.90995904
"150",709,0.90994168
"151",710,0.90992
"152",711,0.90989352
"153",712,0.90986176
"154",713,0.90982424
"155",714,0.90978048
"156",715,0.90973
"157",716,0.90967232
"158",717,0.90960696
"159",718,0.90953344
"160",719,0.90945128
"161",720,0.90936
"162",721,0.90925912
"163",722,0.90914816
"164",723,0.90902664
"165",724,0.90889408
"166",725,0.90875
"167",726,0.90859392
"168",727,0.90842536
"169",728,0.90824384
"170",729,0.90804888
"171",730,0.90784
"172",731,0.90761672
"173",732,0.90737856
"174",733,0.90712504
"175",734,0.90685568
"176",735,0.90657
"177",736,0.90626752
"178",737,0.90594776
"179",738,0.90561024
"180",739,0.90525448
"181",740,0.90488
"182",741,0.90448632
"183",742,0.90407296
"184",743,0.90363944
"185",744,0.90318528
"186",745,0.90271
"187",746,0.90221312
"188",747,0.90169416
"189",748,0.90115264
"190",749,0.90058808
"191",750,0.9
"192",751,0.899134
"193",752,0.897792
"194",753,0.896058
"195",754,0.894016
"196",755,0.89175
"197",756,0.889344
"198",757,0.886882
"199",758,0.884448
"200",759,0.882126
"201",760,0.88
"202",761,0.878
"203",762,0.876
"204",763,0.874
"205",764,0.872
"206",765,0.87
"207",766,0.868
"208",767,0.866
"209",768,0.864
"210",769,0.862
"211",770,0.86
"212",771,0.858
"213",772,0.856
"214",773,0.854
"215",774,0.852
"216",775,0.85
"217",776,0.848
"218",777,0.846
"219",778,0.844
"220",779,0.842
"221",780,0.84
"222",781,0.838
"223",782,0.836
"224",783,0.834
"225",784,0.832
"226",785,0.83
"227",786,0.828
"228",787,0.826
"229",788,0.824
"230",789,0.822
"231",790,0.82
"232",791,0.818
"233",792,0.816
"234",793,0.814
"235",794,0.812
"236",795,0.81
"237",796,0.808
"238",797,0.806
"239",798,0.804
"240",799,0.802
"241",800,0.8
"242",801,0.798
"243",802,0.796
"244",803,0.794
"245",804,0.792
"246",805,0.79
"247",806,0.788
"248",807,0.786
"249",808,0.784
"250",809,0.782
"251",810,0.78
"252",811,0.778
"253",812,0.776
"254",813,0.774
"255",814,0.772
"256",815,0.77
"257",816,0.768
"258",817,0.766
"259",818,0.764
"260",819,0.762
"261",820,0.76
"262",821,0.758
"263",822,0.756
"264",823,0.754
"265",824,0.752
"266",825,0.75
"267",826,0.748
"268",827,0.746
"269",828,0.744
"270",829,0.742
"271",830,0.74
"272",831,0.738
"273",832,0.736
"274",833,0.734
"275",834,0.732
"276",835,0.73
"277",836,0.728
"278",837,0.726
"279",838,0.724
"280",839,0.722
"281",840,0.72
