"","x","y"
"1",-420,0.92
"2",-419,0.92
"3",-418,0.92
"4",-417,0.92
"5",-416,0.92
"6",-415,0.92
"7",-414,0.92
"8",-413,0.92
"9",-412,0.92
"10",-411,0.92
"11",-410,0.92
"12",-409,0.92
"13",-408,0.92
"14",-407,0.92
"15",-406,0.92
"16",-405,0.92
"17",-404,0.92
"18",-403,0.92
"19",-402,0.92
"20",-401,0.92
"21",-400,0.92
"22",-399,0.92
"23",-398,0.92
"24",-397,0.92
"25",-396,0.92
"26",-395,0.92
"27",-394,0.92
"28",-393,0.92
"29",-392,0.92
"30",-391,0.92
"31",-390,0.92
"32",-389,0.92
"33",-388,0.92
"34",-387,0.92
"35",-386,0.92
"36",-385,0.92
"37",-384,0.92
"38",-383,0.92
"39",-382,0.92
"40",-381,0.92
"41",-380,0.92
"42",-379,0.92
"43",-378,0.92
"44",-377,0.92
"45",-376,0.92
"46",-375,0.92
"47",-374,0.92
"48",-373,0.92
"49",-372,0.92
"50",-371,0.92
"51",-370,0.92
"52",-369,0.92
"53",-368,0.92
"54",-367,0.92
"55",-366,0.92
"56",-365,0.92
"57",-364,0.92
"58",-363,0.92
"59",-362,0.92
"60",-361,0.92
"61",-360,0.92
"62",-359,0.92
"63",-358,0.92
"64",-357,0.92
"65",-356,0.92
"66",-355,0.92
"67",-354,0.92
"68",-353,0.92
"69",-352,0.92
"70",-351,0.92
"71",-350,0.92
"72",-349,0.92
"73",-348,0.92
"74",-347,0.92
"75",-346,0.92
"76",-345,0.92
"77",-344,0.92
"78",-343,0.92
"79",-342,0.92
"80",-341,0.92
"81",-340,0.92
"82",-339,0.92
"83",-338,0.92
"84",-337,0.92
"85",-336,0.92
"86",-335,0.92
"87",-334,0.92
"88",-333,0.92
"89",-332,0.92
"90",-331,0.92
"91",-330,0.92
"92",-329,0.92
"93",-328,0.92
"94",-327,0.92
"95",-326,0.92
"96",-325,0.92
"97",-324,0.92
"98",-323,0.92
"99",-322,0.92
"100",-321,0.92
"101",-320,0.92
"102",-319,0.92
"103",-318,0.92
"104",-317,0.92
"105",-316,0.92
"106",-315,0.92
"107",-314,0.92
"108",-313,0.92
"109",-312,0.92
"110",-311,0.92
"111",-310,0.92
"112",-309,0.92
"113",-308,0.92
"114",-307,0.92
"115",-306,0.92
"116",-305,0.92
"117",-304,0.92
"118",-303,0.92
"119",-302,0.92
"120",-301,0.92
"121",-300,0.92
"122",-299,0.92
"123",-298,0.92
"124",-297,0.92
"125",-296,0.92
"126",-295,0.92
"127",-294,0.92
"128",-293,0.92
"129",-292,0.92
"130",-291,0.92
"131",-290,0.92
"132",-289,0.92
"133",-288,0.92
"134",-287,0.92
"135",-286,0.92
"136",-285,0.92
"137",-284,0.92
"138",-283,0.92
"139",-282,0.92
"140",-281,0.92
"141",-280,0.92
"142",-279,0.92
"143",-278,0.92
"144",-277,0.92
"145",-276,0.92
"146",-275,0.92
"147",-274,0.92
"148",-273,0.92
"149",-272,0.92
"150",-271,0.92
"151",-270,0.92
"152",-269,0.92
"153",-268,0.92
"154",-267,0.92
"155",-266,0.92
"156",-265,0.92
"157",-264,0.92
"158",-263,0.92
"159",-262,0.92
"160",-261,0.92
"161",-260,0.92
"162",-259,0.92
"163",-258,0.92
"164",-257,0.92
"165",-256,0.92
"166",-255,0.92
"167",-254,0.92
"168",-253,0.92
"169",-252,0.92
"170",-251,0.92
"171",-250,0.92
"172",-249,0.92
"173",-248,0.92
"174",-247,0.92
"175",-246,0.92
"176",-245,0.92
"177",-244,0.92
"178",-243,0.92
"179",-242,0.92
"180",-241,0.92
"181",-240,0.92
"182",-239,0.92
"183",-238,0.92
"184",-237,0.92
"185",-236,0.92
"186",-235,0.92
"187",-234,0.92
"188",-233,0.92
"189",-232,0.92
"190",-231,0.92
"191",-230,0.92
"192",-229,0.92
"193",-228,0.92
"194",-227,0.92
"195",-226,0.92
"196",-225,0.92
"197",-224,0.92
"198",-223,0.92
"199",-222,0.92
"200",-221,0.92
"201",-220,0.92
"202",-219,0.92
"203",-218,0.92
"204",-217,0.92
"205",-216,0.92
"206",-215,0.92
"207",-214,0.92
"208",-213,0.92
"209",-212,0.92
"210",-211,0.92
"211",-210,0.92
"212",-209,0.92
"213",-208,0.92
"214",-207,0.92
"215",-206,0.92
"216",-205,0.92
"217",-204,0.92
"218",-203,0.92
"219",-202,0.92
"220",-201,0.92
"221",-200,0.92
"222",-199,0.920000005
"223",-198,0.92000004
"224",-197,0.920000135
"225",-196,0.92000032
"226",-195,0.920000625
"227",-194,0.92000108
"228",-193,0.920001715
"229",-192,0.92000256
"230",-191,0.920003645
"231",-190,0.920005
"232",-189,0.920006655
"233",-188,0.92000864
"234",-187,0.920010985
"235",-186,0.92001372
"236",-185,0.920016875
"237",-184,0.92002048
"238",-183,0.920024565
"239",-182,0.92002916
"240",-181,0.920034295
"241",-180,0.92004
"242",-179,0.920046305
"243",-178,0.92005324
"244",-177,0.920060835
"245",-176,0.92006912
"246",-175,0.920078125
"247",-174,0.92008788
"248",-173,0.920098415
"249",-172,0.92010976
"250",-171,0.920121945
"251",-170,0.920135
"252",-169,0.920148955
"253",-168,0.92016384
"254",-167,0.920179685
"255",-166,0.92019652
"256",-165,0.920214375
"257",-164,0.92023328
"258",-163,0.920253265
"259",-162,0.92027436
"260",-161,0.920296595
"261",-160,0.92032
"262",-159,0.920344605
"263",-158,0.92037044
"264",-157,0.920397535
"265",-156,0.92042592
"266",-155,0.920455625
"267",-154,0.92048668
"268",-153,0.920519115
"269",-152,0.92055296
"270",-151,0.920588245
"271",-150,0.920625
"272",-149,0.920663255
"273",-148,0.92070304
"274",-147,0.920744385
"275",-146,0.92078732
"276",-145,0.920831875
"277",-144,0.92087808
"278",-143,0.920925965
"279",-142,0.92097556
"280",-141,0.921026895
"281",-140,0.92108
"282",-139,0.921134905
"283",-138,0.92119164
"284",-137,0.921250235
"285",-136,0.92131072
"286",-135,0.921373125
"287",-134,0.92143748
"288",-133,0.921503815
"289",-132,0.92157216
"290",-131,0.921642545
"291",-130,0.921715
"292",-129,0.921789555
"293",-128,0.92186624
"294",-127,0.921945085
"295",-126,0.92202612
"296",-125,0.922109375
"297",-124,0.92219488
"298",-123,0.922282665
"299",-122,0.92237276
"300",-121,0.922465195
"301",-120,0.92256
"302",-119,0.922657205
"303",-118,0.92275684
"304",-117,0.922858935
"305",-116,0.92296352
"306",-115,0.923070625
"307",-114,0.92318028
"308",-113,0.923292515
"309",-112,0.92340736
"310",-111,0.923524845
"311",-110,0.923645
"312",-109,0.923767855
"313",-108,0.92389344
"314",-107,0.924021785
"315",-106,0.92415292
"316",-105,0.924286875
"317",-104,0.92442368
"318",-103,0.924563365
"319",-102,0.92470596
"320",-101,0.924851495
"321",-100,0.925
"322",-99,0.92514916
"323",-98,0.92529728
"324",-97,0.92544532
"325",-96,0.92559424
"326",-95,0.925745
"327",-94,0.92589856
"328",-93,0.92605588
"329",-92,0.92621792
"330",-91,0.92638564
"331",-90,0.92656
"332",-89,0.92674196
"333",-88,0.92693248
"334",-87,0.92713252
"335",-86,0.92734304
"336",-85,0.927565
"337",-84,0.92779936
"338",-83,0.92804708
"339",-82,0.92830912
"340",-81,0.92858644
"341",-80,0.92888
"342",-79,0.92919076
"343",-78,0.92951968
"344",-77,0.92986772
"345",-76,0.93023584
"346",-75,0.930625
"347",-74,0.93103616
"348",-73,0.93147028
"349",-72,0.93192832
"350",-71,0.93241124
"351",-70,0.93292
"352",-69,0.93345556
"353",-68,0.93401888
"354",-67,0.93461092
"355",-66,0.93523264
"356",-65,0.935885
"357",-64,0.93656896
"358",-63,0.93728548
