"","x","y"
"1",560,1.28
"2",561,1.278
"3",562,1.276
"4",563,1.274
"5",564,1.272
"6",565,1.27
"7",566,1.268
"8",567,1.266
"9",568,1.264
"10",569,1.262
"11",570,1.26
"12",571,1.258
"13",572,1.256
"14",573,1.254
"15",574,1.252
"16",575,1.25
"17",576,1.248
"18",577,1.246
"19",578,1.244
"20",579,1.242
"21",580,1.24
"22",581,1.238
"23",582,1.236
"24",583,1.234
"25",584,1.232
"26",585,1.23
"27",586,1.228
"28",587,1.226
"29",588,1.224
"30",589,1.222
"31",590,1.22
"32",591,1.218
"33",592,1.216
"34",593,1.214
"35",594,1.212
"36",595,1.21
"37",596,1.208
"38",597,1.206
"39",598,1.204
"40",599,1.202
"41",600,1.2
"42",601,1.198
"43",602,1.196
"44",603,1.194
"45",604,1.192
"46",605,1.19
"47",606,1.188
"48",607,1.186
"49",608,1.184
"50",609,1.182
"51",610,1.18
"52",611,1.178
"53",612,1.176
"54",613,1.174
"55",614,1.172
"56",615,1.17
"57",616,1.168
"58",617,1.166
"59",618,1.164
"60",619,1.162
"61",620,1.16
"62",621,1.158
"63",622,1.156
"64",623,1.154
"65",624,1.152
"66",625,1.15
"67",626,1.148
"68",627,1.146
"69",628,1.144
"70",629,1.142
"71",630,1.14
"72",631,1.138
"73",632,1.136
"74",633,1.134
"75",634,1.132
"76",635,1.13
"77",636,1.128
"78",637,1.126
"79",638,1.124
"80",639,1.122
"81",640,1.12
"82",641,1.118
"83",642,1.116
"84",643,1.114
"85",644,1.112
"86",645,1.11
"87",646,1.108
"88",647,1.106
"89",648,1.104
"90",649,1.102
"91",650,1.1
"92",651,1.098
"93",652,1.096
"94",653,1.094
"95",654,1.092
"96",655,1.09
"97",656,1.088
"98",657,1.086
"99",658,1.084
"100",659,1.082
"101",660,1.08
"102",661,1.078
"103",662,1.076
"104",663,1.074
"105",664,1.072
"106",665,1.07
"107",666,1.068
"108",667,1.066
"109",668,1.064
"110",669,1.062
"111",670,1.06
"112",671,1.058
"113",672,1.056
"114",673,1.054
"115",674,1.052
"116",675,1.05
"117",676,1.048
"118",677,1.046
"119",678,1.044
"120",679,1.042
"121",680,1.04
"122",681,1.038
"123",682,1.036
"124",683,1.034
"125",684,1.032
"126",685,1.03
"127",686,1.028
"128",687,1.026
"129",688,1.024
"130",689,1.022
"131",690,1.02
"132",691,1.018
"133",692,1.016
"134",693,1.014
"135",694,1.012
"136",695,1.01
"137",696,1.008
"138",697,1.006
"139",698,1.004
"140",699,1.002
"141",700,1
"142",701,0.998
"143",702,0.996
"144",703,0.994
"145",704,0.992
"146",705,0.99
"147",706,0.988
"148",707,0.986
"149",708,0.984
"150",709,0.982
"151",710,0.98
"152",711,0.978
"153",712,0.976
"154",713,0.974
"155",714,0.972
"156",715,0.97
"157",716,0.968
"158",717,0.966
"159",718,0.964
"160",719,0.962
"161",720,0.96
"162",721,0.958
"163",722,0.956
"164",723,0.954
"165",724,0.952
"166",725,0.95
"167",726,0.948
"168",727,0.946
"169",728,0.944
"170",729,0.942
"171",730,0.94
"172",731,0.938
"173",732,0.936
"174",733,0.934
"175",734,0.932
"176",735,0.93
"177",736,0.928
"178",737,0.926
"179",738,0.924
"180",739,0.922
"181",740,0.92
"182",741,0.918
"183",742,0.916
"184",743,0.914
"185",744,0.912
"186",745,0.91
"187",746,0.908
"188",747,0.906
"189",748,0.904
"190",749,0.902
"191",750,0.9
"192",751,0.898
"193",752,0.896
"194",753,0.894
"195",754,0.892
"196",755,0.89
"197",756,0.888
"198",757,0.886
"199",758,0.884
"200",759,0.882
"201",760,0.88
"202",761,0.878
"203",762,0.876
"204",763,0.874
"205",764,0.872
"206",765,0.87
"207",766,0.868
"208",767,0.866
"209",768,0.864
"210",769,0.862
"211",770,0.86
"212",771,0.858
"213",772,0.856
"214",773,0.854
"215",774,0.852
"216",775,0.85
"217",776,0.848
"218",777,0.846
"219",778,0.844
"220",779,0.842
"221",780,0.84
"222",781,0.838
"223",782,0.836
"224",783,0.834
"225",784,0.832
"226",785,0.83
"227",786,0.828
"228",787,0.826
"229",788,0.824
"230",789,0.822
"231",790,0.82
"232",791,0.818
"233",792,0.816
"234",793,0.814
"235",794,0.812
"236",795,0.81
"237",796,0.808
"238",797,0.806
"239",798,0.804
"240",799,0.802
"241",800,0.8
"242",801,0.798
"243",802,0.796
"244",803,0.794
"245",804,0.792
"246",805,0.79
"247",806,0.788
"248",807,0.786
"249",808,0.784
"250",809,0.782
"251",810,0.78
"252",811,0.778
"253",812,0.776
"254",813,0.774
"255",814,0.772
"256",815,0.77
"257",816,0.768
"258",817,0.766
"259",818,0.764
"260",819,0.762
"261",820,0.76
"262",821,0.758
"263",822,0.756
"264",823,0.754
"265",824,0.752
"266",825,0.75
"267",826,0.748
"268",827,0.746
"269",828,0.744
"270",829,0.742
"271",830,0.74
"272",831,0.738
"273",832,0.736
"274",833,0.734
"275",834,0.732
"276",835,0.73
"277",836,0.728
"278",837,0.726
"279",838,0.724
"280",839,0.722
"281",840,0.72
