asofdate,MBA_CAI_18M,MBA_CAI_OFFICIAL,
1/1/1994,193.9970978,,
2/1/1994,194.8722839,,
3/1/1994,195.1337724,,
4/1/1994,196.7133766,,
5/1/1994,197.2630362,,
6/1/1994,197.971012,,
7/1/1994,198.4036243,,
8/1/1994,197.530217,,
9/1/1994,196.6571655,,
10/1/1994,194.4211717,,
11/1/1994,193.3894483,,
12/1/1994,191.0179074,,
1/1/1995,188.4186758,,
2/1/1995,187.5345955,,
3/1/1995,184.863499,,
4/1/1995,183.8705541,,
5/1/1995,183.4382976,,
6/1/1995,184.9211332,,
7/1/1995,186.8387158,,
8/1/1995,186.7889084,,
9/1/1995,189.4820625,,
10/1/1995,191.3245783,,
11/1/1995,194.3468165,,
12/1/1995,198.5807961,,
1/1/1996,200.903597,,
2/1/1996,203.1556003,,
3/1/1996,206.0885411,,
4/1/1996,209.0823179,,
5/1/1996,212.8865314,,
6/1/1996,217.0956074,,
7/1/1996,220.7849082,,
8/1/1996,223.8334731,,
9/1/1996,227.1716322,,
10/1/1996,229.4663275,,
11/1/1996,232.5778631,,
12/1/1996,233.8539983,,
1/1/1997,235.458862,,
2/1/1997,237.5827892,,
3/1/1997,238.7336946,,
4/1/1997,238.2231693,,
5/1/1997,238.5494074,,
6/1/1997,238.7678482,,
7/1/1997,241.238648,,
8/1/1997,244.1217814,,
9/1/1997,246.8985406,,
10/1/1997,249.9417691,,
11/1/1997,252.4808761,,
12/1/1997,255.6258538,,
1/1/1998,261.9357322,,
2/1/1998,265.7054363,,
3/1/1998,268.434167,,
4/1/1998,273.3384111,,
5/1/1998,277.9633784,,
6/1/1998,283.1113227,,
7/1/1998,288.6911678,,
8/1/1998,293.7039208,,
9/1/1998,299.9298383,,
10/1/1998,308.3814323,,
11/1/1998,314.9446166,,
12/1/1998,320.1761661,,
1/1/1999,324.0775039,,
2/1/1999,326.4294776,,
3/1/1999,329.1955638,,
4/1/1999,333.2569966,,
5/1/1999,337.7716761,,
6/1/1999,343.5866831,,
7/1/1999,344.7023675,,
8/1/1999,347.7228268,,
9/1/1999,350.5778547,,
10/1/1999,352.0848825,,
11/1/1999,354.261819,,
12/1/1999,354.7837288,,
1/1/2000,356.1089598,,
2/1/2000,357.8895722,,
3/1/2000,358.1603107,,
4/1/2000,358.6099998,,
5/1/2000,359.9316731,,
6/1/2000,362.318512,,
7/1/2000,365.5876523,,
8/1/2000,369.9600252,,
9/1/2000,374.128188,,
10/1/2000,376.0564436,,
11/1/2000,377.8085946,,
