asofdate,MBA_CAI_RAW
6/1/2004,377
7/1/2004,383.5
8/1/2004,390
9/1/2004,396.5
10/1/2004,403
11/1/2004,409.5
12/1/2004,416
1/1/2005,480.8
2/1/2005,545.7
3/1/2005,610.5
4/1/2005,675.3
5/1/2005,740.2
6/1/2005,805
7/1/2005,812.2
8/1/2005,819.3
9/1/2005,826.5
10/1/2005,833.7
11/1/2005,840.8
12/1/2005,848
1/1/2006,851.8
2/1/2006,855.7
3/1/2006,859.5
4/1/2006,863.3
5/1/2006,867.2
6/1/2006,871
7/1/2006,846.8
8/1/2006,822.7
9/1/2006,798.5
10/1/2006,774.3
11/1/2006,750.2
12/1/2006,726
1/1/2007,696.3
2/1/2007,666.7
3/1/2007,637
4/1/2007,607.3
5/1/2007,577.7
6/1/2007,548
7/1/2007,509.5
8/1/2007,471
9/1/2007,432.5
10/1/2007,394
11/1/2007,355.5
12/1/2007,317
1/1/2008,283.8
2/1/2008,250.7
3/1/2008,217.5
4/1/2008,184.3
5/1/2008,151.2
6/1/2008,118
7/1/2008,112.3
8/1/2008,106.7
9/1/2008,101
10/1/2008,95.3
11/1/2008,89.7
12/1/2008,84
1/1/2009,91.2
2/1/2009,98.3
3/1/2009,105.5
4/1/2009,112.7
5/1/2009,119.8
6/1/2009,127
7/1/2009,121.5
8/1/2009,116
9/1/2009,110.5
10/1/2009,105
11/1/2009,99.5
12/1/2009,94
1/1/2010,94.7
2/1/2010,95.3
3/1/2010,96
4/1/2010,96.7
5/1/2010,97.3
6/1/2010,98
7/1/2010,101.2
8/1/2010,104.3
9/1/2010,107.5
10/1/2010,110.7
11/1/2010,113.8
12/1/2010,117
1/1/2011,109.5
2/1/2011,102
3/1/2011,94.5
4/1/2011,95.7
5/1/2011,91
6/1/2011,92.6
7/1/2011,94.2
8/1/2011,97.5
9/1/2011,100.8
10/1/2011,98.2
11/1/2011,96.5
12/1/2011,97.5
1/1/2012,101.3
2/1/2012,98.2
3/1/2012,100
4/1/2012,101.7
5/1/2012,101.9
6/1/2012,101.7
7/1/2012,96.7
8/1/2012,99.3
9/1/2012,99.4
10/1/2012,88.4
11/1/2012,95.5
12/1/2012,88.2
1/1/2013,96.2
2/1/2013,102.3
3/1/2013,101.4
4/1/2013,102.8
5/1/2013,105.9
6/1/2013,110.8
7/1/2013,115.5
8/1/2013,114.7
9/1/2013,118.1
10/1/2013,123.5
11/1/2013,113.6
12/1/2013,112.8
1/1/2014,113.4
2/1/2014,114.8
3/1/2014,119
4/1/2014,122.8
5/1/2014,126.2
6/1/2014,127.5
7/1/2014,130.4
8/1/2014,130.5
9/1/2014,130.3
10/1/2014,131.7
11/1/2014,132.9
12/1/2014,134.3
1/1/2015,135
2/1/2015,136.6
3/1/2015,141
4/1/2015,145
5/1/2015,149
6/1/2015,150.7
7/1/2015,155.7
8/1/2015,163
9/1/2015,161.5
10/1/2015,159.5
11/1/2015,160.1
12/1/2015,164
1/1/2016,162.7
2/1/2016,164
3/1/2016,165
4/1/2016,165.9
5/1/2016,163.8
6/1/2016,163.7
7/1/2016,165.3
8/1/2016,164.7
9/1/2016,167
10/1/2016,171.3
