asofdate,cai18m
1/1/1994,35.54792256
2/1/1994,36.96132922
3/1/1994,37.38362756
4/1/1994,39.93465422
5/1/1994,40.82234256
6/1/1994,41.96570811
7/1/1994,42.66436767
8/1/1994,41.25383378
9/1/1994,39.84387444
10/1/1994,36.23279278
11/1/1994,34.56658167
12/1/1994,30.73659433
1/1/1995,26.53889144
2/1/1995,25.11112089
3/1/1995,20.79735778
4/1/1995,19.19377322
5/1/1995,18.49568822
6/1/1995,20.89043578
7/1/1995,23.98729022
8/1/1995,23.90685244
9/1/1995,28.256238
10/1/1995,31.23186122
11/1/1995,36.11271067
12/1/1995,42.95049633
1/1/1996,46.70176956
2/1/1996,50.33870622
3/1/1996,55.07534222
4/1/1996,59.91022722
5/1/1996,66.05394978
6/1/1996,72.85151656
7/1/1996,78.80965767
8/1/1996,83.73302422
9/1/1996,89.124079
10/1/1996,92.82996233
11/1/1996,97.85502522
12/1/1996,99.915956
1/1/1997,102.5077761
2/1/1997,105.9378728
3/1/1997,107.79656
4/1/1997,106.9720728
5/1/1997,107.4989402
6/1/1997,107.8517173
7/1/1997,111.8420057
8/1/1997,116.4982039
9/1/1997,120.98261
10/1/1997,125.8973582
11/1/1997,129.9979612
12/1/1997,135.0770323
1/1/1998,145.2673497
2/1/1998,151.3553403
3/1/1998,155.7621814
4/1/1998,163.6824298
5/1/1998,171.151652
6/1/1998,179.4654709
7/1/1998,188.4768002
8/1/1998,196.572288
9/1/1998,206.6270102
10/1/1998,220.276152
11/1/1998,230.8755529
12/1/1998,239.3243923
1/1/1999,245.6249686
2/1/1999,249.4233553
3/1/1999,253.8905248
4/1/1999,260.449651
5/1/1999,267.740761
6/1/1999,277.1318716
7/1/1999,278.9336778
8/1/1999,283.8116544
9/1/1999,288.4224628
10/1/1999,290.8562801
11/1/1999,294.3719856
12/1/1999,295.2148586
1/1/2000,297.355078
2/1/2000,300.2307286
3/1/2000,300.6679653
4/1/2000,301.3942036
5/1/2000,303.5286774
6/1/2000,307.3833707
7/1/2000,312.6629617
8/1/2000,319.7242494
9/1/2000,326.4557423
10/1/2000,329.5698334
11/1/2000,332.3995196
12/1/2000,330.7654836
1/1/2001,334.0105733
2/1/2001,335.3033233
3/1/2001,339.2780987
4/1/2001,342.6472924
5/1/2001,344.075063
6/1/2001,350.466419
7/1/2001,353.982699
8/1/2001,356.8813318
9/1/2001,356.8951211
10/1/2001,353.1174183
11/1/2001,354.4072956
12/1/2001,354.4279796
1/1/2002,359.4811957
2/1/2002,360.2740823
3/1/2002,361.7058748
4/1/2002,366.6729076
5/1/2002,373.1378067
6/1/2002,382.0773166
7/1/2002,388.9892199
8/1/2002,397.2513288
9/1/2002,405.304874
10/1/2002,410.6970779
11/1/2002,416.3300206
12/1/2002,420.0238382
1/1/2003,426.1480259
2/1/2003,428.9690937
3/1/2003,436.3090409
4/1/2003,447.9351726
5/1/2003,459.6147379
6/1/2003,471.8987357
7/1/2003,480.6836901
8/1/2003,491.0366067
9/1/2003,500.4633397
10/1/2003,505.4453109
11/1/2003,511.9481307
12/1/2003,516.1423862
1/1/2004,524.7182024
2/1/2004,531.032568
3/1/2004,539.5244991
4/1/2004,552.0883054
5/1/2004,564.4533156
6/1/2004,559.7334072
7/1/2004,554.5018601
8/1/2004,553.7417946
9/1/2004,549.8121962
10/1/2004,544.7469918
11/1/2004,535.0511598
12/1/2004,525.1120064
1/1/2005,517.5394105
2/1/2005,516.697696
3/1/2005,518.8999399
4/1/2005,526.9327366
5/1/2005,534.5604348
6/1/2005,547.6371809
7/1/2005,556.606985
8/1/2005,569.8049247
9/1/2005,580.1978652
10/1/2005,589.3187209
11/1/2005,598.0833333
12/1/2005,624.25
1/1/2006,650.2685185
2/1/2006,676.1388889
3/1/2006,701.8611111
4/1/2006,727.4351852
5/1/2006,752.8611111
6/1/2006,778.1388889
7/1/2006,798.4722222
8/1/2006,813.8611111
9/1/2006,824.3055556
10/1/2006,829.8055556
11/1/2006,830.3611111
12/1/2006,825.9722222
1/1/2007,819.537037
2/1/2007,811.0555556
3/1/2007,800.5277778
4/1/2007,787.9537037
5/1/2007,773.3333333
6/1/2007,756.6666667
7/1/2007,737.6481481
8/1/2007,716.2777778
9/1/2007,692.5555556
10/1/2007,666.4814815
11/1/2007,638.0555556
12/1/2007,607.2777778
1/1/2008,576
2/1/2008,544.2222222
3/1/2008,511.9444444
4/1/2008,479.1666667
5/1/2008,445.8888889
6/1/2008,412.1111111
7/1/2008,379.6666667
8/1/2008,348.5555556
9/1/2008,318.7777778
10/1/2008,290.3333333
11/1/2008,263.2222222
12/1/2008,237.4444444
1/1/2009,214.2037037
2/1/2009,193.5
3/1/2009,175.3333333
4/1/2009,159.7037037
5/1/2009,146.6111111
6/1/2009,136.0555556
7/1/2009,127.037037
8/1/2009,119.5555556
9/1/2009,113.6111111
10/1/2009,109.2037037
11/1/2009,106.3333333
12/1/2009,105
1/1/2010,104.0185185
2/1/2010,103.3888889
3/1/2010,103.1111111
4/1/2010,103.1851852
5/1/2010,103.6111111
6/1/2010,104.3888889
7/1/2010,104.9444444
8/1/2010,105.2777778
9/1/2010,105.3888889
10/1/2010,105.2777778
11/1/2010,104.9444444
12/1/2010,104.3888889
1/1/2011,104.0740741
2/1/2011,104
3/1/2011,104.0877778
4/1/2011,104.2011111
5/1/2011,104.7444444
6/1/2011,105.6638889
7/1/2011,106.512963
8/1/2011,107.2027778
9/1/2011,108.0466667
10/1/2011,108.6262963
11/1/2011,109.1233333
12/1/2011,109.5077778
1/1/2012,109.5751852
2/1/2012,109.2811111
3/1/2012,108.8644444
4/1/2012,108.3668519
5/1/2012,107.6844444
6/1/2012,106.9072222
7/1/2012,106.0092593
8/1/2012,105.4127778
9/1/2012,104.9594444
10/1/2012,104.6461111
11/1/2012,104.4611111
12/1/2012,104.3283333
1/1/2013,104.2316667
2/1/2013,104.3083333
3/1/2013,104.1316667
4/1/2013,104.2127778
5/1/2013,104.3566667
6/1/2013,104.6283333
7/1/2013,105.1794444
8/1/2013,105.8716667
9/1/2013,106.4661111
10/1/2013,107.01
11/1/2013,107.4905556
12/1/2013,107.9288889
1/1/2014,108.6694444
2/1/2014,109.2011111
3/1/2014,109.7611111
4/1/2014,110.45
5/1/2014,110.9583333
6/1/2014,111.3827778
7/1/2014,111.8377778
8/1/2014,112.225
9/1/2014,112.6744444
10/1/2014,112.9322222
11/1/2014,113.2505556
12/1/2014,113.5777778
1/1/2015,113.8833333
2/1/2015,114.2777778
3/1/2015,114.8699444
4/1/2015,115.4532778
5/1/2015,116.1421667
6/1/2015,116.7588333
7/1/2015,117.4532778
8/1/2015,118.1532778
9/1/2015,118.8477222
10/1/2015,119.6588333
11/1/2015,120.3421667
12/1/2015,120.8169444
1/1/2016,121.2280556
2/1/2016,121.6558333
3/1/2016,122.0669444
4/1/2016,122.5780556
5/1/2016,127.1642467
6/1/2016,132.86142
