asof,hpa2yr,mbacai,purchaseidx,PIVcai,
6/1/2004,76.83,39.64,80.78,49.62,
7/1/2004,78.80,40.11,82.04,50.35,
8/1/2004,80.74,40.58,83.29,52.12,
9/1/2004,82.65,41.05,84.61,54.33,
10/1/2004,83.42,41.52,86.13,56.05,
11/1/2004,84.18,41.98,87.70,57.78,
12/1/2004,84.94,42.45,89.20,59.01,
1/1/2005,86.13,43.97,89.98,60.89,
2/1/2005,87.31,46.20,91.31,62.42,
3/1/2005,88.47,48.91,92.56,63.81,
4/1/2005,90.67,51.98,93.80,65.12,
5/1/2005,92.85,55.32,94.59,67.07,
6/1/2005,95.02,58.86,95.40,69.82,
7/1/2005,96.69,61.98,96.10,72.46,
8/1/2005,98.36,64.74,97.12,75.31,
9/1/2005,100.00,67.23,98.13,78.15,
10/1/2005,99.36,69.48,99.07,81.53,
11/1/2005,98.73,71.54,99.54,84.26,
12/1/2005,98.11,73.44,100.00,86.32,
1/1/2006,98.15,75.17,99.83,86.80,
2/1/2006,98.19,76.77,99.50,87.57,
3/1/2006,98.23,78.25,98.77,88.47,
4/1/2006,96.63,79.62,97.90,89.04,
5/1/2006,95.05,80.90,96.89,89.40,
6/1/2006,93.50,83.87,96.16,90.46,
7/1/2006,90.17,86.66,95.05,92.25,
8/1/2006,86.92,89.26,93.93,93.46,
9/1/2006,83.74,91.67,92.76,94.82,
10/1/2006,82.53,93.91,91.48,96.78,
11/1/2006,81.33,95.95,90.36,98.05,
12/1/2006,80.15,97.82,89.54,100.00,
1/1/2007,78.07,99.11,89.40,98.83,
2/1/2007,76.02,99.84,88.77,97.74,
3/1/2007,74.00,100.00,87.93,96.48,
4/1/2007,70.57,99.59,86.96,95.60,
5/1/2007,67.20,98.61,86.10,95.42,
6/1/2007,63.90,97.07,85.28,94.71,
7/1/2007,59.69,95.25,84.31,94.10,
8/1/2007,55.56,93.16,83.51,92.61,
9/1/2007,51.51,90.79,82.54,92.31,
10/1/2007,49.00,88.14,81.74,92.39,
11/1/2007,46.53,85.23,81.02,92.29,
12/1/2007,44.10,82.03,80.34,92.60,
1/1/2008,41.89,78.62,79.81,91.41,
2/1/2008,39.70,74.98,79.35,89.85,
3/1/2008,37.54,71.12,78.82,88.40,
4/1/2008,34.24,67.04,78.13,86.36,
5/1/2008,30.96,62.73,77.39,84.23,
6/1/2008,27.71,58.21,76.61,81.90,
7/1/2008,24.11,53.79,75.80,78.92,
8/1/2008,20.52,49.49,74.90,75.55,
9/1/2008,16.96,45.29,74.22,71.61,
10/1/2008,15.29,41.21,72.96,67.30,
11/1/2008,13.64,37.24,71.28,64.03,
12/1/2008,11.99,33.38,69.56,59.67,
1/1/2009,12.31,29.74,67.69,57.97,
2/1/2009,12.62,26.33,65.51,56.60,
3/1/2009,12.94,23.13,63.41,54.78,
4/1/2009,10.71,20.16,61.32,52.32,
5/1/2009,8.47,17.40,58.86,50.00,
6/1/2009,6.24,14.87,56.39,47.28,
7/1/2009,4.94,12.54,53.98,44.23,
8/1/2009,3.64,10.41,51.63,41.65,
9/1/2009,2.32,8.47,49.50,38.88,
10/1/2009,1.96,6.73,47.43,35.51,
11/1/2009,1.60,5.19,44.47,32.31,
12/1/2009,1.24,3.85,41.80,29.17,
1/1/2010,0.83,2.72,38.97,26.92,
2/1/2010,0.41,1.78,36.60,24.55,
3/1/2010,0.00,1.05,34.56,21.73,
4/1/2010,1.32,0.53,32.92,19.69,
5/1/2010,2.66,0.20,30.72,17.70,
6/1/2010,4.02,0.08,28.19,16.08,
7/1/2010,7.46,0.01,25.73,14.90,
8/1/2010,10.97,0.00,23.62,13.99,
9/1/2010,14.56,0.04,21.25,12.94,
10/1/2010,14.71,0.13,19.66,11.79,
11/1/2010,14.87,0.28,18.35,10.09,
