Date,Purchase,MBACAI
1/1/1990,92.4,#N/A
2/1/1990,100.175,#N/A
3/1/1990,92.28,#N/A
4/1/1990,91.25,#N/A
5/1/1990,85.5,#N/A
6/1/1990,92,#N/A
7/1/1990,88.65,#N/A
8/1/1990,89.18,#N/A
9/1/1990,80.45,#N/A
10/1/1990,74.95,#N/A
11/1/1990,81.84,#N/A
12/1/1990,78.9,#N/A
1/1/1991,87.375,#N/A
2/1/1991,98.8,#N/A
3/1/1991,114.6,#N/A
4/1/1991,112,#N/A
5/1/1991,117.32,#N/A
6/1/1991,113.875,#N/A
7/1/1991,116.875,#N/A
8/1/1991,105.26,#N/A
9/1/1991,106.9,#N/A
10/1/1991,112.225,#N/A
11/1/1991,103.5,#N/A
12/1/1991,100.25,#N/A
1/1/1992,132.84,#N/A
2/1/1992,129.375,#N/A
3/1/1992,115.925,#N/A
4/1/1992,117.95,#N/A
5/1/1992,117.66,#N/A
6/1/1992,117.05,#N/A
7/1/1992,138.44,#N/A
8/1/1992,142.75,#N/A
9/1/1992,147.175,#N/A
10/1/1992,138.88,#N/A
11/1/1992,138.175,#N/A
12/1/1992,135.225,#N/A
1/1/1993,138,#N/A
2/1/1993,154.025,#N/A
3/1/1993,150.35,#N/A
4/1/1993,166.7,#N/A
5/1/1993,150.175,#N/A
6/1/1993,157.85,#N/A
7/1/1993,166.18,#N/A
8/1/1993,151.6,#N/A
9/1/1993,177,#N/A
10/1/1993,163.98,#N/A
11/1/1993,162.225,#N/A
12/1/1993,151.4,#N/A
1/1/1994,134.775,#N/A
2/1/1994,155.05,#N/A
3/1/1994,150.85,#N/A
4/1/1994,161.08,#N/A
5/1/1994,145.9,#N/A
6/1/1994,145.175,#N/A
7/1/1994,144.08,#N/A
8/1/1994,141.75,#N/A
9/1/1994,138.08,#N/A
10/1/1994,135.275,#N/A
11/1/1994,135.675,#N/A
12/1/1994,124.52,#N/A
1/1/1995,129.65,#N/A
2/1/1995,139.175,#N/A
3/1/1995,139.46,#N/A
4/1/1995,150.025,#N/A
5/1/1995,156.15,#N/A
6/1/1995,172.24,#N/A
7/1/1995,161.725,#N/A
8/1/1995,154.35,#N/A
9/1/1995,188.7,#N/A
10/1/1995,186.975,#N/A
11/1/1995,188.375,#N/A
12/1/1995,204.68,#N/A
1/1/1996,176.725,#N/A
2/1/1996,173.4,#N/A
3/1/1996,179.3,#N/A
4/1/1996,177.35,#N/A
5/1/1996,189.14,#N/A
6/1/1996,183.675,#N/A
7/1/1996,181.5,#N/A
8/1/1996,182.02,#N/A
9/1/1996,186.375,#N/A
10/1/1996,182.275,#N/A
11/1/1996,199.88,#N/A
12/1/1996,190.175,#N/A
1/1/1997,184.28,#N/A
2/1/1997,184.2,#N/A
3/1/1997,204.875,#N/A
4/1/1997,179.8,#N/A
5/1/1997,192.96,#N/A
6/1/1997,207.75,#N/A
7/1/1997,211.45,#N/A
8/1/1997,213.92,#N/A
9/1/1997,218.325,#N/A
10/1/1997,220.12,#N/A
11/1/1997,224.825,#N/A
12/1/1997,227.875,#N/A
1/1/1998,270.18,#N/A
2/1/1998,235,#N/A
3/1/1998,224.725,#N/A
4/1/1998,251.2,#N/A
5/1/1998,264.88,#N/A
6/1/1998,262.525,#N/A
7/1/1998,262.7,#N/A
8/1/1998,254.65,#N/A
9/1/1998,292.375,#N/A
10/1/1998,298.58,#N/A
11/1/1998,285.2,#N/A
12/1/1998,281.275,#N/A
1/1/1999,266.28,#N/A
2/1/1999,246.975,#N/A
3/1/1999,257.2,#N/A
4/1/1999,277.2,#N/A
5/1/1999,288.275,#N/A
6/1/1999,309.6,#N/A
7/1/1999,285.86,#N/A
8/1/1999,277.45,#N/A
9/1/1999,264.85,#N/A
10/1/1999,272.38,#N/A
11/1/1999,295.475,#N/A
12/1/1999,269.86,#N/A
1/1/2000,281.325,#N/A
2/1/2000,279.675,#N/A
3/1/2000,296.18,#N/A
4/1/2000,304.9,#N/A
5/1/2000,303.775,#N/A
6/1/2000,314.82,#N/A
7/1/2000,312.225,#N/A
8/1/2000,308.425,#N/A
9/1/2000,315.78,#N/A
10/1/2000,304.3,#N/A
11/1/2000,312.9,#N/A
