marketTicker,lockinBucket,cltvBucket,walaBucket,monthBucket,bal,incentive,cltv,FICO,waoltv,wala,cpr,smm,smmFactor1,constTurnOverSMM,smmFactor2,smm.model.wala,smm.flatten.wala,smmFactor3,smm.model.lockin,smmFactor4,smmFactor4,seasonalitySMMFunction,smmFactor1,constTurnOverSMM,smmFactor2,seasoningSMMFunction,smmFactor3,incentiveSMMFunction,percent diff,diff
FNCL,1-225,0-CLTV <= 60,N-age-90,Mar,1055.16,-505.5,0.3,794,80,80,100,1.000533142,1.031477466,0.004636779,222.455591,2.714133146,1.368957638,162.4999817,-0.480004624,-338.5383671,-318.245205,0.97,1.031497459,0.00463227,222.6764603,1.370246782,162.5082892,-0.51063861,6%,-20.29316204
FNCL,1-225,1-CLTV <= 70,E-age-25,Aug,1260848.56,-363.5,66.1,707,85,24,0.002541,-0.00090636,-0.000730936,0.004636779,-0.157638637,1.344365324,1.344365324,-0.11725878,-0.176503171,0.664343757,0.609618144,1.24,-0.000733,0.00463227,-0.158237675,1.34579537,-0.117579298,-0.192873685,9%,0.054725613
FNCL,1-225,2-CLTV 70-80,F-age-30,Aug,2156432.79,-357,76.5,686.65,86.3,28.1,0.081576,-0.001275128,-0.001028329,0.004636779,-0.221776521,1.444776621,1.368957638,-0.162003933,-0.162610499,0.996269821,0.91517177,1.24,-0.001035893,0.00463227,-0.22362544,1.370246782,-0.16320085,-0.178328108,9%,0.081098051
FNCL,1-225,1-CLTV <= 70,F-age-30,Jul,818724.01,-355.5,68,656.46,97,27.1,0.024225,-0.00110275,-0.000934534,0.004636779,-0.201548118,1.420318885,1.368957638,-0.147227432,-0.159404498,0.923609022,0.846065208,1.18,-0.000939645,0.00463227,-0.202847558,1.370246782,-0.148037245,-0.174971436,9%,0.077543814
FNCL,1-225,1-CLTV <= 70,E-age-25,Jul,1263244.24,-355.5,65.9,707,85,23,0.002536,-0.000888018,-0.000752558,0.004636779,-0.162301804,1.318945214,1.318945214,-0.123054242,-0.159404498,0.771962172,0.705006748,1.18,-0.000754569,0.00463227,-0.162894037,1.320519312,-0.123356043,-0.174971436,9%,0.066955425
FNCL,1-225,2-CLTV 70-80,D-age-20,Jul,1684918.68,-355.5,73.3,693.42,82.9,15.4,0.070563,-0.000627284,-0.000531597,0.004636779,-0.114647836,1.04449569,1.04449569,-0.109763819,-0.159404498,0.688586716,0.628663237,1.18,-0.000533907,0.00463227,-0.115258267,1.047820436,-0.109998109,-0.174971436,10%,0.059923479
FNCL,1-225,3-CLTV 80-90,H-age-40,Aug,226389.54,-355,81.8,636,97,35,-0.000265,-0.002786218,-0.00224695,0.004636779,-0.48459292,1.613535003,1.368957638,-0.35398679,-0.15833583,2.235670786,2.058120441,1.24,-0.002271143,0.00463227,-0.490287286,1.370246782,-0.357809478,-0.173852546,9%,0.177550345
FNCL,1-225,4-CLTV 90-100,D-age-20,Aug,4512258.34,-355,93.7,706.23,88,17.9,0.027968,-0.001353527,-0.001091554,0.004636779,-0.235412076,1.14875825,1.14875825,-0.20492743,-0.15833583,1.294258093,1.186890111,1.24,-0.001100413,0.00463227,-0.237553739,1.151251755,-0.206343867,-0.173852546,9%,0.107367982
FNCL,1-225,2-CLTV 70-80,H-age-40,Aug,1732898.99,-355,71.7,694.84,88.4,36.8,0.013315,-0.001414509,-0.001140733,0.004636779,-0.24601838,1.657558929,1.368957638,-0.179712194,-0.15833583,1.135006481,1.041034251,1.24,-0.001148785,0.00463227,-0.247996107,1.370246782,-0.180986455,-0.173852546,9%,0.09397223
FNCL,1-225,3-CLTV 80-90,G-age-35,Aug,556074.03,-355,86.6,760,97,31,0.003344,-0.001373027,-0.00110728,0.004636779,-0.238803599,1.515704057,1.368957638,-0.17444192,-0.15833583,1.101721069,1.011159077,1.24,-0.001115818,0.00463227,-0.240879217,1.370246782,-0.17579258,-0.173852546,9%,0.090561992
FNCL,1-225,3-CLTV 80-90,E-age-25,Aug,794625.83,-355,80.5,731,78,24,0.003624,-0.001081063,-0.000871825,0.004636779,-0.188023753,1.344365324,1.344365324,-0.139860609,-0.15833583,0.883316233,0.80813211,1.24,-0.000875863,0.00463227,-0.18907863,1.34579537,-0.140495825,-0.173852546,9%,0.075184123
FNCL,1-225,1-CLTV <= 70,A-age-5,Aug,450467.95,-355,64.6,715,63,3,0.11156,-0.00013071,-0.000105411,0.004636779,-0.022733655,0.243727359,0.243727359,-0.093274942,-0.15833583,0.589095608,0.529237956,1.24,-0.00010537,0.00463227,-0.022747022,0.24722507,-0.092009366,-0.173852546,11%,0.059857651
FNCL,1-225,3-CLTV 80-90,D-age-20,Jul,1772637.92,-352.4,86.5,736.93,88.8,17.3,0.004427,-0.000875987,-0.000742362,0.004636779,-0.160102932,1.123934206,1.123934206,-0.142448669,-0.152778762,0.932385282,0.850796232,1.18,-0.000746075,0.00463227,-0.161060298,1.126587589,-0.142962962,-0.168034315,10%,0.081589051
