ecoData.asOf,ecoData.mediaEffect,ecoData.hpaFactor
1/1/1994,1,0.307987805
2/1/1994,1,0.304918621
3/1/1994,1,0.315503549
4/1/1994,1.25,0.326969844
5/1/1994,1,0.339351915
6/1/1994,1,0.336443092
7/1/1994,1,0.333598719
8/1/1994,1,0.330817559
9/1/1994,1,0.327203371
10/1/1994,1,0.323689233
11/1/1994,1,0.320272907
12/1/1994,1,0.327759763
1/1/1995,1,0.335618133
2/1/1995,1,0.343854803
3/1/1995,1,0.337210418
4/1/1995,1,0.330854142
5/1/1995,1,0.324777291
6/1/1995,1,0.326946369
7/1/1995,1,0.329135025
8/1/1995,1,0.331343066
9/1/1995,1,0.326788824
10/1/1995,1,0.322391192
11/1/1995,1,0.318145877
12/1/1995,1,0.317871745
1/1/1996,1,0.317599802
2/1/1996,1,0.317330022
3/1/1996,1,0.315468351
4/1/1996,1,0.31364152
5/1/1996,1,0.311848867
6/1/1996,1,0.312160528
7/1/1996,1,0.312471598
8/1/1996,1,0.312782076
9/1/1996,1,0.313355262
10/1/1996,1,0.313928879
11/1/1996,1,0.31450292
12/1/1996,1,0.314409729
1/1/1997,1,0.314316994
2/1/1997,1,0.314224713
3/1/1997,1,0.317974385
4/1/1997,1,0.321811457
5/1/1997,1,0.325736207
6/1/1997,1,0.323526947
7/1/1997,1,0.321362656
8/1/1997,1,0.319242432
9/1/1997,1,0.325084501
10/1/1997,1,0.331133111
11/1/1997,1,0.337389342
12/1/1997,1,0.3419887
1/1/1998,1,0.346679604
2/1/1998,1,0.351461019
3/1/1998,1,0.362109224
4/1/1998,1.108333333,0.373253862
5/1/1998,1.366666667,0.384888316
6/1/1998,1.333333333,0.396164069
7/1/1998,1.016666667,0.407842495
8/1/1998,1,0.419908776
9/1/1998,1.191666667,0.440799986
10/1/1998,1.316666667,0.462691448
11/1/1998,1.491666667,0.485468469
12/1/1998,1.716666667,0.504537468
1/1/1999,1.733333333,0.523995538
2/1/1999,1.416666667,0.543750792
3/1/1999,1,0.559230217
4/1/1999,1,0.574745238
5/1/1999,1,0.590248595
6/1/1999,1,0.610289592
7/1/1999,1,0.630181413
8/1/1999,1,0.649828281
9/1/1999,1,0.661161903
10/1/1999,1,0.672316071
11/1/1999,1,0.683277111
12/1/1999,1,0.695166688
1/1/2000,1,0.70678587
2/1/2000,1,0.718122188
3/1/2000,1,0.725095291
4/1/2000,1,0.731921828
5/1/2000,1,0.738601582
6/1/2000,1,0.744988379
7/1/2000,1,0.75123677
8/1/2000,1,0.757347242
9/1/2000,1,0.75980593
10/1/2000,1,0.762224056
11/1/2000,1,0.764602371
12/1/2000,1,0.772562854
1/1/2001,1,0.78028378
2/1/2001,1,0.787767333
3/1/2001,1,0.789753451
4/1/2001,1,0.791708087
5/1/2001,1,0.793631831
6/1/2001,1,0.793662323
7/1/2001,1,0.793692499
8/1/2001,1,0.793722364
9/1/2001,1,0.7939708
10/1/2001,1,0.79421651
11/1/2001,1,0.794459539
12/1/2001,1,0.793682615
1/1/2002,1,0.792912704
2/1/2002,1.191666667,0.792149722
3/1/2002,1,0.794855597
4/1/2002,1,0.797508227
5/1/2002,1,0.800108775
6/1/2002,1,0.805990853
7/1/2002,1,0.811693675
8/1/2002,1,0.817221127
9/1/2002,1,0.821763458
10/1/2002,1.358333333,0.826173674
11/1/2002,1.925,0.830455276
12/1/2002,2.183333333,0.828910412
1/1/2003,1.883333333,0.827374432
2/1/2003,1.583333333,0.825847357
3/1/2003,1.283333333,0.826270823
4/1/2003,1.533333333,0.826689083
5/1/2003,1.633333333,0.827102233
6/1/2003,1.75,0.834177649
7/1/2003,1.433333333,0.840967608
8/1/2003,1.75,0.847480259
9/1/2003,2.016666667,0.858408253
10/1/2003,1.7,0.868609227
11/1/2003,1,0.878115983
12/1/2003,1,0.885201412
1/1/2004,1,0.891867084
2/1/2004,1,0.898134519
3/1/2004,1,0.905402285
4/1/2004,1,0.91213646
5/1/2004,1,0.918372817
6/1/2004,1,0.924666503
7/1/2004,1,0.930450474
8/1/2004,1,0.935764524
9/1/2004,1,0.939260066
10/1/2004,1,0.942537494
11/1/2004,1,0.945611258
12/1/2004,1,0.950087246
1/1/2005,1,0.95417126
2/1/2005,1,0.9578979
3/1/2005,1,0.962880025
4/1/2005,1,0.967253454
5/1/2005,1,0.971092192
6/1/2005,1,0.973396091
7/1/2005,1,0.975495683
8/1/2005,1,0.977410376
9/1/2005,1,0.977063976
10/1/2005,1,0.976717709
11/1/2005,1,0.976371615
12/1/2005,1,0.974058659
1/1/2006,1,0.971566582
2/1/2006,1,0.968886319
3/1/2006,1,0.961030325
4/1/2006,1,0.95149261
5/1/2006,1,0.94001459
6/1/2006,1,0.920403933
7/1/2006,1,0.895769697
8/1/2006,1,0.865518459
9/1/2006,1,0.836224162
10/1/2006,1,0.803026323
11/1/2006,1,0.766213024
12/1/2006,1,0.725977958
1/1/2007,1,0.683419274
2/1/2007,1,0.639517726
3/1/2007,1,0.569657683
4/1/2007,1,0.502744731
5/1/2007,1,0.442147265
6/1/2007,1,0.372681074
7/1/2007,1,0.319688775
8/1/2007,1,0.281417604
9/1/2007,1,0.254403987
10/1/2007,1,0.23611982
11/1/2007,1,0.223925851
12/1/2007,1,0.215872879
1/1/2008,1,0.210537669
2/1/2008,1,0.207008688
3/1/2008,1,0.204853441
4/1/2008,1,0.203364156
5/1/2008,1,0.202334663
6/1/2008,1,0.201778257
7/1/2008,1,0.201354807
8/1/2008,1,0.201032498
9/1/2008,1,0.200727354
10/1/2008,1,0.200513021
11/1/2008,1,0.2003623
12/1/2008,1,0.200330996
1/1/2009,1,0.200302507
2/1/2009,1,0.20027657
3/1/2009,1.075,0.200245002
4/1/2009,1.891666667,0.200216997
5/1/2009,2.175,0.200192158
6/1/2009,1.6,0.200205528
7/1/2009,1.516666667,0.200219947
8/1/2009,1.566666667,0.200235506
9/1/2009,1.066666667,0.200277018
10/1/2009,1,0.200326438
11/1/2009,1,0.200385383
12/1/2009,1,0.200434788
1/1/2010,1,0.200491429
2/1/2010,1,0.200556493
3/1/2010,1,0.200697608
4/1/2010,1,0.200878122
5/1/2010,1,0.20111003
6/1/2010,1,0.201188401
7/1/2010,1,0.201273704
8/1/2010,1,0.201366669
9/1/2010,1,0.201675384
10/1/2010,1.533333333,0.202061907
11/1/2010,1.883333333,0.202547813
12/1/2010,1.9,0.202086923
1/1/2011,1.758333333,0.20170851
2/1/2011,1.425,0.201398002
3/1/2011,1,0.20150075
4/1/2011,1,0.201612169
5/1/2011,1,0.20173308
6/1/2011,1,0.201912058
7/1/2011,1,0.202110153
8/1/2011,1,0.202329468
9/1/2011,1,0.202392317
10/1/2011,1,0.20245685
11/1/2011,1,0.202523111
12/1/2011,1.05,0.203038356
1/1/2012,1.491666667,0.203663059
2/1/2012,1.691666667,0.204421244
3/1/2012,1.5,0.205614314
4/1/2012,1.5,0.207131641
5/1/2012,1.375,0.209060982
6/1/2012,1.225,0.212237521
7/1/2012,1.208333333,0.216561854
8/1/2012,1.3,0.222449474
9/1/2012,1.641666667,0.230124054
10/1/2012,1.85,0.240358061
11/1/2012,1.666666667,0.253920776
12/1/2012,1.55,0.286580534
1/1/2013,1.491666667,0.336315325
2/1/2013,1.583333333,0.407585641
3/1/2013,1.458333333,0.467184916
4/1/2013,1.2,0.534606909
5/1/2013,1,0.606454419
6/1/2013,1,0.63954149
7/1/2013,1,0.671991889
8/1/2013,1,0.703396496
9/1/2013,1,0.724038382
10/1/2013,1,0.743938859
11/1/2013,1,0.763019235
12/1/2013,1,0.774110124
1/1/2014,1,0.784827562
2/1/2014,1,0.795167195
