Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1985,1.0,1.5,1.3,1.2,1.6,1.7,2.0,1.5,1.3,1.1,1.2,1.5
1986,1.7,1.2,1.6,1.6,1.5,1.0,0.7,0.8,1.0,1.3,1.2,0.8
1987,0.7,1.0,1.3,1.6,1.6,1.2,0.6,0.8,1.0,1.8,1.4,1.6
1988,1.3,1.5,1.3,1.0,0.9,1.1,1.2,1.3,1.3,1.1,1.2,1.1
1989,1.3,1.0,1.0,1.0,1.3,1.2,1.3,1.2,1.3,1.5,1.4,1.5
1990,1.1,0.8,1.3,1.4,1.6,1.6,1.8,2.2,1.4,1.0,0.3,0.4
1991,0.6,1.0,0.8,0.8,0.7,0.9,0.8,0.7,0.9,1.0,1.2,1.2
1992,1.0,0.8,0.8,0.7,0.7,0.6,0.7,0.8,0.4,0.7,0.8,1.1
1993,1.1,1.0,0.8,0.8,0.8,1.0,0.6,0.7,0.5,0.6,0.6,0.8
1994,0.9,1.1,1.1,1.0,0.7,0.5,0.5,0.8,1.1,1.2,0.9,0.5
1995,0.6,0.6,0.9,0.8,0.9,0.9,0.9,0.8,0.8,1.0,1.0,1.0
1996,0.8,0.7,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.6
1997,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.8
1998,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.7
1999,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
2000,0.9,0.9,1.0,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9
2001,0.8,0.9,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2
2002,1.1,1.0,0.9,0.9,0.9,0.8,0.8,0.7,0.8,0.7,0.8,0.7
2003,0.7,0.6,0.6,0.3,0.3,0.2,0.4,0.4,0.6,0.7,0.7,0.6
2004,0.5,0.5,0.6,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.4
2005,0.6,0.7,0.7,0.6,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.6
2006,0.8,0.8,0.9,1.0,1.2,1.3,1.3,1.2,1.0,1.0,1.0,1.0
2007,0.8,0.8,0.8,0.7,0.5,0.4,0.5,0.6,0.7,0.8,0.8,0.8
2008,0.8,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5
2009,0.5,0.4,0.6,0.5,0.5,0.3,0.2,0.1,0.0,0.0,-0.2,-0.1
2010,-0.2,-0.1,-0.2,-0.1,0.0,0.1,0.2,0.1,0.1,0.1,0.2,0.3
2011,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.5,0.5,0.4,0.5
2012,0.5,0.5,0.5,0.5,0.6,0.4,0.4,0.5,0.6,0.6,0.6,0.5
2013,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7
2014,0.7,0.6,0.6,0.6,0.7,,,,,,,
