Pricing Date,FNMA,FNCI,GNMA,GNMAII
20141231,2.83387,-1,-1,-1
20141230,2.852,-1,-1,-1
20141229,2.86098,-1,-1,-1
20141226,2.89124,-1,-1,-1
20141224,2.90975,-1,-1,-1
20141223,2.91032,-1,-1,-1
20141222,2.82564,-1,-1,-1
20141219,2.83374,-1,-1,-1
20141218,2.85823,-1,-1,-1
20141217,2.83715,-1,-1,-1
20141216,2.78725,-1,-1,-1
20141215,2.82917,-1,-1,-1
20141212,2.80058,-1,-1,-1
20141211,2.86343,-1,-1,-1
20141210,2.85151,-1,-1,-1
20141209,2.88602,-1,-1,-1
20141208,2.90876,-1,-1,-1
20141205,2.95463,-1,-1,-1
20141204,2.90251,-1,-1,-1
20141203,2.93232,-1,-1,-1
20141202,2.92504,-1,-1,-1
20141201,2.86228,-1,-1,-1
20141128,2.84569,-1,-1,-1
20141126,2.8841,-1,-1,-1
20141125,2.89872,-1,-1,-1
20141124,2.95338,-1,-1,-1
20141121,2.96503,-1,-1,-1
20141120,2.98245,-1,-1,-1
20141119,3.00395,-1,-1,-1
20141118,2.98226,-1,-1,-1
20141117,2.9941,-1,-1,-1
20141114,2.98831,-1,-1,-1
20141113,3.02409,-1,-1,-1
20141112,3.03648,-1,-1,-1
20141110,3.03634,-1,-1,-1
20141107,3.00136,-1,-1,-1
20141106,3.05201,-1,-1,-1
20141105,3.04445,-1,-1,-1
20141104,3.04424,-1,-1,-1
20141103,3.04728,-1,-1,-1
20141031,3.00974,-1,-1,-1
20141030,2.98841,-1,-1,-1
20141029,3.0091,-1,-1,-1
20141028,2.97326,-1,-1,-1
20141027,2.95063,-1,-1,-1
20141024,2.96706,-1,-1,-1
20141023,2.95697,-1,-1,-1
20141022,2.91561,-1,-1,-1
20141021,2.90261,-1,-1,-1
20141020,2.88228,-1,-1,-1
20141017,2.90897,-1,-1,-1
20141016,2.88998,-1,-1,-1
20141015,2.80128,-1,-1,-1
20141014,2.91567,-1,-1,-1
20141010,3.00647,-1,-1,-1
20141009,3.00935,-1,-1,-1
20141008,3.00696,-1,-1,-1
20141007,3.05717,-1,-1,-1
20141006,3.12298,-1,-1,-1
20141003,3.1408,-1,-1,-1
20141002,3.1361,-1,-1,-1
20141001,3.11879,-1,-1,-1
20140930,3.2079,-1,-1,-1
20140929,3.19268,-1,-1,-1
20140926,3.21517,-1,-1,-1
20140925,3.19667,-1,-1,-1
20140924,3.2402,-1,-1,-1
20140923,3.21471,-1,-1,-1
20140922,3.23976,-1,-1,-1
20140919,3.2565,-1,-1,-1
20140918,3.30017,-1,-1,-1
20140917,3.28895,-1,-1,-1
20140916,3.28408,-1,-1,-1
20140915,3.28134,-1,-1,-1
20140912,3.30131,-1,-1,-1
20140911,3.23854,-1,-1,-1
20140910,3.23967,-1,-1,-1
20140909,3.20426,-1,-1,-1
20140908,3.17608,-1,-1,-1
20140905,3.16818,-1,-1,-1
20140904,3.15283,-1,-1,-1
20140903,3.12536,-1,-1,-1
20140902,3.13347,-1,-1,-1
20140829,3.08034,-1,-1,-1
20140828,3.07812,-1,-1,-1
20140827,3.09887,-1,-1,-1
20140826,3.12944,-1,-1,-1
20140825,3.13856,-1,-1,-1
20140822,3.15082,-1,-1,-1
20140821,3.15678,-1,-1,-1
20140820,3.18288,-1,-1,-1
20140819,3.16484,-1,-1,-1
20140818,3.13998,-1,-1,-1
20140815,3.09358,-1,-1,-1
20140814,3.13996,-1,-1,-1
20140813,3.16116,-1,-1,-1
20140812,3.19212,-1,-1,-1
20140811,3.18264,-1,-1,-1
20140808,3.17218,-1,-1,-1
20140807,3.1813,-1,-1,-1
20140806,3.2168,-1,-1,-1
20140805,3.21632,-1,-1,-1
20140804,3.21782,-1,-1,-1
20140801,3.22842,-1,-1,-1
20140731,3.27611,-1,-1,-1
20140730,3.26579,-1,-1,-1
20140729,3.18238,-1,-1,-1
20140728,3.20496,-1,-1,-1
20140725,3.19153,-1,-1,-1
20140724,3.23593,-1,-1,-1
20140723,3.18443,-1,-1,-1
20140722,3.17134,-1,-1,-1
20140721,3.17973,-1,-1,-1
20140718,3.18346,-1,-1,-1
20140717,3.184,-1,-1,-1
20140716,3.23588,-1,-1,-1
20140715,3.23276,-1,-1,-1
20140714,3.22381,-1,-1,-1
20140711,3.1874,-1,-1,-1
