,FN_CMM_15Yr,FN_CMM_30Yr,G2_CMM_30Yr,GN_CMM_30Yr
7/22/2013,2.493235931,3.322082871,3.18593188,3.19280209
7/23/2013,2.511127483,3.363905054,3.227704289,3.234137327
7/24/2013,2.581673555,3.429675595,3.29123929,3.298715023
7/25/2013,2.605776249,3.440786392,3.296016174,3.303433966
7/26/2013,2.550979622,3.395320608,3.251561069,3.255230721
7/29/2013,2.552303699,3.406146431,3.265949624,3.266346874
7/30/2013,2.552038244,3.428596757,3.298218074,3.296017714
7/31/2013,2.512690069,3.409539266,3.272213179,3.267871185
8/1/2013,2.627841379,3.531618202,3.405433394,3.398282841
8/2/2013,2.511161766,3.403566251,3.26839748,3.260422978
8/5/2013,2.535460958,3.417811799,3.275540192,3.265951682
8/6/2013,2.567574117,3.443086937,3.295229419,3.284294615
8/7/2013,2.531344405,3.409529347,3.260133407,3.248709035
8/8/2013,2.494838271,3.381400903,3.231623465,3.254550673
8/9/2013,2.474417224,3.363425002,3.21156823,3.231565107
8/12/2013,2.488388277,3.383718701,3.230784961,3.247187439
8/13/2013,2.59591014,3.486597699,3.336848863,3.353440784
8/14/2013,2.588278851,3.484088488,3.347923981,3.363265004
8/15/2013,2.660234826,3.539662929,3.413839143,3.42997685
8/16/2013,2.754880264,3.634228528,3.489887001,3.509503119
8/19/2013,2.861203087,3.711047841,3.563913137,3.58341334
8/20/2013,2.774803801,3.630683034,3.469068777,3.483184104
8/21/2013,2.811974193,3.674644297,3.51370647,3.526307601
8/22/2013,2.83447493,3.710193792,3.559127002,3.572376008
8/23/2013,2.737432084,3.601459175,3.441969709,3.448003846
8/26/2013,2.696845355,3.564942741,3.392981165,3.394801963
8/27/2013,2.631783992,3.495012068,3.35492202,3.360989703
8/28/2013,2.695836226,3.558200604,3.424628467,3.429321675
8/29/2013,2.648318165,3.516399821,3.349675794,3.344187845
8/30/2013,2.644266158,3.518108287,3.347405318,3.340081416
9/3/2013,2.749140054,3.623034363,3.458174282,3.451316125
9/4/2013,2.827708931,3.679574162,3.528161097,3.526325797
9/5/2013,2.911181829,3.786695106,3.657852883,3.660538751
9/6/2013,2.835061721,3.721237686,3.593646171,3.592189855
9/9/2013,2.787713213,3.649491732,3.511778044,3.504735328
9/10/2013,2.840164483,3.702557065,3.559510987,3.59708837
9/11/2013,2.803653084,3.667179206,3.510339603,3.548292501
9/12/2013,2.811249857,3.666295035,3.509539492,3.547004844
9/13/2013,2.799827091,3.650733594,3.489931639,3.528472718
9/16/2013,2.735222287,3.605029104,3.438136704,3.472455894
9/17/2013,2.739374532,3.58629601,3.416707663,3.451264229
9/18/2013,2.534015629,3.404107518,3.269899624,3.297333757
9/19/2013,2.570946139,3.42348147,3.270521,3.300650557
9/20/2013,2.575516936,3.431607739,3.28834515,3.315737427
9/23/2013,2.546526622,3.40290346,3.265086071,3.28969502
9/24/2013,2.479185584,3.340691954,3.20250611,3.225480472
9/25/2013,2.43186735,3.296156202,3.134014765,3.163573464
9/26/2013,2.455424099,3.323348772,3.164650793,3.191270543
9/27/2013,2.406154772,3.294887122,3.140551944,3.164377802
9/30/2013,2.399086478,3.295248984,3.145172061,3.173402348
10/1/2013,2.431010741,3.315442133,3.172004836,3.206044814
10/2/2013,2.424732732,3.30787303,3.162231734,3.196306167
10/3/2013,2.40700341,3.285077933,3.139600416,3.174634844
10/4/2013,2.435136998,3.314390462,3.174880956,3.205061439
10/7/2013,2.439867335,3.315216343,3.176198262,3.203628259
10/8/2013,2.460367345,3.328829167,3.188633605,3.246144341
10/9/2013,2.456412031,3.330970071,3.185183297,3.241024912
10/10/2013,2.474200287,3.345617063,3.196109581,3.246558276
10/11/2013,2.479137483,3.348246371,3.20602096,3.250326416
10/15/2013,2.51273094,3.389732996,3.253197163,3.292234042
10/16/2013,2.471322888,3.345330363,3.22011652,3.255166362
10/17/2013,2.377130208,3.254614911,3.131965367,3.159837379
10/18/2013,2.369438831,3.258567572,3.129806205,3.15610222
10/21/2013,2.386646392,3.280953351,3.139738087,3.162233887
10/22/2013,2.288510865,3.183659646,3.02974516,3.048802655
10/23/2013,2.262180804,3.154171494,3.015767692,3.02385734
10/24/2013,2.293621982,3.177228721,3.041787683,3.047926587
10/25/2013,2.272497182,3.152121286,3.011947134,3.01585127
10/28/2013,2.275215314,3.159323662,3.015073902,3.021859997
10/29/2013,2.271098629,3.154323744,3.016173414,3.021914796
10/30/2013,2.274113384,3.161138644,3.023048481,3.027875737
10/31/2013,2.294967541,3.180356588,3.037229575,3.043480648
11/1/2013,2.35867884,3.259283092,3.112269116,3.119871739
11/4/2013,2.329915127,3.238758452,3.096510287,3.100533698
11/5/2013,2.406063772,3.312008808,3.176392154,3.182661619
11/6/2013,2.378435303,3.299734791,3.166735676,3.170120853
11/7/2013,2.367744926,3.291530573,3.164243714,3.16872716
11/8/2013,2.501842693,3.418532948,3.290623624,3.300056383
11/12/2013,2.520418974,3.423942364,3.291693262,3.326109879
11/13/2013,2.459833383,3.386328791,3.246134718,3.276623328
