,RealCoupon,FNMA after change,FNMAError,
12/27/2012,2.1768,2.12228,-2,0.05452
12/31/2012,2.20009,2.15173,-2,0.04836
12/28/2012,2.18544,2.14018,-2,0.04526
1/2/2013,2.26242,2.21798,-2,0.04444
12/26/2012,2.19828,2.15751,-2,0.04077
1/9/2013,2.29263,2.25424,-2,0.03839
12/21/2012,2.18757,2.14957,-2,0.038
12/24/2012,2.21511,2.17817,-2,0.03694
12/20/2012,2.22135,2.18928,-2,0.03207
1/11/2013,2.31308,2.28169,-2,0.03139
1/8/2013,2.31701,2.28722,-2,0.02979
1/7/2013,2.34263,2.31324,-2,0.02939
12/19/2012,2.23717,2.20826,-2,0.02891
12/17/2012,2.2148,2.18609,-2,0.02871
1/3/2013,2.36511,2.33894,-2,0.02617
1/10/2013,2.32919,2.30581,-2,0.02338
12/18/2012,2.27802,2.25496,-2,0.02306
1/4/2013,2.38072,2.35839,-2,0.02233
12/30/2014,2.852,2.852,0,0
12/29/2014,2.86098,2.86098,0,0
12/26/2014,2.89124,2.89124,0,0
12/24/2014,2.90975,2.90975,0,0
12/23/2014,2.91032,2.91032,0,0
12/22/2014,2.82564,2.82564,0,0
12/19/2014,2.83374,2.83374,0,0
12/18/2014,2.85823,2.85823,0,0
12/17/2014,2.83715,2.83715,0,0
12/16/2014,2.78725,2.78725,0,0
12/15/2014,2.82917,2.82917,0,0
12/12/2014,2.80058,2.80058,0,0
12/11/2014,2.86343,2.86343,0,0
12/10/2014,2.85151,2.85151,0,0
12/9/2014,2.88602,2.88602,0,0
12/8/2014,2.90876,2.90876,0,0
12/5/2014,2.95463,2.95463,0,0
12/4/2014,2.90251,2.90251,0,0
12/3/2014,2.93232,2.93232,0,0
12/2/2014,2.92504,2.92504,0,0
12/1/2014,2.86228,2.86228,0,0
11/28/2014,2.84569,2.84569,0,0
11/26/2014,2.8841,2.8841,0,0
11/25/2014,2.89872,2.89872,0,0
11/24/2014,2.95338,2.95338,0,0
11/21/2014,2.96503,2.96503,0,0
11/20/2014,2.98245,2.98245,0,0
11/19/2014,3.00395,3.00395,0,0
11/18/2014,2.98226,2.98226,0,0
11/17/2014,2.9941,2.9941,0,0
11/14/2014,2.98831,2.98831,0,0
11/13/2014,3.02409,3.02409,0,0
11/12/2014,3.03648,3.03648,0,0
11/10/2014,3.03634,3.03634,0,0
11/7/2014,3.00136,3.00136,0,0
11/6/2014,3.05201,3.05201,0,0
11/5/2014,3.04445,3.04445,0,0
11/4/2014,3.04424,3.04424,0,0
11/3/2014,3.04728,3.04728,0,0
10/31/2014,3.00974,3.00974,0,0
10/30/2014,2.98841,2.98841,0,0
10/29/2014,3.0091,3.0091,0,0
10/28/2014,2.97326,2.97326,0,0
10/27/2014,2.95063,2.95063,0,0
10/24/2014,2.96706,2.96706,0,0
10/23/2014,2.95697,2.95697,0,0
10/22/2014,2.91561,2.91561,0,0
10/21/2014,2.90261,2.90261,0,0
10/20/2014,2.88228,2.88228,0,0
10/17/2014,2.90897,2.90897,0,0
10/16/2014,2.88998,2.88998,0,0
10/15/2014,2.80128,2.80128,0,0
10/14/2014,2.91567,2.91567,0,0
10/10/2014,3.00647,3.00647,0,0
10/9/2014,3.00935,3.00935,0,0
10/8/2014,3.00696,3.00696,0,0
10/7/2014,3.05717,3.05717,0,0
10/6/2014,3.12298,3.12298,0,0
10/3/2014,3.1408,3.1408,0,0
10/2/2014,3.1361,3.1361,0,0
10/1/2014,3.11879,3.11879,0,0
9/30/2014,3.2079,3.2079,0,0
9/29/2014,3.19268,3.19268,0,0
9/26/2014,3.21517,3.21517,0,0
9/25/2014,3.19667,3.19667,0,0
9/24/2014,3.2402,3.2402,0,0
9/23/2014,3.21471,3.21471,0,0
9/22/2014,3.23976,3.23976,0,0
9/19/2014,3.2565,3.2565,0,0
9/18/2014,3.30017,3.30017,0,0
9/17/2014,3.28895,3.28895,0,0
9/16/2014,3.28408,3.28408,0,0
9/15/2014,3.28134,3.28134,0,0
9/12/2014,3.30131,3.30131,0,0
9/11/2014,3.23854,3.23854,0,0
9/10/2014,3.23967,3.23967,0,0
9/9/2014,3.20426,3.20426,0,0
9/8/2014,3.17608,3.17608,0,0
9/5/2014,3.16818,3.16818,0,0
9/4/2014,3.15283,3.15283,0,0
9/3/2014,3.12536,3.12536,0,0
9/2/2014,3.13347,3.13347,0,0
8/29/2014,3.08034,3.08034,0,0
8/28/2014,3.07812,3.07812,0,0
8/27/2014,3.09887,3.09887,0,0
8/26/2014,3.12944,3.12944,0,0
8/25/2014,3.13856,3.13856,0,0
8/22/2014,3.15082,3.15082,0,0
8/21/2014,3.15678,3.15678,0,0
8/20/2014,3.18288,3.18288,0,0
8/19/2014,3.16484,3.16484,0,0
8/18/2014,3.13998,3.13998,0,0
8/15/2014,3.09358,3.09358,0,0
8/14/2014,3.13996,3.13996,0,0
8/13/2014,3.16116,3.16116,0,0
8/12/2014,3.19212,3.19212,0,0
8/11/2014,3.18264,3.18264,0,0
8/8/2014,3.17218,3.17218,0,0
8/7/2014,3.1813,3.1813,0,0
8/6/2014,3.2168,3.2168,0,0
8/5/2014,3.21632,3.21632,0,0
8/4/2014,3.21782,3.21782,0,0
8/1/2014,3.22842,3.22842,0,0
7/31/2014,3.27611,3.27611,0,0
7/30/2014,3.26579,3.26579,0,0
7/29/2014,3.18238,3.18238,0,0
7/28/2014,3.20496,3.20496,0,0
7/25/2014,3.19153,3.19153,0,0
7/24/2014,3.23593,3.23593,0,0
7/23/2014,3.18443,3.18443,0,0
7/22/2014,3.17134,3.17134,0,0
7/21/2014,3.17973,3.17973,0,0
7/18/2014,3.18346,3.18346,0,0
7/17/2014,3.184,3.184,0,0
7/16/2014,3.23588,3.23588,0,0
7/15/2014,3.23276,3.23276,0,0
7/14/2014,3.22381,3.22381,0,0
7/11/2014,3.1874,3.1874,0,0
7/10/2014,3.20099,3.20099,0,0
7/9/2014,3.21851,3.21851,0,0
7/8/2014,3.23294,3.23294,0,0
7/7/2014,3.26648,3.26648,0,0
7/3/2014,3.2817,3.2817,0,0
7/2/2014,3.25805,3.25805,0,0
7/1/2014,3.21078,3.21078,0,0
6/30/2014,3.16006,3.16006,0,0
6/27/2014,3.17238,3.17238,0,0
6/26/2014,3.1705,3.1705,0,0
6/25/2014,3.1949,3.1949,0,0
6/24/2014,3.21805,3.21805,0,0
6/23/2014,3.24201,3.24201,0,0
6/20/2014,3.23871,3.23871,0,0
6/19/2014,3.2407,3.2407,0,0
6/18/2014,3.25545,3.25545,0,0
6/17/2014,3.29552,3.29552,0,0
6/16/2014,3.2402,3.2402,0,0
6/13/2014,3.25321,3.25321,0,0
6/12/2014,3.23683,3.23683,0,0
6/11/2014,3.2836,3.2836,0,0
6/10/2014,3.28637,3.28637,0,0
6/9/2014,3.26478,3.26478,0,0
6/6/2014,3.24953,3.24953,0,0
6/5/2014,3.23776,3.23776,0,0
6/4/2014,3.26353,3.26353,0,0
6/3/2014,3.25946,3.25946,0,0
6/2/2014,3.20774,3.20774,0,0
5/30/2014,3.13272,3.13272,0,0
5/29/2014,3.1236,3.1236,0,0
5/28/2014,3.09658,3.09658,0,0
5/27/2014,3.18634,3.18634,0,0
5/23/2014,3.20629,3.20629,0,0
5/22/2014,3.21443,3.21443,0,0
5/21/2014,3.20037,3.20037,0,0
5/20/2014,3.19062,3.19062,0,0
5/19/2014,3.22497,3.22497,0,0
5/16/2014,3.20717,3.20717,0,0
5/15/2014,3.17951,3.17951,0,0
5/14/2014,3.19709,3.19709,0,0
5/13/2014,3.2728,3.2728,0,0
5/12/2014,3.29573,3.29573,0,0
5/9/2014,3.26793,3.26793,0,0
5/8/2014,3.2302,3.2302,0,0
5/7/2014,3.23656,3.23656,0,0
5/6/2014,3.26769,3.26769,0,0
5/5/2014,3.2885,3.2885,0,0
5/2/2014,3.27582,3.27582,0,0
5/1/2014,3.28753,3.28753,0,0
4/30/2014,3.32743,3.32743,0,0
4/29/2014,3.37337,3.37337,0,0
4/28/2014,3.35146,3.35146,0,0
4/25/2014,3.34407,3.34407,0,0
4/24/2014,3.36531,3.36531,0,0
4/23/2014,3.37126,3.37126,0,0
4/22/2014,3.41581,3.41581,0,0
4/21/2014,3.42149,3.42149,0,0
4/17/2014,3.40802,3.40802,0,0
4/16/2014,3.3508,3.3508,0,0
4/15/2014,3.33793,3.33793,0,0
4/14/2014,3.34083,3.34083,0,0
4/11/2014,3.31617,3.31617,0,0
4/10/2014,3.31552,3.31552,0,0
4/9/2014,3.37509,3.37509,0,0
4/8/2014,3.37318,3.37318,0,0
4/7/2014,3.3951,3.3951,0,0
4/4/2014,3.42956,3.42956,0,0
4/3/2014,3.48403,3.48403,0,0
4/2/2014,3.50663,3.50663,0,0
4/1/2014,3.4727,3.4727,0,0
3/31/2014,3.44686,3.44686,0,0
3/28/2014,3.43061,3.43061,0,0
3/27/2014,3.40527,3.40527,0,0
3/26/2014,3.42174,3.42174,0,0
3/25/2014,3.45197,3.45197,0,0
3/24/2014,3.45267,3.45267,0,0
3/21/2014,3.45235,3.45235,0,0
3/20/2014,3.48581,3.48581,0,0
3/19/2014,3.47241,3.47241,0,0
3/18/2014,3.39423,3.39423,0,0
3/17/2014,3.41746,3.41746,0,0
3/14/2014,3.36349,3.36349,0,0
3/13/2014,3.34844,3.34844,0,0
3/12/2014,3.40859,3.40859,0,0
3/11/2014,3.44385,3.44385,0,0
3/10/2014,3.44657,3.44657,0,0
3/7/2014,3.46137,3.46137,0,0
3/6/2014,3.4237,3.4237,0,0
3/5/2014,3.40152,3.40152,0,0
3/4/2014,3.39831,3.39831,0,0
3/3/2014,3.3253,3.3253,0,0
2/28/2014,3.35149,3.35149,0,0
2/27/2014,3.33702,3.33702,0,0
2/26/2014,3.36186,3.36186,0,0
2/25/2014,3.37625,3.37625,0,0
2/24/2014,3.42988,3.42988,0,0
2/21/2014,3.42382,3.42382,0,0
2/20/2014,3.44099,3.44099,0,0
2/19/2014,3.42085,3.42085,0,0
2/18/2014,3.40225,3.40225,0,0
2/14/2014,3.42405,3.42405,0,0
2/13/2014,3.39638,3.39638,0,0
2/12/2014,3.43678,3.43678,0,0
2/11/2014,3.3874,3.3874,0,0
2/10/2014,3.34761,3.34761,0,0
2/7/2014,3.343,3.343,0,0
2/6/2014,3.37993,3.37993,0,0
2/5/2014,3.35841,3.35841,0,0
2/4/2014,3.31116,3.31116,0,0
2/3/2014,3.2711,3.2711,0,0
1/31/2014,3.34068,3.34068,0,0
1/30/2014,3.37103,3.37103,0,0
1/29/2014,3.36115,3.36115,0,0
1/28/2014,3.41467,3.41467,0,0
1/27/2014,3.42489,3.42489,0,0
1/24/2014,3.38218,3.38218,0,0
1/23/2014,3.42598,3.42598,0,0
1/22/2014,3.4813,3.4813,0,0
1/21/2014,3.43062,3.43062,0,0
1/17/2014,3.43708,3.43708,0,0
1/16/2014,3.45706,3.45706,0,0
1/15/2014,3.49478,3.49478,0,0
1/14/2014,3.48341,3.48341,0,0
1/13/2014,3.42646,3.42646,0,0
1/10/2014,3.47184,3.47184,0,0
1/9/2014,3.57494,3.57494,0,0
1/8/2014,3.59637,3.59637,0,0
1/7/2014,3.54285,3.54285,0,0
1/6/2014,3.57635,3.57635,0,0
1/3/2014,3.60326,3.60326,0,0
1/2/2014,3.5997,3.5997,0,0
12/30/2013,3.57467,3.57467,0,0
12/27/2013,3.60938,3.60938,0,0
12/26/2013,3.61108,3.61108,0,0
12/24/2013,3.61006,3.61006,0,0
12/23/2013,3.54225,3.54225,0,0
12/20/2013,3.52072,3.52072,0,0
12/19/2013,3.58946,3.58946,0,0
12/18/2013,3.54228,3.54228,0,0
12/17/2013,3.49989,3.49989,0,0
12/16/2013,3.53072,3.53072,0,0
12/13/2013,3.5291,3.5291,0,0
