asOfDate,RealCoupon,ModelCoupon,RealMortgageRate
12/30/2014,2.852,2.994273132,3.77
12/29/2014,2.86098,3.012036234,3.77
12/26/2014,2.89124,3.053999317,3.77
12/24/2014,2.90975,3.069169749,3.77
12/23/2014,2.91032,3.070402349,3.73
12/22/2014,2.82564,3.004477503,3.73
12/19/2014,2.83374,3.015108055,3.73
12/18/2014,2.85823,3.03442677,3.73
12/17/2014,2.83715,2.983085139,3.7
12/16/2014,2.78725,2.932095961,3.7
12/15/2014,2.82917,2.960343852,3.7
12/12/2014,2.80058,2.935397979,3.7
12/11/2014,2.86343,2.980863375,3.7
12/10/2014,2.85151,2.949866025,3.805
12/9/2014,2.88602,2.995096326,3.805
12/8/2014,2.90876,3.027747012,3.805
12/5/2014,2.95463,3.061176306,3.805
12/4/2014,2.90251,3.003039455,3.805
12/3/2014,2.93232,3.042598839,3.765
12/2/2014,2.92504,3.041650185,3.765
12/1/2014,2.86228,2.985594163,3.765
11/28/2014,2.84569,2.960135359,3.765
11/26/2014,2.8841,2.995694155,3.845
11/25/2014,2.89872,3.014362577,3.845
11/24/2014,2.95338,3.045153855,3.845
11/21/2014,2.96503,3.046948922,3.845
11/20/2014,2.98245,3.064955209,3.845
11/19/2014,3.00395,3.074802438,3.845
11/18/2014,2.98226,3.046200283,3.865
11/17/2014,2.9941,3.060125155,3.865
11/14/2014,2.98831,3.04013383,3.865
11/13/2014,3.02409,3.054249983,3.865
11/12/2014,3.03648,3.080362467,3.885
11/10/2014,3.03634,3.089489581,3.885
11/7/2014,3.00136,3.051793589,3.885
11/6/2014,3.05201,3.115588295,3.885
11/5/2014,3.04445,3.096522638,3.895
11/4/2014,3.04424,3.087919982,3.895
11/3/2014,3.04728,3.092766985,3.895
10/31/2014,3.00974,3.086838234,3.895
10/30/2014,2.98841,3.064576302,3.895
10/29/2014,3.0091,3.080921234,3.855
10/28/2014,2.97326,3.068752221,3.855
10/27/2014,2.95063,3.059503457,3.855
10/24/2014,2.96706,3.080516889,3.855
10/23/2014,2.95697,3.081287965,3.855
10/22/2014,2.91561,3.029021186,3.795
10/21/2014,2.90261,3.010905955,3.795
10/20/2014,2.88228,2.976568225,3.795
10/17/2014,2.90897,3.008123126,3.795
10/16/2014,2.88998,3.004639707,3.795
10/15/2014,2.80128,2.968721059,3.845
10/14/2014,2.91567,2.994285414,3.845
10/10/2014,3.00647,3.061847982,3.845
10/9/2014,3.00935,3.081505856,3.845
10/8/2014,3.00696,3.07909237,3.995
10/7/2014,3.05717,3.124478223,3.995
10/6/2014,3.12298,3.176965956,3.995
10/3/2014,3.1408,3.196817331,3.995
10/2/2014,3.1361,3.183346555,3.995
10/1/2014,3.11879,3.153013134,4.04
9/30/2014,3.2079,3.23137016,4.04
9/29/2014,3.19268,3.216432053,4.04
9/26/2014,3.21517,3.225245981,4.04
9/25/2014,3.19667,3.194342501,4.04
9/24/2014,3.2402,3.230959968,4.075
9/23/2014,3.21471,3.195118858,4.075
9/22/2014,3.23976,3.218819191,4.075
9/19/2014,3.2565,3.252343622,4.075
9/18/2014,3.30017,3.288709757,4.075
9/17/2014,3.28895,3.264839796,4.105
9/16/2014,3.28408,3.250938941,4.105
9/15/2014,3.28134,3.255260067,4.105
9/12/2014,3.30131,3.267174602,4.105
9/11/2014,3.23854,3.212153137,4.105
9/10/2014,3.23967,3.218356042,3.995
9/9/2014,3.20426,3.18427043,3.995
9/8/2014,3.17608,3.154108263,3.995
9/5/2014,3.16818,3.138383978,3.995
9/4/2014,3.15283,3.137591319,3.995
9/3/2014,3.12536,3.1034756,3.975
9/2/2014,3.13347,3.123933549,3.975
8/29/2014,3.08034,3.07879868,3.975
8/28/2014,3.07812,3.072502751,3.975
8/27/2014,3.09887,3.083589204,3.975
8/26/2014,3.12944,3.099145132,3.975
8/25/2014,3.13856,3.104594533,3.975
8/22/2014,3.15082,3.136782085,3.975
8/21/2014,3.15678,3.157616495,3.975
8/20/2014,3.18288,3.179258024,3.975
8/19/2014,3.16484,3.16178347,3.975
8/18/2014,3.13998,3.148857202,3.975
8/15/2014,3.09358,3.114295502,3.975
8/14/2014,3.13996,3.135780128,3.975
8/13/2014,3.16116,3.137319217,4.02
8/12/2014,3.19212,3.168795578,4.02
8/11/2014,3.18264,3.157665394,4.02
8/8/2014,3.17218,3.156094649,4.02
8/7/2014,3.1813,3.153796809,4.02
8/6/2014,3.2168,3.183298179,4.065
8/5/2014,3.21632,3.19091518,4.065
8/4/2014,3.21782,3.196698102,4.065
8/1/2014,3.22842,3.211015888,4.065
7/31/2014,3.27611,3.256008336,4.065
7/30/2014,3.26579,3.244948374,4.02
7/29/2014,3.18238,3.154237301,4.02
7/28/2014,3.20496,3.161223629,4.02
7/25/2014,3.19153,3.135100171,4.02
7/24/2014,3.23593,3.164992748,4.02
7/23/2014,3.18443,3.120916315,4.03
7/22/2014,3.17134,3.123138734,4.03
7/21/2014,3.17973,3.126668137,4.03
7/18/2014,3.18346,3.114333957,4.03
7/17/2014,3.184,3.109836084,4.03
7/16/2014,3.23588,3.146675728,4.03
7/15/2014,3.23276,3.154110994,4.03
7/14/2014,3.22381,3.149087125,4.03
7/11/2014,3.1874,3.121592249,4.03
7/10/2014,3.20099,3.132025007,4.03
7/9/2014,3.21851,3.134664184,4.075
7/8/2014,3.23294,3.149256178,4.075
7/7/2014,3.26648,3.203276748,4.075
7/3/2014,3.2817,3.225405347,4.075
7/2/2014,3.25805,3.216566632,3.995
7/1/2014,3.21078,3.156824255,3.995
6/30/2014,3.16006,3.111847012,3.995
6/27/2014,3.17238,3.130859316,3.995
6/26/2014,3.1705,3.124849087,3.995
6/25/2014,3.1949,3.153023658,4.015
6/24/2014,3.21805,3.182714695,4.015
6/23/2014,3.24201,3.206898321,4.015
