asOfDate,2yrSwap,10yrSwap
1/3/2000,6.874298,7.335923
1/4/2000,6.83497,7.289334
1/5/2000,6.880348,7.386396
1/6/2000,6.855723,7.344128
1/7/2000,6.821449,7.267028
1/10/2000,6.862555,7.316514
1/11/2000,6.94135,7.435496
1/12/2000,6.964825,7.467913
1/13/2000,6.914206,7.390677
1/14/2000,6.943299,7.442716
1/18/2000,6.970642,7.503406
1/19/2000,6.954249,7.483899
1/20/2000,6.963011,7.511812
1/21/2000,6.948734,7.501605
1/24/2000,6.911061,7.399325
1/25/2000,6.920294,7.406813
1/26/2000,6.944928,7.396917
1/27/2000,6.986328,7.414016
1/28/2000,7.085547,7.449722
1/31/2000,7.152816,7.518461
2/1/2000,7.132767,7.45442
2/2/2000,7.184426,7.481067
2/3/2000,7.167159,7.413428
2/4/2000,7.195762,7.439783
2/7/2000,7.222648,7.507615
2/8/2000,7.191948,7.441784
2/9/2000,7.198047,7.513388
2/10/2000,7.182644,7.590968
2/11/2000,7.163501,7.558146
2/14/2000,7.121341,7.490575
2/15/2000,7.144056,7.533555
2/16/2000,7.163148,7.576384
2/17/2000,7.237153,7.586969
2/18/2000,7.232531,7.518884
2/22/2000,7.117362,7.388275
2/23/2000,7.173516,7.458018
2/24/2000,7.072576,7.386667
2/25/2000,6.996759,7.391095
2/28/2000,7.057871,7.463398
2/29/2000,7.078468,7.445325
3/1/2000,7.051151,7.403221
3/2/2000,7.060401,7.412479
3/3/2000,7.03753,7.365008
3/6/2000,7.089221,7.410408
3/7/2000,7.06147,7.399878
3/8/2000,7.073181,7.405555
3/9/2000,7.06394,7.382905
3/10/2000,7.107432,7.437451
3/13/2000,7.099747,7.43551
3/14/2000,7.094852,7.411209
3/15/2000,7.103408,7.402233
3/16/2000,7.097284,7.359133
3/17/2000,7.090556,7.281991
3/20/2000,7.106276,7.310393
3/21/2000,7.095303,7.278527
3/22/2000,7.087683,7.315017
3/23/2000,7.109491,7.283947
3/24/2000,7.235424,7.348305
3/27/2000,7.272605,7.371793
3/28/2000,7.263419,7.397904
3/29/2000,7.251297,7.422156
3/30/2000,7.186689,7.340937
3/31/2000,7.177692,7.282524
4/3/2000,7.13563,7.249152
4/4/2000,6.945665,7.14356
4/5/2000,7.022162,7.183056
4/6/2000,7.045047,7.200808
4/7/2000,7.043371,7.160995
4/10/2000,7.016569,7.1596
4/11/2000,7.054121,7.210353
4/12/2000,7.067881,7.266779
4/13/2000,7.044749,7.20895
4/14/2000,6.989392,7.182423
4/17/2000,6.981949,7.223132
4/18/2000,6.992713,7.236109
4/19/2000,7.003295,7.184664
4/20/2000,7.028363,7.206669
4/24/2000,7.022313,7.220792
4/25/2000,7.139166,7.315444
4/26/2000,7.146929,7.325852
4/27/2000,7.284254,7.436202
4/28/2000,7.340138,7.413637
5/1/2000,7.344256,7.451436
5/2/2000,7.360652,7.513574
5/3/2000,7.429789,7.649765
5/4/2000,7.499857,7.746413
5/5/2000,7.582487,7.814339
5/8/2000,7.610661,7.857557
5/9/2000,7.574514,7.810606
5/10/2000,7.539858,7.765531
5/11/2000,7.542979,7.755373
5/12/2000,7.628182,7.84778
5/15/2000,7.629274,7.833373
5/16/2000,7.62418,7.748256
5/17/2000,7.644465,7.811919
5/18/2000,7.678241,7.899696
5/19/2000,7.617998,7.842251
5/22/2000,7.562176,7.758545
5/23/2000,7.586319,7.763934
5/24/2000,7.604506,7.763869
5/25/2000,7.554474,7.686551
5/26/2000,7.539882,7.653081
5/30/2000,7.619754,7.714244
5/31/2000,7.581511,7.640572
6/1/2000,7.490005,7.520194
6/2/2000,7.348971,7.407625
6/5/2000,7.279437,7.321623
6/6/2000,7.309213,7.353464
6/7/2000,7.337162,7.370361
6/8/2000,7.360385,7.403092
6/9/2000,7.370897,7.404825
6/12/2000,7.334977,7.344475
6/13/2000,7.266325,7.322809
6/14/2000,7.219144,7.272371
6/15/2000,7.225899,7.253131
6/16/2000,7.164656,7.169289
6/19/2000,7.191481,7.197798
6/20/2000,7.232291,7.261034
6/21/2000,7.280147,7.344139
6/22/2000,7.295096,7.37335
6/23/2000,7.313815,7.407107
6/26/2000,7.271297,7.315421
6/27/2000,7.27055,7.31297
6/28/2000,7.266837,7.355314
6/29/2000,7.21674,7.278945
6/30/2000,7.213349,7.261055
7/3/2000,7.144144,7.210734
7/5/2000,7.096283,7.16801
7/6/2000,7.13985,7.22217
7/7/2000,7.066083,7.161621
7/10/2000,7.097149,7.203512
7/11/2000,7.114233,7.230687
7/12/2000,7.129403,7.252387
7/13/2000,7.089753,7.167023
7/14/2000,7.175465,7.287993
7/17/2000,7.205336,7.352949
7/18/2000,7.213453,7.365727
7/19/2000,7.223404,7.385325
7/20/2000,7.088772,7.201708
7/21/2000,7.086891,7.205771
7/24/2000,7.10853,7.244941
7/25/2000,7.095015,7.242344
7/26/2000,7.094173,7.231984
7/27/2000,7.075872,7.208345
7/28/2000,7.105493,7.251761
7/31/2000,7.114783,7.253887
8/1/2000,7.089588,7.221703
8/2/2000,7.05186,7.190978
8/3/2000,7.033242,7.155945
8/4/2000,6.958414,7.088799
8/7/2000,6.978559,7.114927
8/8/2000,6.942819,7.06434
8/9/2000,6.94206,7.069136
8/10/2000,6.916657,7.025937
8/11/2000,6.98947,7.066121
8/14/2000,6.983607,7.048338
8/15/2000,6.98959,7.059892
8/16/2000,7.006382,7.079781
8/17/2000,7.007129,7.075992
8/18/2000,6.974974,7.05476
8/21/2000,6.98501,7.068748
8/22/2000,6.992609,7.053907
8/23/2000,6.947281,7.001436
8/24/2000,6.926158,6.978898
8/25/2000,6.928651,6.979213
8/28/2000,6.970469,7.027886
8/29/2000,6.999273,7.077268
8/30/2000,6.99223,7.08969
8/31/2000,6.9307,7.009433
9/1/2000,6.831296,6.925677
9/5/2000,6.839136,6.936701
9/6/2000,6.868654,6.987025
9/7/2000,6.882738,7.029645
9/8/2000,6.856554,7.024194
9/11/2000,6.862685,7.031245
9/12/2000,6.854208,7.033624
9/13/2000,6.815509,6.979668
9/14/2000,6.812814,7.024535
9/15/2000,6.780265,7.028823
9/18/2000,6.741104,7.031898
9/19/2000,6.76309,7.04097
9/20/2000,6.792375,7.077891
9/21/2000,6.780431,7.039081
9/22/2000,6.753171,6.993626
9/25/2000,6.777585,6.981578
9/26/2000,6.749498,6.956464
9/27/2000,6.76332,6.969824
9/28/2000,6.76183,6.943422
9/29/2000,6.720258,6.912915
10/2/2000,6.712081,6.910655
10/3/2000,6.740987,6.951697
10/4/2000,6.764912,7.002969
10/5/2000,6.761865,6.996553
10/6/2000,6.767145,6.979147
10/10/2000,6.764666,6.992206
10/11/2000,6.731287,6.97342
10/12/2000,6.64468,6.940534
10/13/2000,6.648234,6.921961
10/16/2000,6.667935,6.92653
10/17/2000,6.613515,6.859632
10/18/2000,6.605558,6.849317
10/19/2000,6.612279,6.800825
10/20/2000,6.592708,6.769228
10/23/2000,6.566722,6.70965
10/24/2000,6.594236,6.746599
10/25/2000,6.621614,6.789966
10/26/2000,6.620385,6.808797
10/27/2000,6.677429,6.856856
10/30/2000,6.685743,6.859107
10/31/2000,6.66031,6.881315
11/1/2000,6.615889,6.838776
11/2/2000,6.600711,6.837653
11/3/2000,6.646897,6.916096
11/6/2000,6.683313,6.963949
11/7/2000,6.684139,6.967106
11/8/2000,6.684706,6.968121
11/9/2000,6.646289,6.92643
11/10/2000,6.623555,6.933265
11/13/2000,6.590704,6.897205
11/14/2000,6.61396,6.884498
11/15/2000,6.600509,6.838446
11/16/2000,6.570558,6.80469
11/17/2000,6.579627,6.837104
11/20/2000,6.5681,6.8336
11/21/2000,6.570784,6.835874
11/22/2000,6.541602,6.788821
11/24/2000,6.560923,6.804595
11/27/2000,6.559075,6.800542
11/28/2000,6.507006,6.746603
11/29/2000,6.449108,6.706261
11/30/2000,6.356721,6.625475
12/1/2000,6.391628,6.668271
12/4/2000,6.361475,6.655469
12/5/2000,6.245623,6.531905
12/6/2000,6.163315,6.396805
12/7/2000,6.146987,6.331142
12/8/2000,6.187215,6.350319
12/11/2000,6.21492,6.369936
12/12/2000,6.215273,6.364377
12/13/2000,6.123365,6.282673
12/14/2000,6.071367,6.192544
12/15/2000,6.022048,6.146822
12/18/2000,5.985649,6.103776
12/19/2000,6.000667,6.173705
12/20/2000,5.895808,6.074191
12/21/2000,5.821182,6.026423
12/22/2000,5.784789,6.017415
12/26/2000,5.8046,6.050268
12/27/2000,5.856705,6.13495
12/28/2000,5.903586,6.172414
12/29/2000,5.839179,6.158921
1/2/2001,5.610288,5.89859
1/3/2001,5.593863,6.079727
1/4/2001,5.462048,5.932286
1/5/2001,5.26855,5.785035
1/8/2001,5.214869,5.733628
1/9/2001,5.32764,5.803691
1/10/2001,5.418521,5.953017
1/11/2001,5.428298,6.002126
1/12/2001,5.55944,6.138461
1/16/2001,5.549594,6.147807
1/17/2001,5.49065,6.061835
1/18/2001,5.360755,5.977904
1/19/2001,5.395447,6.062908
1/22/2001,5.398555,6.12962
1/23/2001,5.465297,6.204524
1/24/2001,5.490042,6.210686
1/25/2001,5.478679,6.157537
1/26/2001,5.441367,6.137765
1/29/2001,5.422333,6.158365
1/30/2001,5.344271,6.06022
1/31/2001,5.239005,5.966688
2/1/2001,5.20343,5.873879
2/2/2001,5.315674,5.989865
