asOfDate,2yrSwap,10yrSwap,3y7y_ATM,Coupon,4y7y_ATM,5y7y_ATM,3y7y_ATM,5y10y_ATM
12/31/2008,1.47199,2.572684,115.9772992,4.00708,108.3741625,102.2583075,115.9772992,100.1843007
12/30/2008,1.4376,2.473621,116.1994803,3.89246,108.4043233,102.4926351,116.1994803,100.3339409
12/29/2008,1.461797,2.471974,117.7212126,3.75228,109.794996,103.5653638,117.7212126,99.95561569
12/26/2008,1.559668,2.495534,117.1307273,3.87289,106.6068032,102.9783015,117.1307273,100.3374393
12/24/2008,1.575686,2.558288,115.8575563,4.00553,108.3737069,102.0093086,115.8575563,99.99661164
12/23/2008,1.547059,2.497705,116.1339246,4.10336,108.9279845,102.089925,116.1339246,100.016826
12/22/2008,1.575523,2.461165,114.3649791,4.03628,107.6544508,101.9584392,114.3649791,99.88414603
12/19/2008,1.508971,2.416575,113.0682003,3.79982,107.8424629,100.8839992,113.0682003,99.3398494
12/18/2008,1.529646,2.300299,113.2147571,3.77292,106.8772656,100.7505262,113.2147571,99.53947305
12/17/2008,1.527312,2.36769,113.6991953,3.79209,106.6864392,99.28217356,113.6991953,97.52952688
12/16/2008,1.498394,2.541289,121.677843,3.98071,115.5363552,106.7439406,121.677843,105.3128231
12/15/2008,1.781312,2.757654,133.8045357,4.1355,125.0420315,116.9269555,133.8045357,115.5752681
12/12/2008,2.01601,2.813749,139.1992311,4.10814,129.3179052,121.144578,139.1992311,118.7350898
12/11/2008,1.944315,2.867976,138.3556571,4.11336,129.5099088,121.4136164,138.3556571,119.0720094
12/10/2008,1.956153,2.941372,135.9841547,4.35737,127.8784576,119.1914103,135.9841547,117.6889244
12/9/2008,2.039596,2.966,135.6594591,4.52121,127.530009,118.5123134,135.6594591,116.4206162
12/8/2008,2.137563,2.989715,134.2745197,4.70612,125.533227,117.7690133,134.2745197,115.9737164
12/5/2008,2.13221,2.939053,135.1840221,4.72506,127.3883317,118.445625,135.1840221,116.8483175
12/4/2008,2.007209,2.891186,133.4149059,4.48864,123.7497022,116.48183,133.4149059,114.4972709
12/3/2008,1.996375,2.94944,130.4806763,4.56259,121.5433275,113.6250393,130.4806763,112.1388608
12/2/2008,1.976966,2.921557,133.484844,4.65028,132.78408,116.0885882,133.484844,114.0849281
12/1/2008,1.984604,2.92567,140.6632396,4.6019,131.736165,123.7058765,140.6632396,121.3392596
11/28/2008,2.109416,3.151186,143.2218586,4.82937,133.7755032,126.3395013,143.2218586,124.7666644
11/26/2008,2.118022,3.191187,142.9991413,4.76604,133.2939966,126.112245,142.9991413,123.7924027
11/25/2008,2.128405,3.238753,143.2783544,4.75014,133.0324452,125.5788617,143.2783544,123.3709168
11/24/2008,2.347558,3.567325,142.2477071,5.34056,133.3972946,125.9607257,142.2477071,123.1480568
11/21/2008,2.155429,3.409686,155.3879239,5.35168,145.8423744,137.9457088,155.3879239,134.2653329
11/20/2008,2.036878,3.281976,162.1866225,5.40782,154.0519344,145.7155138,162.1866225,141.2940642
11/19/2008,2.144553,3.644511,155.8544747,5.45948,146.583835,138.556182,155.8544747,135.5193958
11/18/2008,2.215507,3.8266,149.4680693,5.4702,140.3135359,131.9866699,149.4680693,127.5415376
11/17/2008,2.288289,4.010354,144.516288,5.54453,135.1071216,126.8011624,144.516288,122.3686689
11/14/2008,2.391881,4.075218,140.4938912,5.49487,130.427946,123.1590672,140.4938912,119.8254536
11/13/2008,2.41526,4.139341,133.326258,5.55392,125.287246,117.556464,133.326258,115.11292
11/12/2008,2.252934,4.033773,131.016431,5.42963,123.007357,116.0343048,131.016431,113.3461862
11/10/2008,2.329718,4.169135,132.3507757,5.57721,124.5027288,117.1483222,132.3507757,113.9592428
11/7/2008,2.439553,4.189797,131.5646241,5.48216,123.1666044,115.689581,131.5646241,112.9404744
11/6/2008,2.395652,4.132043,129.5210559,5.48354,121.269302,114.4144197,129.5210559,111.5139525
11/5/2008,2.419545,4.092956,128.5342136,5.44883,120.4709402,113.7158528,128.5342136,110.7303966
11/4/2008,2.506041,4.253975,124.9602816,5.59651,117.298015,110.898892,124.9602816,108.1442634
11/3/2008,2.666502,4.42777,126.4818303,5.94965,118.6638336,111.924384,126.4818303,108.6472988
10/31/2008,2.769499,4.452159,126.503792,5.98811,119.0566464,112.1839492,126.503792,108.5371434
10/30/2008,2.752443,4.417498,126.3655764,6.024,118.7958,111.719643,126.3655764,108.0292796
10/29/2008,2.698065,4.362875,129.8916108,6.01414,121.7636994,113.9737824,129.8916108,110.1389606
10/28/2008,2.721535,4.353602,132.7376592,6.04844,126.0125312,118.1110492,132.7376592,114.142819
10/27/2008,2.734799,4.214651,135.0239884,5.91991,128.0752506,119.703045,135.0239884,115.6778408
10/24/2008,2.73085,4.169499,134.6791238,5.67504,127.8417552,120.2031136,134.6791238,116.1031522
10/23/2008,2.613971,3.931824,136.8039384,5.41055,129.1628745,120.7702584,136.8039384,116.4514833
10/22/2008,2.564236,4.023531,127.27616,5.37637,120.8814321,114.7960944,127.27616,110.5803821
10/21/2008,2.526338,4.088626,126.6791056,5.3554,120.3418535,114.2489348,126.6791056,109.8014379
10/20/2008,2.727538,4.346409,126.612465,5.50881,120.081146,114.7810952,126.612465,110.3969783
10/17/2008,2.732593,4.480452,132.2392552,5.82867,124.6436814,118.243238,132.2392552,113.7531486
10/16/2008,2.851166,4.51601,134.7118033,5.84358,127.5028224,121.567312,134.7118033,116.9884788
10/15/2008,2.967153,4.598728,133.34805,5.90519,126.3265092,120.335211,133.34805,115.825836
10/14/2008,3.020798,4.606087,145.6347622,6.01234,138.2325734,131.717856,145.6347622,126.2970033
10/10/2008,3.047938,4.467199,145.3879888,5.84477,138.143965,131.6950089,145.3879888,126.2862916
10/9/2008,3.125244,4.412258,134.90989,5.66674,128.1599496,122.101716,134.90989,117.3535488
10/8/2008,2.883051,4.225915,127.6978584,5.45232,121.363415,115.796324,127.6978584,111.3307073
10/7/2008,2.776168,4.114711,128.287705,5.26288,122.3271852,116.9791536,128.287705,112.5854124
10/6/2008,2.728538,4.056925,121.7138064,5.21162,115.7992206,110.694948,121.7138064,106.6215384
10/3/2008,3.117659,4.304025,121.668156,5.4475,115.6771896,110.3495582,121.668156,106.133144
10/2/2008,3.269094,4.339739,121.68996,5.45694,115.6773772,110.358577,121.68996,106.1341744
10/1/2008,3.376581,4.423004,120.4879914,5.49707,114.6955452,109.4983132,120.4879914,105.423027
9/30/2008,3.484215,4.485561,120.6004954,5.5156,114.763142,109.4972204,120.6004954,105.4217115
9/29/2008,3.135566,4.265467,120.3836284,5.36504,114.2061492,108.9183406,120.3836284,104.9885508
9/26/2008,3.48677,4.502357,113.791212,5.45085,108.7157414,104.1490932,113.791212,100.3414751
9/25/2008,3.627402,4.567672,114.9787989,5.4753,109.5740032,104.773428,114.9787989,100.943808
