asOfDate,2yrSwap,10yrSwap,3y7y_ATM,Coupon,4y7y_ATM,5y7y_ATM,3y7y_ATM,5y10y_ATM
12/31/2014,0.898167,2.285322,91.16847492,2.70673,91.28924816,91.09663299,91.16847492,87.84007775
12/30/2014,0.899713,2.301741,91.25590065,2.72244,91.35669384,91.09922026,91.25590065,87.81705544
12/29/2014,0.904637,2.3199,91.54157166,2.72921,91.59111769,91.31164459,91.54157166,88.11034949
12/26/2014,0.926007,2.362824,92.05104142,2.75148,92.02259196,91.75443274,92.05104142,88.25851053
12/24/2014,0.926005,2.384509,92.05271335,2.76619,92.03297094,91.80888656,92.05271335,88.43982589
12/23/2014,0.920793,2.383736,92.26921698,2.76427,92.3066949,92.23011583,92.26921698,88.96369014
12/22/2014,0.895098,2.290009,92.66934576,2.69044,92.77407987,92.72454293,92.66934576,89.18504403
12/19/2014,0.874882,2.306832,92.92863191,2.69176,92.9132654,92.81964572,92.92863191,89.38259298
12/18/2014,0.847904,2.328759,93.673743,2.70983,93.66545635,93.50377117,93.673743,89.89937276
12/17/2014,0.822062,2.271125,93.30474643,2.69833,93.46818346,93.37546781,93.30474643,89.41496934
12/16/2014,0.791909,2.195239,93.95951857,2.65295,94.00822877,93.94444463,93.95951857,90.33226452
12/15/2014,0.828293,2.242994,92.97539064,2.68752,92.84546328,92.6940101,92.97539064,89.2240595
12/12/2014,0.789554,2.226352,92.6612003,2.64365,92.5633478,92.3505975,92.6612003,88.85427291
12/11/2014,0.838454,2.298793,91.46422659,2.69569,91.4509786,91.31849948,91.46422659,87.817104
12/10/2014,0.808231,2.283806,90.48331682,2.69073,90.6625231,90.72710064,90.48331682,87.24794907
12/9/2014,0.844475,2.337465,90.43495871,2.70375,90.50891414,90.47042274,90.43495871,86.80394072
12/8/2014,0.857841,2.375977,90.62702222,2.72111,90.61633,90.51120029,90.62702222,86.82218025
12/5/2014,0.851565,2.419014,90.97713935,2.74824,90.96069094,90.80074987,90.97713935,87.10195356
12/4/2014,0.753169,2.375218,90.6357695,2.69878,90.77050762,90.74346257,90.6357695,87.03514539
12/3/2014,0.76646,2.414231,91.3052114,2.72335,91.332951,91.17072842,91.3052114,87.43999693
12/2/2014,0.74166,2.413726,91.67986253,2.7146,91.68361969,91.55513516,91.67986253,87.97417941
12/1/2014,0.703568,2.349293,91.51983253,2.65566,91.55437344,91.37502528,91.51983253,87.89062832
11/28/2014,0.697356,2.324514,91.032908,2.64236,91.07664458,90.87887806,91.032908,87.39934509
11/26/2014,0.712768,2.362633,91.42152963,2.68781,91.394454,91.12705655,91.42152963,87.50947068
11/25/2014,0.713249,2.388036,91.48045487,2.6946,91.39382962,91.03005371,91.48045487,87.35619417
