asOfDate,RawRate,Point,Rate
12/30/2014,3.87,0.6,3.77
12/29/2014,3.87,0.6,3.77
12/26/2014,3.87,0.6,3.77
12/24/2014,3.87,0.6,3.77
12/23/2014,3.83,0.6,3.73
12/22/2014,3.83,0.6,3.73
12/19/2014,3.83,0.6,3.73
12/18/2014,3.83,0.6,3.73
12/17/2014,3.8,0.6,3.7
12/16/2014,3.8,0.6,3.7
12/15/2014,3.8,0.6,3.7
12/12/2014,3.8,0.6,3.7
12/11/2014,3.8,0.6,3.7
12/10/2014,3.93,0.5,3.805
12/9/2014,3.93,0.5,3.805
12/8/2014,3.93,0.5,3.805
12/5/2014,3.93,0.5,3.805
12/4/2014,3.93,0.5,3.805
12/3/2014,3.89,0.5,3.765
12/2/2014,3.89,0.5,3.765
12/1/2014,3.89,0.5,3.765
11/28/2014,3.89,0.5,3.765
11/26/2014,3.97,0.5,3.845
11/25/2014,3.97,0.5,3.845
11/24/2014,3.97,0.5,3.845
11/21/2014,3.97,0.5,3.845
11/20/2014,3.97,0.5,3.845
11/19/2014,3.97,0.5,3.845
11/18/2014,3.99,0.5,3.865
11/17/2014,3.99,0.5,3.865
11/14/2014,3.99,0.5,3.865
11/13/2014,3.99,0.5,3.865
11/12/2014,4.01,0.5,3.885
11/10/2014,4.01,0.5,3.885
11/7/2014,4.01,0.5,3.885
11/6/2014,4.01,0.5,3.885
11/5/2014,4.02,0.5,3.895
11/4/2014,4.02,0.5,3.895
11/3/2014,4.02,0.5,3.895
10/31/2014,4.02,0.5,3.895
10/30/2014,4.02,0.5,3.895
10/29/2014,3.98,0.5,3.855
10/28/2014,3.98,0.5,3.855
10/27/2014,3.98,0.5,3.855
10/24/2014,3.98,0.5,3.855
10/23/2014,3.98,0.5,3.855
10/22/2014,3.92,0.5,3.795
10/21/2014,3.92,0.5,3.795
10/20/2014,3.92,0.5,3.795
10/17/2014,3.92,0.5,3.795
10/16/2014,3.92,0.5,3.795
10/15/2014,3.97,0.5,3.845
10/14/2014,3.97,0.5,3.845
10/10/2014,3.97,0.5,3.845
10/9/2014,3.97,0.5,3.845
10/8/2014,4.12,0.5,3.995
10/7/2014,4.12,0.5,3.995
10/6/2014,4.12,0.5,3.995
10/3/2014,4.12,0.5,3.995
10/2/2014,4.12,0.5,3.995
10/1/2014,4.19,0.4,4.04
9/30/2014,4.19,0.4,4.04
9/29/2014,4.19,0.4,4.04
9/26/2014,4.19,0.4,4.04
9/25/2014,4.19,0.4,4.04
9/24/2014,4.2,0.5,4.075
9/23/2014,4.2,0.5,4.075
