asOfDate,RealCoupon,ModelCoupon,RealMortgageRate,RealServiceSpread,,,,,,,,
12/30/2014,2.852,2.994273132,3.77,0.918,2,0.7,,,,,1,0.05
12/29/2014,2.86098,3.012036234,3.77,0.90902,1,0.05,,,,,2,0.7
12/26/2014,2.89124,3.053999317,3.77,0.87876,5,0,,,,,3,0.25
12/24/2014,2.90975,3.069169749,3.77,0.86025,3,0.25,,,,,4,0
12/23/2014,2.91032,3.070402349,3.73,0.81968,2,0.7,,,,,5,0
12/22/2014,2.82564,3.004477503,3.73,0.90436,1,0.05,,,,,6,0
12/19/2014,2.83374,3.015108055,3.73,0.89626,5,0,,,,,7,0
12/18/2014,2.85823,3.03442677,3.73,0.87177,4,0,,,,,,
12/17/2014,2.83715,2.983085139,3.7,0.86285,3,0.25,,,,,,
12/16/2014,2.78725,2.932095961,3.7,0.91275,2,0.7,,,,,,
12/15/2014,2.82917,2.960343852,3.7,0.87083,1,0.05,,,,,,
12/12/2014,2.80058,2.935397979,3.7,0.89942,5,0,,,,,,
12/11/2014,2.86343,2.980863375,3.7,0.83657,4,0,,,,,,
12/10/2014,2.85151,2.949866025,3.805,0.95349,3,0.25,,,,,,
12/9/2014,2.88602,2.995096326,3.805,0.91898,2,0.7,,,,,,
12/8/2014,2.90876,3.027747012,3.805,0.89624,1,0.05,,,,,,
12/5/2014,2.95463,3.061176306,3.805,0.85037,5,0,,,,,,
12/4/2014,2.90251,3.003039455,3.805,0.90249,4,0,,,,,,
12/3/2014,2.93232,3.042598839,3.765,0.83268,3,0.25,,,,,,
12/2/2014,2.92504,3.041650185,3.765,0.83996,2,0.7,,,,,,
12/1/2014,2.86228,2.985594163,3.765,0.90272,1,0.05,,,,,,
11/28/2014,2.84569,2.960135359,3.765,0.91931,5,0,,,,,,
11/26/2014,2.8841,2.995694155,3.845,0.9609,3,0.25,,,,,,
11/25/2014,2.89872,3.014362577,3.845,0.94628,2,0.7,,,,,,
11/24/2014,2.95338,3.045153855,3.845,0.89162,1,0.05,,,,,,
11/21/2014,2.96503,3.046948922,3.845,0.87997,5,0,,,,,,
11/20/2014,2.98245,3.064955209,3.845,0.86255,4,0,,,,,,
11/19/2014,3.00395,3.074802438,3.845,0.84105,3,0.25,,,,,,
11/18/2014,2.98226,3.046200283,3.865,0.88274,2,0.7,,,,,,
11/17/2014,2.9941,3.060125155,3.865,0.8709,1,0.05,,,,,,
11/14/2014,2.98831,3.04013383,3.865,0.87669,5,0,,,,,,
11/13/2014,3.02409,3.054249983,3.865,0.84091,4,0,,,,,,
11/12/2014,3.03648,3.080362467,3.885,0.84852,3,0.25,,,,,,
11/10/2014,3.03634,3.089489581,3.885,0.84866,1,0.05,,,,,,
