asOfDate,RealCoupon,ModelCoupon,PercentError
1/3/2006,5.70253,5.817819838,0.020217314
1/4/2006,5.65324,5.784389361,0.023198973
1/5/2006,5.63968,5.765995081,0.022397562
1/6/2006,5.63322,5.762826853,0.023007596
1/9/2006,5.62104,5.735722523,0.020402367
1/10/2006,5.68246,5.800433608,0.02076101
1/11/2006,5.707,5.821732863,0.020103883
1/12/2006,5.64441,5.775950419,0.023304547
1/13/2006,5.5807,5.71889307,0.024762677
1/17/2006,5.57624,5.70738631,0.023518771
1/18/2006,5.58661,5.703109883,0.020853413
1/19/2006,5.62211,5.738683712,0.020734869
1/20/2006,5.58423,5.725986564,0.025385159
1/23/2006,5.58096,5.728048795,0.026355465
1/24/2006,5.61489,5.76213064,0.026223246
1/25/2006,5.7074,5.856730795,0.026164417
1/26/2006,5.75541,5.910460922,0.026940031
1/27/2006,5.73348,5.892149073,0.02767413
1/30/2006,5.75539,5.917545987,0.028174631
1/31/2006,5.76373,5.914405642,0.026142037
2/1/2006,5.80873,5.965637467,0.027012353
2/2/2006,5.80672,5.960679876,0.026514087
2/3/2006,5.79888,5.934595897,0.023403812
2/6/2006,5.80186,5.947976394,0.025184405
2/7/2006,5.80179,5.967478357,0.028558144
2/8/2006,5.82338,5.987947691,0.028259823
2/9/2006,5.81487,5.965026274,0.025822808
2/10/2006,5.8435,5.992911908,0.025568907
2/13/2006,5.84977,5.987051948,0.023467922
2/14/2006,5.87946,6.005092856,0.021368094
2/15/2006,5.86838,5.989221256,0.020591928
2/16/2006,5.84815,5.964136984,0.019833107
2/17/2006,5.78083,5.916297446,0.023433909
2/21/2006,5.80752,5.940220355,0.022849746
2/22/2006,5.77416,5.892280973,0.020456824
2/23/2006,5.79537,5.925989288,0.022538559
2/24/2006,5.76417,5.89663292,0.022980398
2/27/2006,5.77249,5.90887881,0.023627379
2/28/2006,5.73453,5.874448589,0.024399312
3/1/2006,5.80004,5.923179321,0.021230771
3/2/2006,5.85392,6.001788573,0.025259753
3/3/2006,5.88613,6.030725379,0.024565441
3/6/2006,5.94346,6.098188543,0.026033412
3/7/2006,5.95092,6.103847489,0.025698126
3/8/2006,5.94583,6.100720554,0.026050283
3/9/2006,5.9135,6.08013046,0.028177976
3/10/2006,5.93554,6.094292548,0.0267461
3/13/2006,5.95766,6.123533532,0.027842061
3/14/2006,5.87236,6.027750311,0.026461305
3/15/2006,5.90812,6.061759177,0.026004749
3/16/2006,5.83067,5.968954506,0.023716744
3/17/2006,5.85862,5.994241608,0.023149071
3/20/2006,5.84727,5.970150226,0.021014974
3/21/2006,5.908,6.03265955,0.021100127
3/22/2006,5.89887,6.02703486,0.021727019
3/23/2006,5.92181,6.060682207,0.023450973
3/24/2006,5.86241,5.999240808,0.023340368
3/27/2006,5.87878,6.026919905,0.02519909
3/28/2006,5.94486,6.106301933,0.027156558
3/29/2006,5.9759,6.148477982,0.028878994
3/30/2006,6.00824,6.202594886,0.032348056
3/31/2006,6.00641,6.19237418,0.030960953
4/3/2006,6.03045,6.219073498,0.031278511
4/4/2006,6.02555,6.199563094,0.028879205
4/5/2006,5.99685,6.159832744,0.027178059
4/6/2006,6.01797,6.210734269,0.032031444
4/7/2006,6.08549,6.269736646,0.030276386
4/10/2006,6.09392,6.262817835,0.027715795
4/11/2006,6.06233,6.226064775,0.027008555
4/12/2006,6.09232,6.273327312,0.029710736
4/13/2006,6.14222,6.334445054,0.031295697
4/17/2006,6.11546,6.285914029,0.027872642
4/18/2006,6.06145,6.232590196,0.028234201
4/19/2006,6.09526,6.260352946,0.027085464
4/20/2006,6.11105,6.267821859,0.025653833
4/21/2006,6.08935,6.236672944,0.024193542
4/24/2006,6.06864,6.211315587,0.023510307
4/25/2006,6.14044,6.280320246,0.022780167
4/26/2006,6.17592,6.322495454,0.02373338
4/27/2006,6.13335,6.271890895,0.022588128
4/28/2006,6.10033,6.244626736,0.023653923
5/1/2006,6.16765,6.303605607,0.02204334
5/2/2006,6.17078,6.299415246,0.020845865
5/3/2006,6.21175,6.350651327,0.022361062
5/4/2006,6.21857,6.361015831,0.022906525
