,RealCoupon,ModelCoupon,PercentError,,RealCoupon,ModelCoupon
12/31/2014,2.70673,2.789337389,0.030519257,12/30/2014,2.852,2.994273132
12/30/2014,2.72244,2.802081142,0.029253589,12/29/2014,2.86098,3.012036234
12/29/2014,2.72921,2.819055929,0.032920123,12/26/2014,2.89124,3.053999317
12/26/2014,2.75148,2.857316244,0.038465206,12/24/2014,2.90975,3.069169749
12/24/2014,2.76619,2.872407034,0.038398315,12/23/2014,2.91032,3.070402349
12/23/2014,2.76427,2.874700371,0.039949198,12/22/2014,2.82564,3.004477503
12/22/2014,2.69044,2.813961013,0.045911083,12/19/2014,2.83374,3.015108055
12/19/2014,2.69176,2.828301674,0.050725798,12/18/2014,2.85823,3.03442677
12/18/2014,2.70983,2.852800473,0.052759942,12/17/2014,2.83715,2.983085139
12/17/2014,2.69833,2.806098415,0.039938931,12/16/2014,2.78725,2.932095961
12/16/2014,2.65295,2.761172454,0.040793251,12/15/2014,2.82917,2.960343852
12/15/2014,2.68752,2.782157351,0.035213636,12/12/2014,2.80058,2.935397979
12/12/2014,2.64365,2.764042069,0.045540094,12/11/2014,2.86343,2.980863375
12/11/2014,2.69569,2.799786694,0.038615974,12/10/2014,2.85151,2.949866025
12/10/2014,2.69073,2.773707268,0.030838199,12/9/2014,2.88602,2.995096326
12/9/2014,2.70375,2.812209983,0.040114649,12/8/2014,2.90876,3.027747012
12/8/2014,2.72111,2.84242919,0.044584449,12/5/2014,2.95463,3.061176306
12/5/2014,2.74824,2.877022496,0.046859989,12/4/2014,2.90251,3.003039455
12/4/2014,2.69878,2.836500641,0.051030703,12/3/2014,2.93232,3.042598839
12/3/2014,2.72335,2.873911698,0.055285475,12/2/2014,2.92504,3.041650185
12/2/2014,2.7146,2.877625532,0.060055084,12/1/2014,2.86228,2.985594163
12/1/2014,2.65566,2.828550177,0.065102527,11/28/2014,2.84569,2.960135359
11/28/2014,2.64236,2.804020892,0.061180495,11/26/2014,2.8841,2.995694155
11/26/2014,2.68781,2.836894578,0.055466933,11/25/2014,2.89872,3.014362577
11/25/2014,2.6946,2.855415432,0.059680632,11/24/2014,2.95338,3.045153855
11/24/2014,2.73884,2.883798095,0.052926821,11/21/2014,2.96503,3.046948922
11/21/2014,2.74976,2.886230163,0.049629845,11/20/2014,2.98245,3.064955209
11/20/2014,2.76512,2.903685522,0.050111938,11/19/2014,3.00395,3.074802438
11/19/2014,2.78339,2.911764531,0.046121647,11/18/2014,2.98226,3.046200283
11/18/2014,2.75871,2.885207493,0.045853857,11/17/2014,2.9941,3.060125155
11/17/2014,2.76823,2.898543513,0.04707467,11/14/2014,2.98831,3.04013383
11/14/2014,2.76352,2.876971249,0.041053167,11/13/2014,3.02409,3.054249983
11/13/2014,2.79791,2.889660338,0.032792455,11/12/2014,3.03648,3.080362467
11/12/2014,2.80131,2.913711641,0.04012467,11/10/2014,3.03634,3.089489581
11/10/2014,2.80023,2.92296395,0.043829953,11/7/2014,3.00136,3.051793589
11/7/2014,2.77065,2.889929649,0.043051143,11/6/2014,3.05201,3.115588295
11/6/2014,2.80593,2.947770434,0.05055024,11/5/2014,3.04445,3.096522638
11/5/2014,2.79751,2.932690057,0.048321564,11/4/2014,3.04424,3.087919982
11/4/2014,2.79525,2.92608735,0.04680703,11/3/2014,3.04728,3.092766985
11/3/2014,2.79135,2.931424342,0.050181576,10/31/2014,3.00974,3.086838234
10/31/2014,2.75411,2.928336842,0.063260669,10/30/2014,2.98841,3.064576302
10/30/2014,2.73918,2.909149594,0.062051269,10/29/2014,3.0091,3.080921234
10/29/2014,2.75571,2.923654068,0.060944028,10/28/2014,2.97326,3.068752221
10/28/2014,2.7266,2.922889923,0.071990729,10/27/2014,2.95063,3.059503457
10/27/2014,2.70503,2.9145601,0.077459437,10/24/2014,2.96706,3.080516889
10/24/2014,2.71851,2.934337991,0.079392017,10/23/2014,2.95697,3.081287965
10/23/2014,2.71745,2.935469674,0.080229507,10/22/2014,2.91561,3.029021186
10/22/2014,2.68143,2.887786224,0.076957528,10/21/2014,2.90261,3.010905955
10/21/2014,2.66965,2.871565445,0.075633677,10/20/2014,2.88228,2.976568225
10/20/2014,2.64677,2.836003911,0.071496168,10/17/2014,2.90897,3.008123126
10/17/2014,2.68788,2.863722269,0.065420431,10/16/2014,2.88998,3.004639707
10/16/2014,2.66945,2.865244917,0.073346538,10/15/2014,2.80128,2.968721059
10/15/2014,2.5865,2.836633072,0.096707161,10/14/2014,2.91567,2.994285414
10/14/2014,2.69167,2.846751615,0.05761539,10/10/2014,3.00647,3.061847982
10/10/2014,2.77507,2.902763369,0.046014468,10/9/2014,3.00935,3.081505856
10/9/2014,2.77529,2.919975626,0.052133516,10/8/2014,3.00696,3.07909237
10/8/2014,2.76369,2.918751027,0.056106519,10/7/2014,3.05717,3.124478223
10/7/2014,2.80595,2.953067447,0.05243053,10/6/2014,3.12298,3.176965956
10/6/2014,2.84838,2.999415775,0.053025149,10/3/2014,3.1408,3.196817331
10/3/2014,2.86252,3.016163562,0.053674232,10/2/2014,3.1361,3.183346555
10/2/2014,2.8576,3.007470832,0.0524464,10/1/2014,3.11879,3.153013134
10/1/2014,2.84186,2.978276643,0.048002591,9/30/2014,3.2079,3.23137016
