Asof	Current Coupon	dy	vol1	log return	vol2
3/11/2015	2.827835303	-1.85%	5.07%	-0.006526082	1.88%
3/10/2015	2.846350337	-5.59%	5.07%	-0.019440964	1.88%
3/9/2015	2.902227524	-2.81%	5.04%	-0.009632058	1.87%
3/6/2015	2.930317011	11.48%	5.03%	0.039948877	1.87%
3/5/2015	2.815561575	-0.86%	4.84%	-0.00305764	1.81%
3/4/2015	2.824183723	-1.00%	4.89%	-0.003540314	1.82%
3/3/2015	2.83419994	4.26%	4.90%	0.015132259	1.83%
3/2/2015	2.791634957	5.50%	4.87%	0.019911679	1.82%
2/27/2015	2.736598571	-2.76%	4.88%	-0.010033326	1.82%
2/26/2015	2.764193962	3.80%	4.88%	0.013826695	1.82%
2/25/2015	2.726237308	-1.94%	4.87%	-0.007107908	1.82%
2/24/2015	2.745684184	-5.95%	4.87%	-0.021433585	1.81%
2/23/2015	2.805169251	-4.44%	4.86%	-0.015691734	1.81%
2/20/2015	2.849534394	1.85%	4.83%	0.006496767	1.80%
2/19/2015	2.831081639	2.44%	4.83%	0.008671606	1.80%
2/18/2015	2.806637752	-5.81%	4.82%	-0.020492603	1.80%
2/17/2015	2.86474643	12.08%	4.78%	0.043080164	1.78%
2/13/2015	2.74395326	2.22%	4.50%	0.008125618	1.69%
2/12/2015	2.721747285	-1.73%	4.49%	-0.00635332	1.68%
2/11/2015	2.739094465	-0.60%	4.50%	-0.002176247	1.69%
2/10/2015	2.745061901	5.94%	4.50%	0.021875321	1.69%
2/9/2015	2.685664824	1.08%	4.42%	0.004032495	1.66%
2/6/2015	2.6748567	11.60%	4.45%	0.044320683	1.67%
2/5/2015	2.55889398	-0.73%	4.19%	-0.00285281	1.56%
2/4/2015	2.566204441	2.76%	4.20%	0.010811562	1.56%
2/3/2015	2.538609204	9.04%	4.17%	0.03624639	1.55%
2/2/2015	2.448241432	-0.44%	3.97%	-0.00180675	1.47%
1/30/2015	2.45266879	-6.07%	4.01%	-0.024443917	1.48%
1/29/2015	2.513360371	0.58%	3.98%	0.002300318	1.46%
1/28/2015	2.507585488	-7.81%	3.98%	-0.030663523	1.46%
1/27/2015	2.585667916	-1.08%	3.91%	-0.004149252	1.43%
1/26/2015	2.596418792	2.76%	3.93%	0.010691681	1.43%
1/23/2015	2.568806585	-4.82%	3.90%	-0.018595058	1.42%
1/22/2015	2.617020573	0.85%	3.87%	0.003263275	1.41%
1/21/2015	2.608494435	5.11%	3.91%	0.019793123	1.42%
1/20/2015	2.557371792	1.19%	3.85%	0.004661053	1.40%
1/16/2015	2.545479482	9.01%	3.86%	0.036058053	1.40%
1/15/2015	2.455329532	-3.57%	3.66%	-0.014449782	1.31%
1/14/2015	2.49106608	-8.85%	3.65%	-0.034901796	1.30%
1/13/2015	2.579543794	-1.41%	3.70%	-0.005441647	1.30%
1/12/2015	2.593619022	-5.27%	3.96%	-0.02010522	1.40%
1/9/2015	2.646292031	-3.11%	4.07%	-0.011697656	1.43%
1/8/2015	2.677429206	5.26%	4.06%	0.019835958	1.42%
1/7/2015	2.624843105	0.85%	3.98%	0.003235352	1.39%
1/6/2015	2.616364537	-7.99%	4.02%	-0.03008361	1.40%
1/5/2015	2.696270127	-8.92%	3.98%	-0.032538349	1.38%
1/2/2015	2.785445242	-4.84%	3.83%	-0.017234175	1.32%
12/31/2014	2.833866141	-1.81%	3.80%	-0.00637792	1.31%
12/30/2014	2.851998074	-0.90%	3.80%	-0.003144335	1.31%
12/29/2014	2.860979826	-3.03%	3.96%	-0.010522253	1.35%
12/26/2014	2.891242717	-1.85%	3.95%	-0.006381696	1.35%
12/24/2014	2.90975275	-0.06%	3.96%	-0.000196442	1.35%
12/23/2014	2.910324404	8.47%	3.97%	0.029528181	1.35%
12/22/2014	2.825644197	-0.81%	3.82%	-0.002860971	1.30%
12/19/2014	2.833739857	-2.45%	3.84%	-0.008605211	1.31%
12/18/2014	2.858230007	2.11%	3.84%	0.007402481	1.30%
12/17/2014	2.837150131	4.99%	3.83%	0.017744987	1.30%
12/16/2014	2.787248997	-4.19%	3.78%	-0.01493006	1.28%
12/15/2014	2.829174993	2.86%	3.76%	0.010159393	1.27%
12/12/2014	2.800577802	-6.29%	3.74%	-0.022195969	1.26%
12/11/2014	2.86343434	1.19%	3.67%	0.004174079	1.24%
12/10/2014	2.851507049	-3.45%	3.67%	-0.012032064	1.23%
12/9/2014	2.886023803	-2.27%	3.76%	-0.007846706	1.26%
12/8/2014	2.908758664	-4.59%	3.75%	-0.015648679	1.26%
12/5/2014	2.95463491	5.21%	3.75%	0.017799254	1.25%
12/4/2014	2.902509882	-2.98%	3.70%	-0.010216704	1.24%
12/3/2014	2.932315967	0.73%	3.69%	0.002483946	1.23%
12/2/2014	2.925041291	6.28%	3.70%	0.021690056	1.23%
12/1/2014	2.86228009	1.66%	3.62%	0.005814637	1.20%
11/28/2014	2.845685264	-3.84%	3.61%	-0.013407355	1.20%
11/26/2014	2.884095288	-1.46%	3.65%	-0.005059234	1.21%
11/25/2014	2.898723575	-5.47%	3.65%	-0.018678236	1.21%
11/24/2014	2.953375429	-1.17%	3.60%	-0.003938662	1.19%
11/21/2014	2.965030716	-1.74%	3.61%	-0.005859134	1.20%
11/20/2014	2.982454223	-2.15%	3.61%	-0.007182826	1.20%
11/19/2014	3.003953795	2.17%	3.60%	0.00724864	1.19%
11/18/2014	2.982257943	-1.18%	3.59%	-0.003962216	1.19%
11/17/2014	2.994097733	0.58%	3.60%	0.001935566	1.19%
11/14/2014	2.988308063	-3.58%	3.61%	-0.011902207	1.20%
11/13/2014	3.024088031	-1.24%	3.60%	-0.004090808	1.19%
11/12/2014	3.036484332	0.01%	3.65%	4.86758E-05	1.21%
11/10/2014	3.036336532	3.50%	3.70%	0.011585849	1.22%
11/7/2014	3.001360996	-5.06%	3.67%	-0.016734813	1.21%
11/6/2014	3.052010837	0.76%	3.64%	0.002480568	1.20%
11/5/2014	3.044449498	0.02%	3.64%	6.82239E-05	1.20%
11/4/2014	3.0442418	-0.30%	3.64%	-0.000996835	1.20%
11/3/2014	3.047277921	3.75%	3.64%	0.012394829	1.20%
10/31/2014	3.009740547	2.13%	3.63%	0.007111001	1.20%
10/30/2014	2.988414197	-2.07%	3.62%	-0.006897667	1.19%
10/29/2014	3.009098539	3.58%	3.61%	0.011981025	1.19%
10/28/2014	2.973261565	2.26%	3.57%	0.007640624	1.18%
10/27/2014	2.950630557	-1.64%	3.60%	-0.005554076	1.19%
10/24/2014	2.967064179	1.01%	3.60%	0.003406863	1.19%
10/23/2014	2.956972997	4.14%	3.77%	0.014087598	1.24%
10/22/2014	2.9156084	1.30%	3.74%	0.00446957	1.22%
10/21/2014	2.902605962	2.03%	3.74%	0.007026334	1.22%
10/20/2014	2.882282766	-2.67%	3.76%	-0.009215825	1.23%
10/17/2014	2.908968155	1.90%	3.82%	0.0065499	1.24%
10/16/2014	2.889976967	8.87%	3.81%	0.03117338	1.24%
10/15/2014	2.801276349	-11.44%	3.61%	-0.040025696	1.17%
10/14/2014	2.915673526	-9.08%	3.32%	-0.03066624	1.05%
10/10/2014	3.006471369	-0.29%	3.12%	-0.000957421	0.98%
10/9/2014	3.009351207	0.24%	3.18%	0.000795943	1.00%
10/8/2014	3.006956888	-5.02%	3.18%	-0.016559668	1.00%
10/7/2014	3.057165668	-6.58%	3.13%	-0.021298862	0.98%
10/6/2014	3.122978196	-1.78%	3.06%	-0.00569123	0.96%
10/3/2014	3.140802455	0.47%	3.05%	0.001497799	0.96%
10/2/2014	3.136101686	1.73%	3.06%	0.005536479	0.96%
10/1/2014	3.118786702	-8.91%	3.05%	-0.028171132	0.96%
9/30/2014	3.207895713	1.52%	2.86%	0.004753384	0.89%
9/29/2014	3.192683536	-2.25%	2.86%	-0.007017966	0.89%
9/26/2014	3.215168487	1.85%	2.86%	0.005768639	0.89%
9/25/2014	3.196674734	-4.35%	2.92%	-0.013525106	0.91%
9/24/2014	3.240203804	2.55%	2.94%	0.007897572	0.92%
9/23/2014	3.214714844	-2.50%	2.93%	-0.007761314	0.91%
9/22/2014	3.239762331	-1.67%	2.91%	-0.005152386	0.91%
9/19/2014	3.256497913	-4.37%	2.92%	-0.013322584	0.91%
