Date,MonthlyReturn,OAS,Carry,RealizedVol,YieldCurve,PrepaymentRisk
3/31/2011,321.48,12,1.10%,0.0496,4.507,0.768881219
4/29/2011,399.45,-14,1.10%,0.0401,4.404,0.769645958
5/31/2011,368.37,-39,1.20%,0.0325,4.215,0.966928713
6/30/2011,-89.73,-72,1.20%,0.0344,4.382,1.060241044
7/29/2011,-70.54,15,0.90%,0.04,4.133,1.027598319
8/31/2011,-1294.01,413,1.00%,0.0661,3.595,1.293612804
9/30/2011,-1064.64,707,1.40%,0.0808,2.92,1.466663474
10/31/2011,235.94,688,1.30%,0.0843,3.199,1.422716865
11/30/2011,144.08,623,0.70%,0.0719,3.061,1.489581097
12/30/2011,58.33,611,0.40%,0.0561,2.89,1.506983598
1/31/2012,-302.48,465,0.90%,0.0448,2.934,1.513434856
2/29/2012,1155.70,220,1.70%,0.047,3.086,1.474467166
3/30/2012,714.00,105,1.00%,0.0505,3.349,1.384637426
4/30/2012,-200.65,168,0.20%,0.0511,3.109,1.435058558
5/31/2012,-718.46,286,0.80%,0.0488,2.673,1.508179621
6/29/2012,438.88,294,1.40%,0.0422,2.767,1.60228784
7/31/2012,620.59,172,1.20%,0.0524,2.577,1.692932849
8/31/2012,601.25,79,0.80%,0.0563,2.685,1.602783739
9/28/2012,-398.37,248,-0.20%,0.0632,2.834,1.709633048
10/31/2012,15.62,310,0.60%,0.0598,2.851,1.720238131
11/30/2012,-372.51,312,-0.30%,0.0625,2.796,1.716171564
12/31/2012,266.20,328,0.10%,0.0518,2.934,1.671258243
1/31/2013,289.19,428,-0.50%,0.0493,3.169,1.533464355
2/28/2013,-18.84,448,-0.40%,0.0391,3.094,1.376131248
3/28/2013,440.45,343,0.40%,0.0397,3.114,1.3044791
4/30/2013,-908.02,522,0.30%,0.0348,2.869,1.414986908
5/31/2013,784.38,460,0.50%,0.0488,3.304,1.214534468
6/28/2013,490.34,382,-0.40%,0.059,3.498,0.644399598
7/31/2013,457.00,333,-0.40%,0.0743,3.643,0.35526591
8/30/2013,247.20,273,-0.20%,0.0774,3.673,0.241383526
9/30/2013,185.92,225,0.20%,0.0644,3.687,0.274903592
10/31/2013,-64.17,234,0.80%,0.0545,3.632,0.520110382
11/29/2013,497.39,181,0.80%,0.049,3.811,0.432554118
12/31/2013,496.64,107,0.70%,0.0408,3.942,0.225491441
1/31/2014,-60.46,95,0.60%,0.0419,3.619,0.295887554
2/28/2014,240.08,61,0.90%,0.0379,3.592,0.376157421
3/31/2014,162.96,56,0.90%,0.0379,3.561,0.336813344
4/30/2014,67.85,42,0.70%,0.0328,3.456,0.360552258
5/30/2014,-106.96,28,0.90%,0.0326,3.314,0.527121487
6/30/2014,280.38,-7,0.90%,0.0316,3.338,0.540355053
7/31/2014,-23.28,-9,0.60%,0.0332,3.309,0.544979696
8/29/2014,-178.27,-5,0.60%,0.0282,3.084,0.569399673
9/30/2014,293.47,-45,0.80%,0.0286,3.21,0.518989629
10/31/2014,-89.20,-46,0.80%,0.0363,3.058,0.676833031
11/28/2014,-29.39,-68,1.00%,0.0361,2.909,0.689513849
12/31/2014,-158.29,-82,1.10%,0.038,2.748,0.792402797
1/30/2015,-1182.10,65,1.10%,0.0401,2.25,0.967686587
2/27/2015,1115.76,-87,1.60%,0.0488,2.597,0.895906327
