,CAI,AllLoan,UniverseSeries
1/1/2012,91.00681513,56.4,2.065640274
2/1/2012,89.82126203,55.2,2.061858599
3/1/2012,89.58805561,56.8,2.057925637
4/1/2012,88.20771261,57.8,2.026068751
5/1/2012,86.39552637,58.7,1.966048124
6/1/2012,91.21454725,60.1,2.045562695
7/1/2012,94.60552268,61,2.102149496
8/1/2012,95.01731671,61.2,2.122371892
9/1/2012,95.54124124,60.8,2.157978437
10/1/2012,92.79332542,61.3,2.056937068
11/1/2012,97.7332614,60.8,2.141777879
12/1/2012,96.94479564,61.7,2.145355581
1/1/2013,95.5676844,59.7,2.149138424
2/1/2013,94.20929826,58.2,2.131214215
3/1/2013,93.24931053,60.7,2.125187128
4/1/2013,93.87564393,60.4,2.093279495
5/1/2013,98.91132356,61.4,2.152449798
6/1/2013,102.7580439,61.5,2.276714502
7/1/2013,90.98375126,59.6,2.150473844
8/1/2013,83.13280157,56.9,1.893313317
9/1/2013,91.78974483,59.1,2.024931563
10/1/2013,101.0422697,60.7,2.214287536
11/1/2013,110.6796421,61.6,2.33595456
12/1/2013,116.0352062,62,2.563517736
1/1/2014,104.6545715,60.7,2.486792817
2/1/2014,103.4430083,58.8,2.356464841
3/1/2014,112.5650949,61.6,2.511077202
4/1/2014,115.8396696,63.6,2.641224276
5/1/2014,114.0551021,61.7,2.601723763
6/1/2014,120.550482,65.1,2.657358899
7/1/2014,123.9083772,64.3,2.804708355
8/1/2014,118.8344714,66.1,2.709089206
9/1/2014,118.7212431,66.5,2.712979067
10/1/2014,119.2132187,67.1,2.759748436
11/1/2014,123.0033506,68.3,2.75518129
12/1/2014,125.6533991,67.2,2.868173255
1/1/2015,124.4384325,67.5,2.815450171
2/1/2015,130.0161214,66.5,2.905585135
3/1/2015,129.0206289,68.2,3.022654264
4/1/2015,118.2014687,69,2.799745521
5/1/2015,119.4001581,70.7,2.760301524
