Date,MonthlyReturn,OAS,Carry,RealizedVol,YieldCurve,PrepaymentRisk,Px/Coupon,LIBOR,Price
4/29/2011,3.99453005,12.45424509,1.099111353,74.35883188,450.7,74.36980925,5.404003065,0.24345,24.65743008
5/31/2011,3.683694868,-13.52394173,1.098436946,60.15104193,440.4,89.19246971,5.471282292,0.21025,24.7329854
6/30/2011,-0.897252308,-39.19591073,1.235997851,48.82005911,421.5,106.6895958,5.495437441,0.19043,24.93435125
7/29/2011,-0.705424518,-71.81276253,1.161130502,51.64238425,438.2,98.14525222,5.541567238,0.18555,23.41283507
8/31/2011,-12.94014862,14.55556709,0.948599991,60.00816909,413.3,115.6604681,5.208014893,0.1911,18.51247427
9/30/2011,-10.64639938,413.1307635,0.98897456,99.21815547,359.5,134.0348319,4.119971762,0.2215,14.93949084
10/31/2011,2.359358456,707.365954,1.402341356,121.1716143,292,158.0569326,3.31737161,0.23944,15.65086944
11/30/2011,1.440793886,688.1142656,1.290599183,126.4888022,319.9,153.1425379,3.472077847,0.24528,15.58707255
12/30/2011,0.583268801,623.1016853,0.701359175,107.8483908,306.1,151.1466865,3.444694287,0.27144,15.23376228
1/31/2012,-3.024751456,610.598177,0.395458405,84.15732978,289,154.7081097,3.36595891,0.2953,13.90082626
2/29/2012,11.55704368,465.3319914,0.931555847,67.21853093,293.4,156.4126455,3.065381203,0.26475,15.59398373
3/30/2012,7.140024982,220.0024502,1.710623323,70.47081296,308.6,150.9434856,3.449155437,0.2435,17.88184285
4/30/2012,-2.006531705,105.254891,1.037225291,75.77127528,334.9,141.2967166,4.021985066,0.24125,16.79076554
5/31/2012,-7.184565855,167.5742034,0.242210365,76.6274446,310.9,150.5319245,3.769344881,0.23875,14.69864467
6/29/2012,4.38883934,286.2559714,0.836693008,73.16928505,267.3,166.7915701,3.289572881,0.23875,15.07933186
7/31/2012,6.205884276,293.9670025,1.431508754,63.35513056,276.7,166.4315985,3.379231899,0.24575,14.86226244
8/31/2012,6.012521041,171.7155008,1.197142812,78.60141501,257.7,172.4668793,3.323389352,0.2457,15.81009513
9/28/2012,-3.983709824,79.35476394,0.838377417,84.44287321,268.5,168.5313802,3.543070931,0.2305,13.8931758
10/31/2012,0.156191174,247.7868077,-0.206537996,94.74629702,283.4,185.800113,3.096267542,0.21425,14.22783013
11/30/2012,-3.725067888,309.689439,0.627273204,89.65156351,285.1,177.2001469,3.169573041,0.212,13.54939812
12/31/2012,2.661986266,312.1889368,-0.285086757,93.74088916,279.6,176.2380988,3.025897544,0.2145,14.07014261
1/31/2013,2.891872428,327.6442183,0.070328489,77.69785865,293.4,172.4671564,3.141140385,0.2087,15.268175
2/28/2013,-0.188378382,428.3729259,-0.453438403,73.88621677,316.9,146.0758243,3.430857635,0.1997,15.19771412
3/28/2013,4.404539567,447.9805423,-0.449588515,58.65305672,309.4,144.7988164,3.414650806,0.2037,17.16985417
4/30/2013,-9.080151393,342.6658134,0.372344745,59.49881726,311.4,136.5341774,4.459269806,0.2037,14.96171638
5/31/2013,7.843785317,522.2402043,0.253601378,52.14017228,286.9,154.04791,3.909783438,0.1982,17.94668181
6/28/2013,4.903376486,459.7873533,0.512481069,73.19119488,330.4,93.88505439,4.714027481,0.19428,19.73204978
7/31/2013,4.569974128,381.6890539,-0.351401502,88.42700036,349.8,52.0443559,5.149795994,0.19465,20.94858751
8/30/2013,2.472020122,333.3453893,-0.445513189,111.3924765,364.3,38.29710268,5.475738078,0.18673,21.74575638
9/30/2013,1.859226383,273.2254588,-0.246307795,116.1742531,367.3,17.55040054,5.668739282,0.18206,21.72088171
10/31/2013,-0.641668325,225.3760081,0.24923593,96.64203676,368.7,50.84289801,5.688958517,0.17885,21.16160177
11/29/2013,4.973864425,233.9023628,0.765688445,81.68624139,363.2,53.36535921,5.556777862,0.168,22.73185596
12/31/2013,4.966366758,180.5090255,0.777065535,73.43901312,381.1,29.96558365,5.957702627,0.16825,24.05019863
1/31/2014,-0.604617527,106.6157976,0.705367439,61.18046649,394.2,14.59751707,6.271367535,0.1702,23.22728436
2/28/2014,2.400831623,94.95015643,0.644185914,62.82643332,361.9,46.31104889,6.073754772,0.1565,23.60474626
3/31/2014,1.629580961,61.23512724,0.925667434,56.80516315,359.2,40.73161257,6.16688788,0.1555,24.35327196
