Date,MthlyHedgedReturn,OAS,Carry,RealizedVol,YCSlope,PrepayRiskPrem,PxCpnMult,LIB1m,RefiPctPool,RefiPctLoan,RefiIndex,CC,CCChanges (bps)
3/31/2011,3.2148,12,1.0991,74.36,266.4,74.37,5.4,0.2435,0.5932,0.4228,2194,4.26,3.24
4/29/2011,3.9945,-14,1.0984,60.15,268.7,89.19,5.47,0.2103,0.5945,0.4457,2220,4.09,-17.21
5/31/2011,3.6837,-39,1.236,48.82,258.5,106.69,5.5,0.1904,0.616,0.5057,2620,3.93,-15.88
6/30/2011,-0.8973,-72,1.1611,51.64,270,98.15,5.54,0.1856,0.6905,0.5545,2528,4.02,8.87
7/29/2011,-0.7054,15,0.9486,60.01,243.9,115.66,5.21,0.1911,0.6166,0.5233,2974,3.81,-21.22
8/31/2011,-12.9401,413,0.989,99.22,202.2,134.03,4.12,0.2215,0.8471,0.7301,3601,3.43,-38.14
9/30/2011,-10.6464,707,1.4023,121.17,167.3,158.06,3.32,0.2394,0.9464,0.8354,4242,3.04,-38.89
10/31/2011,2.3594,688,1.2906,126.49,190.8,153.14,3.47,0.2453,0.8651,0.7703,3695,3.25,21.31
11/30/2011,1.4408,623,0.7014,107.85,180.9,151.15,3.44,0.2714,0.95,0.8085,2941,3.18,-7.46
12/30/2011,0.5833,611,0.3955,84.16,162.9,154.71,3.37,0.2953,0.9476,0.8173,3608,3.02,-16.01
1/31/2012,-3.0248,465,0.9316,67.22,158.4,156.41,3.07,0.2648,0.9186,0.7834,4184,2.78,-24.06
2/29/2012,11.557,220,1.7106,70.47,167.8,150.94,3.45,0.2435,0.9092,0.7667,4379,2.88,10.54
3/30/2012,7.14,105,1.0372,75.77,187.6,141.3,4.02,0.2413,0.8749,0.7497,3700,3.07,18.52
4/30/2012,-2.0065,168,0.2422,76.63,165.5,150.53,3.77,0.2388,0.9085,0.8019,3856,2.86,-20.83
5/31/2012,-7.1846,286,0.8367,73.17,131.6,166.79,3.29,0.2388,0.8951,0.8327,4736,2.65,-21.22
6/29/2012,4.3888,294,1.4315,63.36,134.6,166.43,3.38,0.2458,0.8941,0.8631,4372,2.62,-2.27
7/31/2012,6.2059,172,1.1971,78.6,127.1,172.47,3.32,0.2457,0.9845,0.8981,5492,2.31,-30.91
8/31/2012,6.0125,79,0.8384,84.44,133.8,168.53,3.54,0.2305,0.9241,0.8675,4275,2.37,5.44
9/28/2012,-3.9837,248,-0.2065,94.75,140.5,185.8,3.1,0.2143,0.9646,0.9126,5966,2.04,-32.90
10/31/2012,0.1562,310,0.6273,89.65,140.5,177.2,3.17,0.212,0.9508,0.8768,4551,2.14,10.24
11/30/2012,-3.7251,312,-0.2851,93.74,136,176.24,3.03,0.2145,0.9276,0.87,4943,2.07,-6.98
12/31/2012,2.662,328,0.0703,77.7,149.2,172.47,3.14,0.2087,0.9102,0.8563,3489,2.15,7.92
1/31/2013,2.8919,428,-0.4534,73.89,171.8,146.08,3.43,0.1997,0.8475,0.7732,4579,2.57,42.20
2/28/2013,-0.1884,448,-0.4496,58.65,165,144.8,3.41,0.2037,0.816,0.7533,4725,2.54,-2.89
3/28/2013,4.4045,343,0.3723,59.5,160.9,136.53,4.46,0.2037,0.7309,0.7121,4119,2.61,6.95
4/30/2013,-9.0802,522,0.2536,52.14,146.4,154.05,3.91,0.1982,0.8248,0.7599,4854,2.35,-26.08
5/31/2013,7.8438,460,0.5125,73.19,185.7,93.89,4.71,0.1943,0.6327,0.6155,3164,2.96,60.38
6/28/2013,4.9034,382,-0.3514,88.43,213.1,52.04,5.15,0.1947,0.3908,0.3504,2573,3.31,35.21
7/31/2013,4.57,333,-0.4455,111.39,228.3,38.3,5.48,0.1867,0.4292,0.409,2218,3.41,10.01
8/30/2013,2.472,273,-0.2463,116.17,236.6,17.55,5.67,0.1821,0.3271,0.3274,1909,3.52,10.86
9/30/2013,1.8592,225,0.2492,96.64,229.4,50.84,5.69,0.1789,0.4045,0.4161,1957,3.30,-22.29
10/31/2013,-0.6417,234,0.7657,81.69,223.6,53.37,5.56,0.168,0.4605,0.475,2106,3.18,-11.49
11/29/2013,4.9739,181,0.7771,73.44,246.4,29.97,5.96,0.1683,0.397,0.4013,1562,3.42,23.48
12/31/2013,4.9664,107,0.7054,61.18,262.6,14.6,6.27,0.1702,0.3303,0.2916,1278,3.59,17.78
1/31/2014,-0.6046,95,0.6442,62.83,232.6,46.31,6.07,0.1565,0.3816,0.3845,1668,3.34,-25.24
2/28/2014,2.4008,61,0.9257,56.81,233.2,40.73,6.17,0.1555,0.3697,0.3485,1601,3.35,1.08
3/31/2014,1.6296,56,0.9071,56.83,229.7,27.25,6.63,0.152,0.3657,0.3437,1384,3.45,9.54
4/30/2014,0.6785,42,0.7266,49.26,223.2,38.71,6.56,0.1505,0.3739,0.3739,1298,3.33,-11.94
5/30/2014,-1.0696,28,0.8755,48.96,208.8,58.2,6.36,0.151,0.4636,0.4474,1383,3.13,-19.47
6/30/2014,2.8038,-7,0.8611,47.44,206.1,59.69,6.5,0.1552,0.4685,0.448,1342,3.16,2.73
7/31/2014,-0.2328,-9,0.5839,49.8,202.3,52.08,6.52,0.156,0.4592,0.4437,1374,3.28,11.60
8/29/2014,-1.7827,-5,0.6125,42.29,185.5,60.43,6.23,0.157,0.4908,0.4673,1436,3.08,-19.58
9/30/2014,2.9347,-45,0.787,42.94,191.9,53.23,6.46,0.1565,0.4137,0.4057,1326,3.21,12.76
10/31/2014,-0.892,-46,0.7753,54.47,183.9,67.09,6.21,0.1559,0.5718,0.5192,1605,3.01,-19.82
11/28/2014,-0.2939,-68,1.0005,54.08,170.4,79.52,6.01,0.154,0.5729,0.5122,1367,2.85,-16.41
12/31/2014,-1.5829,-82,1.1149,56.94,149.8,78.28,5.83,0.1713,0.5907,0.5368,1348,2.83,-1.18
1/30/2015,-11.821,65,1.1038,60.22,120.8,102.97,4.78,0.1713,0.6626,0.6558,2585,2.45,-38.12
2/27/2015,11.1577,-87,1.6224,73.25,137.6,88.62,5.51,0.173,0.611,0.5614,1740,2.74,28.39
3/31/2015,-0.7,-97,0.9897,78.46,137.9,92.38,5.37,0.1763,0.642,0.6199,1942,2.66,-7.56
4/30/2015,5.207,28,0.2384,69.09,146.7,80.98,5.56,0.181,0.6364,0.6089,1559,2.75,8.70
5/29/2015,1.2501,27,0.3672,68.4,149.2,72.75,5.66,0.184,0.5495,0.4952,1234,2.81,6.45
6/30/2015,4.679,10,0.3215,75.45,169.8,50.56,6.16,0.1865,0.45,0.397,1246,3.07,26.07
7/31/2015,-1.5451,14,0.1851,82.06,153.1,66.46,5.93,0.1918,0.4991,0.4227,1418,2.92,-15.78
8/31/2015,0.1421,21,0.4859,76.13,146.2,67.72,5.92,0.1986,0.5478,0.5324,1546,2.93,1.89
9/30/2015,-1.2489,40,0.6095,67.08,141.5,70.97,5.7,0.193,0.5189,0.4886,1590,2.80,-13.25
