Date,MthlyHedgedReturn,OAS,Carry,RealizedVol,YCSlope,PrepayRiskPrem,PxCpnMult,LIB1m,RefiPctPool,RefiPctLoan,RefiIndex,CC,CCChanges,CurveHedgedReturn
3/31/2011,3.21,12,1.1,74.36,266.4,74.37,5.4,0.24,0.59,0.42,2194,4.26,3.24,
4/29/2011,3.99,-14,1.1,60.15,268.7,89.19,5.47,0.21,0.59,0.45,2220,4.09,-17.21,
5/31/2011,3.68,-39,1.24,48.82,258.5,106.69,5.5,0.19,0.62,0.51,2620,3.93,-15.88,
6/30/2011,-0.9,-72,1.16,51.64,270,98.15,5.54,0.19,0.69,0.55,2528,4.02,8.87,
7/29/2011,-0.71,15,0.95,60.01,243.9,115.66,5.21,0.19,0.62,0.52,2974,3.81,-21.22,
8/31/2011,-12.94,413,0.99,99.22,202.2,134.03,4.12,0.22,0.85,0.73,3601,3.43,-38.14,
9/30/2011,-10.65,707,1.4,121.17,167.3,158.06,3.32,0.24,0.95,0.84,4242,3.04,-38.89,
10/31/2011,2.36,688,1.29,126.49,190.8,153.14,3.47,0.25,0.87,0.77,3695,3.25,21.31,
11/30/2011,1.44,623,0.7,107.85,180.9,151.15,3.44,0.27,0.95,0.81,2941,3.18,-7.46,
12/30/2011,0.58,611,0.4,84.16,162.9,154.71,3.37,0.3,0.95,0.82,3608,3.02,-16.01,
1/31/2012,-3.02,465,0.93,67.22,158.4,156.41,3.07,0.26,0.92,0.78,4184,2.78,-24.06,
2/29/2012,11.56,220,1.71,70.47,167.8,150.94,3.45,0.24,0.91,0.77,4379,2.88,10.54,
3/30/2012,7.14,105,1.04,75.77,187.6,141.3,4.02,0.24,0.87,0.75,3700,3.07,18.52,
4/30/2012,-2.01,168,0.24,76.63,165.5,150.53,3.77,0.24,0.91,0.8,3856,2.86,-20.83,
5/31/2012,-7.18,286,0.84,73.17,131.6,166.79,3.29,0.24,0.9,0.83,4736,2.65,-21.22,
6/29/2012,4.39,294,1.43,63.36,134.6,166.43,3.38,0.25,0.89,0.86,4372,2.62,-2.27,
7/31/2012,6.21,172,1.2,78.6,127.1,172.47,3.32,0.25,0.98,0.9,5492,2.31,-30.91,
8/31/2012,6.01,79,0.84,84.44,133.8,168.53,3.54,0.23,0.92,0.87,4275,2.37,5.44,
9/28/2012,-3.98,248,-0.21,94.75,140.5,185.8,3.1,0.21,0.96,0.91,5966,2.04,-32.9,
10/31/2012,0.16,310,0.63,89.65,140.5,177.2,3.17,0.21,0.95,0.88,4551,2.14,10.24,
11/30/2012,-3.73,312,-0.29,93.74,136,176.24,3.03,0.21,0.93,0.87,4943,2.07,-6.98,
12/31/2012,2.66,328,0.07,77.7,149.2,172.47,3.14,0.21,0.91,0.86,3489,2.15,7.92,
1/31/2013,2.89,428,-0.45,73.89,171.8,146.08,3.43,0.2,0.85,0.77,4579,2.57,42.2,
2/28/2013,-0.19,448,-0.45,58.65,165,144.8,3.41,0.2,0.82,0.75,4725,2.54,-2.89,
3/28/2013,4.4,343,0.37,59.5,160.9,136.53,4.46,0.2,0.73,0.71,4119,2.61,6.95,
4/30/2013,-9.08,522,0.25,52.14,146.4,154.05,3.91,0.2,0.82,0.76,4854,2.35,-26.08,
5/31/2013,7.84,460,0.51,73.19,185.7,93.89,4.71,0.19,0.63,0.62,3164,2.96,60.38,
6/28/2013,4.9,382,-0.35,88.43,213.1,44.14,4.97,0.19,0.44,0.42,2573.4,3.31,35.21,
7/31/2013,4.57,333,-0.45,111.39,228.3,38.95,5.31,0.19,0.43,0.41,2218.3,3.41,10.01,
8/30/2013,2.47,273,-0.25,116.17,236.6,30.46,5.54,0.18,0.4,0.36,1909,3.52,10.86,
9/30/2013,1.86,225,0.25,96.64,229.4,49.21,5.62,0.18,0.41,0.44,1956.6,3.3,-22.29,
10/31/2013,-0.64,234,0.77,81.69,223.6,59.91,5.55,0.17,0.45,0.47,2105.6,3.18,-11.49,
11/29/2013,4.97,181,0.78,73.44,246.4,38.9,5.95,0.17,0.39,0.4,1561.6,3.42,23.48,
12/31/2013,4.97,107,0.71,61.18,262.6,15,6.29,0.17,0.27,0.27,1277.8,3.59,17.78,
1/31/2014,-0.6,95,0.64,62.83,232.6,43.42,6.13,0.16,0.39,0.4,1667.5,3.34,-25.24,
2/28/2014,2.4,61,0.93,56.81,233.2,37.24,6.27,0.16,0.38,0.37,1600.6,3.35,1.08,
3/31/2014,1.63,56,0.91,56.83,229.7,31.35,6.86,0.15,0.37,0.34,1383.5,3.45,9.54,
4/30/2014,0.68,42,0.73,49.26,223.2,41.2,6.74,0.15,0.38,0.37,1298.1,3.33,-11.94,
5/30/2014,-1.07,28,0.88,48.96,208.8,62.02,6.5,0.15,0.5,0.46,1382.6,3.13,-19.47,
6/30/2014,2.8,-7,0.86,47.44,206.1,64.37,6.7,0.16,0.52,0.47,1341.8,3.16,2.73,
7/31/2014,-0.23,-9,0.58,49.8,202.3,50.58,6.76,0.16,0.42,0.41,1373.9,3.28,11.6,
8/29/2014,-1.78,-5,0.61,42.29,185.5,65.89,6.4,0.16,0.54,0.48,1436,3.08,-19.58,
9/30/2014,2.93,-45,0.79,42.94,191.9,53.96,6.71,0.16,0.44,0.42,1326.2,3.21,12.76,
10/31/2014,-0.89,-46,0.78,54.47,183.9,67.26,6.36,0.16,0.55,0.47,1604.8,3.01,-19.82,
11/28/2014,-0.29,-68,1,54.08,170.4,80.63,6.12,0.15,0.6,0.53,1366.6,2.85,-16.41,
12/31/2014,-1.58,-82,1.11,56.94,149.8,80.85,5.94,0.17,0.6,0.55,1347.6,2.83,-1.18,
1/30/2015,-11.82,65,1.1,60.22,120.8,110.71,4.82,0.17,0.77,0.71,2584.8,2.45,-38.12,-8.94
2/27/2015,11.16,-87,1.62,73.25,137.6,89.11,5.63,0.17,0.63,0.6,1740.3,2.74,28.39,5.53
3/31/2015,-0.7,-97,0.99,78.46,137.9,93.53,5.52,0.18,0.64,0.63,1941.6,2.66,-7.56,1.18
4/30/2015,5.21,28,0.24,69.09,146.7,85.68,5.72,0.18,0.61,0.59,1559.4,2.75,8.7,1.19
5/29/2015,1.25,27,0.37,68.4,149.2,77.68,5.85,0.18,0.57,0.56,1233.9,2.81,6.45,-1.66
6/30/2015,4.68,10,0.32,75.45,169.8,53.1,6.47,0.19,0.44,0.42,1246.1,3.07,26.07,-0.66
7/31/2015,-1.55,14,0.19,82.06,153.1,66.95,6.21,0.19,0.52,0.5,1418,2.92,-15.78,1.18
8/31/2015,0.14,21,0.49,76.13,146.2,65.36,6.18,0.2,0.51,0.47,1545.5,2.93,1.89,-1.53
9/30/2015,-1.25,40,0.61,67.08,141.5,75.56,5.91,0.19,0.55,0.54,1589.5,2.8,-13.25,-1.59
10/30/2015,0.19,42,0.56,66.44,141.6,70.1,5.92,0.19,0.53,0.5,1548.6,2.84,4.25,-0.13
11/30/2015,2.39,3,0.55,57.52,128.7,59.5,6.15,0.24,0.48,0.46,1410.2,2.95,10.3,1.78
12/31/2015,1.14,5,0.59,59.89,121.7,55.77,6.24,0.43,0.46,0.42,1174.1,3.01,5.79,1.36
1/29/2016,-4.64,21,0.74,56.5,115.6,85.23,5.59,0.43,0.62,0.6,1726.6,2.65,-35.79,-2.06
2/29/2016,-1.39,-7,1.58,66.69,95.2,91.83,5.3,0.44,0.67,0.63,1992.9,2.53,-12.02,0.52
3/31/2016,3.71,-6,1.43,65.42,105,93.1,5.38,0.44,0.69,0.65,1671.6,2.54,1.24,1.33
4/29/2016,1.92,-12,1,62.63,104.7,93.75,5.43,0.44,0.72,0.64,1910.1,2.56,2.49,1.29
