Date,MthlyHedgedReturn,OAS,Carry,RealizedVol,YCSlope,PrepayRiskPrem,PxCpnMult,LIB1m
3/31/2011,3.2148,12,1.0991,74.35883188,450.7,74.37,5.404003065,0.2435
4/29/2011,3.9945,-14,1.0984,60.15104193,440.4,89.19,5.471282292,0.2103
5/31/2011,3.6837,-39,1.236,48.82005911,421.5,106.69,5.495437441,0.1904
6/30/2011,-0.8973,-72,1.1611,51.64238425,438.2,98.15,5.541567238,0.1856
7/29/2011,-0.7054,15,0.9486,60.00816909,413.3,115.66,5.208014893,0.1911
8/31/2011,-12.9401,413,0.989,99.21815547,359.5,134.03,4.119971762,0.2215
9/30/2011,-10.6464,707,1.4023,121.1716143,292,158.06,3.31737161,0.2394
10/31/2011,2.3594,688,1.2906,126.4888022,319.9,153.14,3.472077847,0.2453
11/30/2011,1.4408,623,0.7014,107.8483908,306.1,151.15,3.444694287,0.2714
12/30/2011,0.5833,611,0.3955,84.15732978,289,154.71,3.36595891,0.2953
1/31/2012,-3.0248,465,0.9316,67.21853093,293.4,156.41,3.065381203,0.2648
2/29/2012,11.557,220,1.7106,70.47081296,308.6,150.94,3.449155437,0.2435
3/30/2012,7.14,105,1.0372,75.77127528,334.9,141.3,4.021985066,0.2413
4/30/2012,-2.0065,168,0.2422,76.6274446,310.9,150.53,3.769344881,0.2388
5/31/2012,-7.1846,286,0.8367,73.16928505,267.3,166.79,3.289572881,0.2388
6/29/2012,4.3888,294,1.4315,63.35513056,276.7,166.43,3.379231899,0.2458
7/31/2012,6.2059,172,1.1971,78.60141501,257.7,172.47,3.323389352,0.2457
8/31/2012,6.0125,79,0.8384,84.44287321,268.5,168.53,3.543070931,0.2305
9/28/2012,-3.9837,248,-0.2065,94.74629702,283.4,185.8,3.096267542,0.2143
10/31/2012,0.1562,310,0.6273,89.65156351,285.1,177.2,3.169573041,0.212
11/30/2012,-3.7251,312,-0.2851,93.74088916,279.6,176.24,3.025897544,0.2145
12/31/2012,2.662,328,0.0703,77.69785865,293.4,172.47,3.141140385,0.2087
1/31/2013,2.8919,428,-0.4534,73.88621677,316.9,146.08,3.430857635,0.1997
2/28/2013,-0.1884,448,-0.4496,58.65305672,309.4,144.8,3.414650806,0.2037
3/28/2013,4.4045,343,0.3723,59.49881726,311.4,136.53,4.459269806,0.2037
4/30/2013,-9.0802,522,0.2536,52.14017228,286.9,154.05,3.909783438,0.1982
5/31/2013,7.8438,460,0.5125,73.19119488,330.4,93.89,4.714027481,0.1943
6/28/2013,4.9034,382,-0.3514,88.42700036,349.8,52.04,5.149795994,0.1947
7/31/2013,4.57,333,-0.4455,111.3924765,364.3,38.3,5.475738078,0.1867
8/30/2013,2.472,273,-0.2463,116.1742531,367.3,17.55,5.668739282,0.1821
9/30/2013,1.8592,225,0.2492,96.64203676,368.7,50.84,5.688958517,0.1789
10/31/2013,-0.6417,234,0.7657,81.68624139,363.2,53.37,5.556777862,0.168
11/29/2013,4.9739,181,0.7771,73.43901312,381.1,29.97,5.957702627,0.1683
12/31/2013,4.9664,107,0.7054,61.18046649,394.2,14.6,6.271367535,0.1702
1/31/2014,-0.6046,95,0.6442,62.82643332,361.9,46.31,6.073754772,0.1565
2/28/2014,2.4008,61,0.9257,56.80516315,359.2,40.73,6.16688788,0.1555
3/31/2014,1.6296,56,0.9071,56.8339627,356.1,27.25,6.628450755,0.152
4/30/2014,0.6785,42,0.7266,49.26085855,345.6,38.71,6.556637453,0.1505
5/30/2014,-1.0696,28,0.8755,48.96322265,331.4,58.2,6.358497815,0.151
6/30/2014,2.8038,-7,0.8611,47.44301168,333.8,59.69,6.496224025,0.1552
7/31/2014,-0.2328,-9,0.5839,49.80105841,330.9,52.08,6.523982642,0.156
8/29/2014,-1.7827,-5,0.6125,42.28572605,308.4,60.43,6.225233179,0.157
9/30/2014,2.9347,-45,0.787,42.93588958,321,53.23,6.464097043,0.1565
10/31/2014,-0.892,-46,0.7753,54.46678167,305.8,67.09,6.214112854,0.1559
11/28/2014,-0.2939,-68,1.0005,54.08444128,290.9,79.52,6.006570048,0.154
12/31/2014,-1.5829,-82,1.1149,56.93865371,274.8,78.28,5.82752051,0.1713
1/30/2015,-11.821,65,1.1038,60.21527307,225,102.97,4.73650433,0.1713
2/27/2015,11.1576,-87,1.6224,73.25267838,259.7,88.62,5.474434273,0.173
3/31/2015,-0.7014,-97,0.9897,78.45833425,254.4,92.40642213,5.332043747,0.1763
