"aggActual","aggEstim"
4860.04,24818.5182107298
7089.07,39366.4395573882
15692.8875,35837.9791236702
24984.7763157895,41513.9035556586
13787.556,36489.1904358989
21517.9005555556,34068.664495931
16637.4242105263,38102.7028372871
42666.8791428571,38281.6581785125
36443.8877142857,37496.9584684679
41965.206,40011.7978509129
33520.7909615385,36239.0952181199
30332.1347826087,34454.7009905496
43164.6067241379,34048.6348313257
33867.4904054054,35579.0538929759
30696.3602727273,34928.5791592351
25071.3699074074,34347.3335953622
36215.2783898305,36225.5867029726
25148.3338738739,33689.2681158664
26178.4694656489,34199.7059677895
32832.4627152318,34284.2035335655
33468.930979021,32063.0679124869
34995.7725510204,32303.4570426269
23548.848423913,30868.159596677
34631.0607239819,34303.963370424
21637.9596446701,32462.820280473
19999.9487447699,29017.7891770302
25850.3993356643,31439.1273575264
24743.4987384615,31582.3110206179
22743.9806395349,31346.219042097
24609.7707692308,30394.0627207301
23662.9247058824,32091.9347227864
26531.5687603306,31679.3370898389
25504.7742857143,31485.1441986099
25837.0334773218,32949.326615863
31752.3008865979,31696.178090429
29326.6074144487,33930.184781474
25782.5252121212,31648.9767114565
24721.2197614314,32533.0457940347
23914.8811245675,31629.0390276899
29266.8488888889,33179.4535839817
31672.9253342246,33262.1571283072
27251.3290922619,33422.0982511619
26806.1211005435,33242.9506576531
24582.202777036,32681.7373582041
29537.6173469388,32511.5357807123
27527.7623162584,32716.4547969416
27572.5217735849,32778.3231378699
32759.0060643016,32092.9927003539
37628.6505237515,33358.8385440488
33838.6449637681,33352.2037524293
36553.9504602888,32194.2691366166
29289.1684235977,32560.6014418014
27688.0702066116,33974.8662110585
29315.2495445545,32696.6324608315
25565.9201782178,32365.8407391524
28588.0417984832,32387.7158482416
27571.6452597403,32000.2552838236
35275.5629171039,30609.8101924426
29873.2436163175,32089.8306836632
29570.4187359837,31659.257067863
23019.7004826733,30323.0201358946
24440.0214065934,31852.9473034861
26475.115,31650.6130795345
23850.4579733587,30932.5728855007
21242.5950702905,30297.0910003994
20461.640667276,29735.4755412687
18777.1822538293,29577.3839635309
17199.5559063136,29512.6270543737
18219.1690269151,29581.2420216799
16149.7498092031,30048.0138916742
18362.7424,29709.6462385039
18580.0809622412,28068.131805407
18047.2209596662,27475.8836295065
19564.272443385,27975.328207408
18654.08835,29584.977078604
15931.5734610778,27946.1173276941
17225.0382322176,28967.4466257791
15112.0692470838,28491.7567007017
18377.9725934861,27143.2205275374
18723.708726674,27915.0199166273
20288.3047475832,28384.5122384491
21095.4173067332,28589.7527232635
22908.2415085158,29265.7404590779
20100.9946347607,27636.4998851156
20293.4873988439,26049.9099380131
19007.5745511222,27364.1426435576
20403.475517909,27281.4622908201
20626.0122645503,28771.8999960688
17676.7145167653,27347.4256956206
19210.2882869855,28147.3692191615
18798.1183811711,28288.1416020713
24110.5148377282,27749.9923643299
25265.6275592417,29749.099426025
32141.5959479167,30997.039033419
28415.5101086957,30769.7751437997
29961.2751597289,30868.1172290816
30738.6668675889,30915.8890152547
34559.1791961722,34758.3136357363
34570.0736525424,33968.9732486564
35547.4814699162,34833.354386227
37714.9813418746,36733.247510291
40494.7417308993,39349.7428925568
40632.6208722959,39640.5867815297
41912.7349512036,42264.4020205059
44393.7764766839,43522.4346450799
50362.6033220339,46596.6619751
51885.8317455621,48596.6715215536
57138.9436373221,51493.4937215786
61390.4658951175,52669.7376373183
60925.4609373434,49297.3408266714
65166.1020271993,51916.0413139082
64851.769161777,52444.9796885067
67112.4690396579,56480.4046818405
67663.0673733024,59222.2721610042
67023.6062409105,59108.9473729185
65837.4614583333,59859.8624555905
69119.9614965986,62301.9119779728
65219.5679932938,61175.7970367635
66708.8259477866,62246.2262988389
68399.220451146,63336.8319203732
67750.5787549519,61439.5123390959
69443.6079728692,62207.2227189078
66587.1669325153,62200.552645751
68564.9836018868,65019.5299413288
67267.2698404048,64755.0745720862
71655.1369351957,68821.3481607293
73389.8477735778,66993.9999247151
73503.7067006216,65504.1517888584
75765.2219095397,65883.4433204482
75720.5951468968,65967.9241279666
77283.6426095802,66843.2896761155
75473.4102936769,66207.2041234675
76476.2342714217,67955.0019523143
75265.6546536412,68900.0804210024
75133.2256,70158.5279666778
74265.1306628734,69982.7254296853
74982.0186802863,72035.9447338545
74868.9992890995,72485.9082986691
75873.7073010946,72595.1593221129
75336.9718741429,72477.9040223198
75305.0489562948,72014.574108299
75251.5829050666,72423.5668517365
74694.6606048319,70734.8873182132
74039.1850943396,69304.2928356026
74529.3296150683,70517.1584209201
72107.9712043202,69242.560597156
69190.6267313654,68665.541049288
68586.5265054757,69896.6723172386
66017.7281376254,69398.569332933
66577.2060282828,70296.257332022
66240.5146943386,68453.6966753544
64677.1857411246,67429.3283764384
63981.633639477,66354.4526888067
63282.5643577664,65827.2509251016
60836.193856758,63923.4440373924
61386.4437453437,64510.8888040866
59643.0398445217,62028.0183647216
57467.4354798928,61386.3683542407
55452.2944228073,61426.8934724091
52930.9433511348,58635.6086165479
51078.7735810465,58771.6963170129
48158.2636684513,56796.6881638105
48193.0759843625,55754.9050654617
47525.8031019202,55543.1443814797
45786.8384478936,54148.9978380115
45438.9371428571,52664.9633304512
45624.2844433424,52413.6870130757
46233.9037773549,51624.5287134022
43619.525548433,49093.155737328
44914.2316250297,50206.7424651382
41508.9044589511,48895.2683152067
43483.0198975501,49607.7229795695
44748.408041958,49940.5564970741
48579.9929014216,49277.1722813942
53707.0121924144,47492.3735818211
57973.8028587444,50697.337380312
76112.8234767504,48386.2625320592
