'loanID','beginLoanAge','JudicialFlag','origbalance','loanpurpose','occupancyStatus','propertyType','beginCoupon','currentValue','UPB','expenses','netSaleProceeds','timeDQ','ActuralLoss'
'F100Q1000161',29,'1',44000.00,'RE-FI-NCO','OWNER','SFR',8.250,66355.61,43272.69,-5991.00,'16200',22,38109.35
'F100Q1005716',161,'1',57000.00,'RE-FI-NCO','OWNER','SFR',8.250,83663.33,47408.68,-16485.00,'9600',23,56266.01
'F100Q1005792',171,'0',46000.00,'PURCH','OWNER','SFR',8.750,77193.75,37994.45,-8974.00,'18800',15,31333.36
'F100Q1006417',32,'1',61000.00,'PURCH','INV','SFR',9.000,73396.55,60854.20,-8419.00,'24100',23,37099.96
'F100Q1006983',63,'1',104000.00,'RE-FI-NCO','OWNER','SFR',8.125,155870.00,96656.24,-933.00,'74900',6,26293.08
'F100Q1009679',39,'0',46000.00,'PURCH','OWNER','SFR',9.500,54546.31,44899.93,-3967.00,'26700',12,11455.17
'F100Q1009919',44,'0',79000.00,'PURCH','OWNER','CONDO',8.250,103674.32,77461.44,-9108.00,'71000',14,11616.17
'F100Q1010164',41,'0',88000.00,'RE-FI-CO','OWNER','SFR',9.875,134865.64,93231.27,-6039.00,'66100',10,40331.19
'F100Q1010353',99,'0',52000.00,'PURCH','OWNER','SFR',8.375,75011.37,48272.28,-5399.00,'46700',19,-3712.69
'F100Q1012254',41,'0',57000.00,'PURCH','OWNER','SFR',7.750,69475.35,55897.21,-7331.00,'36500',12,12040.50
'F100Q1015246',22,'0',167000.00,'PURCH','OWNER','SFR',8.875,196181.05,165576.92,-5856.00,'151900',8,12905.59
'F100Q1017577',22,'0',171000.00,'RE-FI-NCO','OWNER','SFR',8.375,211573.63,165830.79,-1600.00,'154900',3,5590.23
'F100Q1018444',170,'0',64000.00,'PURCH','OWNER','SFR',8.625,76624.84,37360.47,-4506.00,'27800',9,14140.17
'F100Q1020295',26,'0',71000.00,'RE-FI-NCO','OWNER','SFR',7.875,93601.66,70802.62,-11973.00,'71800',23,9518.12
'F100Q1020411',64,'1',88000.00,'RE-FI-NCO','OWNER','MH',8.375,145388.56,85334.64,-9787.00,'61400',32,39326.81
'F100Q1020498',55,'0',64000.00,'RE-FI-CO','OWNER','SFR',8.250,106896.00,61856.33,-6322.00,'72600',11,-360.54
'F100Q1022248',48,'0',58000.00,'PURCH','OWNER','SFR',8.625,86652.00,56545.87,-8050.00,'48800',26,25784.59
'F100Q1025129',57,'1',54000.00,'PURCH','INV','SFR',8.750,71244.00,52777.17,-9263.00,'20700',25,34439.12
'F100Q1025490',83,'0',139000.00,'PURCH','OWNER','PUD',8.250,247524.25,128365.03,-22676.00,'182000',12,-22815.77
